trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,142.92000000000004,2.79,0.11627906976744187,0.02380952380952382,0.13425925925925922
1,explore,500.0,258.83,10.370000000000003,2.5891472868217056,0.26190476190476203,3.0416666666666656
2,explore,500.0,344.7200000000001,21.34999999999999,8.775193798449614,0.5476190476190476,10.375000000000007
3,explore,500.0,400.15,36.25000000000001,24.14728682170543,1.0714285714285714,28.63425925925926
4,explore,500.0,429.87,53.92,46.476744186046474,1.6190476190476186,55.199074074074076
5,explore,500.0,447.63,68.63999999999999,59.271317829457374,2.2619047619047614,70.3564814814815
6,explore,500.0,456.91,80.15,64.55813953488368,3.3809523809523823,76.4537037037037
7,explore,500.0,462.71,90.44,66.42248062015503,4.5952380952380985,78.44444444444446
8,explore,500.0,467.54,101.21999999999998,67.4651162790697,6.309523809523814,79.35648148148147
9,explore,500.0,469.4,111.78,68.34108527131784,8.309523809523814,80.0138888888889
10,explore,500.0,471.56,122.1,69.16666666666661,10.547619047619051,80.56481481481481
11,explore,500.0,472.54,132.58000000000004,69.94961240310076,12.547619047619051,81.11111111111114
12,explore,500.0,473.68,143.99999999999997,70.7015503875969,14.642857142857151,81.60185185185192
13,explore,500.0,474.78,155.2,71.5465116279069,16.666666666666668,82.21759259259267
14,explore,500.0,475.44,166.81000000000006,72.5426356589147,19.42857142857142,82.87037037037038
15,explore,500.0,475.75,177.1,73.2906976744186,21.38095238095238,83.38425925925931
16,explore,500.0,475.81,188.97999999999993,74.08914728682173,23.66666666666666,83.89351851851856
17,explore,500.0,475.55,200.23,74.95348837209308,26.16666666666667,84.43981481481485
18,explore,500.0,475.51,211.27,75.87209302325583,28.809523809523807,85.02314814814815
19,explore,500.0,475.22,222.13,76.67054263565892,31.023809523809536,85.54629629629629
20,explore,500.0,474.64,232.25,77.53488372093027,33.452380952380956,86.10648148148147
21,explore,500.0,473.9,243.22,78.54651162790702,35.952380952380956,86.82870370370372
22,explore,500.0,473.07,252.83,79.51550387596903,38.54761904761903,87.48148148148151
23,explore,500.0,472.49,262.6299999999998,80.4573643410853,41.119047619047606,88.10648148148148
24,explore,500.0,472.14,272.50000000000006,81.59302325581396,44.547619047619065,88.79629629629625
25,explore,500.0,471.52,282.11,82.44186046511629,47.023809523809526,89.32870370370371
26,explore,500.0,470.81,291.10000000000014,83.29069767441862,49.57142857142856,89.84722222222217
27,explore,500.0,469.96,300.58000000000015,84.28682170542633,52.5952380952381,90.44907407407402
28,explore,500.0,469.22,310.21,85.37984496124028,56.285714285714306,91.03703703703702
29,explore,500.0,468.38,319.30999999999983,86.37596899224809,59.73809523809522,91.55555555555557
30,explore,500.0,467.56,328.05,87.4341085271318,63.095238095238095,92.1666666666666
31,explore,500.0,466.5,336.27,88.437984496124,66.28571428571426,92.74537037037037
32,explore,500.0,465.5,344.5800000000001,89.46124031007757,69.92857142857139,93.25925925925927
33,explore,500.0,464.39,352.0800000000001,90.4496124031008,73.30952380952374,93.78240740740743
34,explore,500.0,463.35,359.92,91.39922480620143,76.35714285714288,94.32407407407403
35,explore,500.0,462.35,366.8000000000001,92.22093023255812,79.1428571428571,94.7638888888889
36,explore,500.0,461.37,374.21,93.08139534883722,82.0476190476191,95.2268518518519
37,explore,500.0,460.17,380.68,93.91472868217052,84.80952380952385,95.6851851851852
38,explore,500.0,458.91,387.2300000000001,94.7480620155039,87.57142857142861,96.14351851851846
39,explore,500.0,457.78,393.62000000000006,95.61240310077517,90.57142857142863,96.59259259259261
40,explore,500.0,456.31,399.69,96.38759689922476,92.61904761904769,97.12037037037032
41,explore,500.0,455.01,404.54,96.92635658914725,94.04761904761914,97.48611111111107
42,explore,500.0,453.6,410.00000000000006,97.53875968992249,95.66666666666671,97.90277777777776
43,explore,500.0,452.21,414.1600000000001,98.03488372093025,96.85714285714293,98.2638888888889
44,explore,500.0,450.87,417.55,98.35658914728685,97.6428571428572,98.49537037037038
45,explore,500.0,449.51,420.97,98.63953488372091,98.14285714285722,98.73611111111114
46,explore,500.0,448.11,423.7700000000001,98.98449612403095,98.57142857142861,99.0648148148148
47,explore,500.0,447.0,426.12,99.18604651162791,99.04761904761905,99.21296296296293
48,explore,500.0,445.56,428.7300000000001,99.3720930232558,99.19047619047619,99.40740740740743
49,explore,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
50,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
51,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
52,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
53,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
54,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
55,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
56,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
57,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
58,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
59,exploit,500.0,444.33,430.78,99.5503875968992,99.59523809523812,99.54166666666669
