trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500,147,1,0.0,0.0,0.0
1,explore,500,240,13,0.3875968992248062,0.0,0.4629629629629629
2,explore,500,304,42,25.581395348837212,2.380952380952381,30.09259259259259
3,explore,500,411,59,39.53488372093023,4.761904761904762,46.2962962962963
4,explore,500,460,80,55.81395348837209,14.285714285714285,63.888888888888886
5,explore,500,500,86,59.68992248062015,16.666666666666664,68.05555555555556
6,explore,500,512,101,63.95348837209303,16.666666666666664,73.14814814814815
7,explore,500,515,119,70.15503875968993,19.047619047619047,80.0925925925926
8,explore,500,536,131,70.15503875968993,19.047619047619047,80.0925925925926
9,explore,500,537,150,70.93023255813954,21.428571428571427,80.55555555555556
10,explore,500,541,159,70.93023255813954,21.428571428571427,80.55555555555556
11,explore,500,540,175,71.31782945736434,23.809523809523807,80.55555555555556
12,explore,500,539,185,71.31782945736434,23.809523809523807,80.55555555555556
13,explore,500,539,202,72.09302325581395,26.190476190476193,81.01851851851852
14,explore,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
15,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
16,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
17,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
18,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
19,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
20,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
21,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
22,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
23,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
24,exploit,500,541,207,72.86821705426357,26.190476190476193,81.94444444444444
