trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,152.8,4.4,0.0,0.0,0.0
1,explore,500.0,280.2,10.0,1.1627906976744184,0.47619047619047616,1.2962962962962963
2,explore,500.0,360.4,17.6,3.4108527131782944,0.47619047619047616,3.981481481481481
3,explore,500.0,406.8,31.0,17.5968992248062,0.47619047619047616,20.925925925925927
4,explore,500.0,436.0,53.6,48.604651162790695,0.47619047619047616,57.96296296296297
5,explore,500.0,447.0,66.6,60.23255813953487,0.47619047619047616,71.85185185185185
6,explore,500.0,461.6,76.2,65.19379844961239,2.857142857142857,77.31481481481481
7,explore,500.0,476.4,85.2,66.82170542635659,3.8095238095238093,79.07407407407406
8,explore,500.0,484.8,95.0,66.74418604651164,5.238095238095238,78.7037037037037
9,explore,500.0,484.8,105.2,67.5968992248062,8.095238095238095,79.16666666666667
10,explore,500.0,483.8,115.4,69.06976744186046,11.428571428571427,80.27777777777779
11,explore,500.0,483.6,126.6,69.76744186046513,13.333333333333332,80.74074074074073
12,explore,500.0,483.6,140.6,70.85271317829458,16.666666666666664,81.38888888888889
13,explore,500.0,484.2,153.0,71.62790697674419,16.666666666666664,82.31481481481482
14,explore,500.0,483.6,165.8,72.63565891472868,19.523809523809522,82.96296296296296
15,explore,500.0,482.8,178.4,73.33333333333334,21.428571428571423,83.42592592592592
16,explore,500.0,484.2,189.2,74.26356589147288,23.333333333333332,84.16666666666667
17,explore,500.0,486.2,200.8,75.03875968992247,23.809523809523807,85.0
18,explore,500.0,485.6,214.8,75.81395348837209,25.238095238095237,85.64814814814815
19,explore,500.0,486.0,229.6,77.51937984496124,30.476190476190474,86.66666666666667
20,explore,500.0,490.6,242.0,78.29457364341086,31.904761904761905,87.31481481481481
21,explore,500.0,490.4,256.2,79.53488372093024,35.238095238095234,88.14814814814815
22,explore,500.0,488.8,267.0,80.3875968992248,37.14285714285714,88.7962962962963
23,explore,500.0,486.2,275.0,80.93023255813952,39.04761904761905,89.07407407407406
24,explore,500.0,485.6,285.2,81.47286821705427,40.47619047619047,89.44444444444446
25,explore,500.0,486.6,296.4,82.94573643410853,44.28571428571429,90.46296296296296
26,explore,500.0,486.0,306.2,83.953488372093,48.57142857142857,90.83333333333333
27,explore,500.0,485.2,318.0,85.50387596899225,52.85714285714285,91.85185185185185
28,explore,500.0,483.4,327.4,87.05426356589149,56.66666666666667,92.96296296296296
29,explore,500.0,482.0,340.8,88.68217054263566,60.47619047619048,94.16666666666667
30,explore,500.0,480.4,352.8,90.07751937984497,66.66666666666667,94.62962962962963
31,explore,500.0,478.8,363.4,91.0077519379845,70.47619047619048,94.99999999999999
32,explore,500.0,477.4,372.6,92.32558139534883,76.66666666666667,95.37037037037037
33,explore,500.0,476.8,382.4,92.94573643410851,79.04761904761904,95.64814814814814
34,explore,500.0,475.8,391.8,94.65116279069767,85.23809523809523,96.4814814814815
35,explore,500.0,474.4,399.2,95.27131782945736,87.14285714285714,96.85185185185185
36,explore,500.0,473.6,403.6,95.73643410852713,88.0952380952381,97.22222222222221
37,explore,500.0,471.6,409.2,96.43410852713178,89.04761904761905,97.87037037037037
38,explore,500.0,469.4,415.6,96.97674418604652,90.47619047619048,98.24074074074073
39,explore,500.0,469.0,419.6,97.44186046511626,92.38095238095238,98.42592592592591
40,explore,500.0,467.4,424.4,97.82945736434108,94.28571428571429,98.51851851851852
41,explore,500.0,466.0,426.6,97.984496124031,94.76190476190474,98.61111111111111
42,explore,500.0,465.2,429.2,98.29457364341086,95.23809523809523,98.88888888888889
43,explore,500.0,463.4,433.6,98.75968992248062,96.19047619047619,99.25925925925927
44,explore,500.0,462.8,436.0,99.2248062015504,98.57142857142857,99.35185185185186
45,explore,500.0,461.6,438.8,99.37984496124031,99.04761904761905,99.44444444444444
46,explore,500.0,461.0,440.4,99.53488372093024,99.04761904761905,99.62962962962963
47,explore,500.0,459.6,443.0,99.76744186046513,99.52380952380952,99.81481481481481
48,explore,500.0,458.2,443.4,99.76744186046513,99.52380952380952,99.81481481481481
49,explore,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
50,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
51,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
52,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
53,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
54,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
55,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
56,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
57,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
58,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
59,exploit,500.0,457.8,444.4,99.84496124031008,100.0,99.81481481481481
