trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,154.86,2.98,0.004716981132075471,0.05,0.0
1,explore,500.0,271.3999999999999,6.82,0.19575471698113212,0.30000000000000004,0.18489583333333331
2,explore,500.0,378.58,13.980000000000002,1.7547169811320753,0.37499999999999994,1.8984375000000007
3,explore,500.0,490.11999999999995,25.0,6.356132075471696,0.45,6.971354166666665
4,explore,500.0,591.4000000000001,37.79999999999999,14.806603773584909,0.7,16.27604166666666
5,explore,500.0,684.18,50.98,26.01650943396227,0.8000000000000002,28.643229166666675
6,explore,500.0,765.06,68.65999999999998,42.52830188679246,1.075,46.846354166666686
7,explore,500.0,827.54,87.84,56.81603773584906,1.175,62.611979166666714
8,explore,499.98,879.08,105.44,66.6745283018868,1.2999999999999998,73.48437500000004
9,explore,499.96,924.26,120.54,72.29716981132077,1.4,79.68229166666667
10,explore,500.0,965.06,132.72,75.27830188679245,1.475,82.96614583333334
11,explore,499.94,998.9,143.68000000000006,76.92216981132076,1.7,84.7578125
12,explore,500.0,1027.4999999999998,151.98000000000002,78.04009433962266,1.8500000000000005,85.97656250000001
13,explore,499.96,1058.2199999999998,160.1,78.41509433962264,2.075,86.36718750000001
14,explore,499.96,1081.4399999999998,167.83999999999997,78.91273584905662,2.3749999999999996,86.88541666666669
15,explore,499.98,1101.0599999999995,175.48,79.04952830188677,2.575000000000001,87.01562499999999
16,explore,499.94,1117.0600000000004,183.63999999999996,79.30188679245282,2.8500000000000005,87.26562499999999
17,explore,499.96,1132.1399999999999,190.8,79.46698113207549,3.275,87.40364583333334
18,explore,499.94,1144.1799999999996,197.69999999999996,79.59669811320755,3.45,87.52864583333331
19,explore,499.86,1157.7200000000003,205.8,79.76179245283018,4.050000000000001,87.64843750000001
20,explore,499.94,1167.8599999999994,214.2,79.86792452830187,4.275,87.74218750000001
21,explore,499.92,1177.6400000000006,222.22,80.05188679245286,4.924999999999998,87.87760416666664
22,explore,499.92,1187.4599999999998,231.0,80.19575471698114,5.425000000000001,87.984375
23,explore,500.0,1196.3999999999999,239.44,80.35141509433961,6.05,88.09114583333329
24,explore,499.92,1205.6999999999998,246.91999999999993,80.44339622641508,6.45,88.15104166666663
25,explore,499.88,1212.5,256.36,80.59669811320758,7.175,88.24479166666669
26,explore,499.82,1219.9999999999998,265.44,80.7051886792453,7.7,88.30989583333337
27,explore,499.92,1227.8999999999996,273.61999999999995,80.80424528301886,8.249999999999998,88.36197916666669
28,explore,499.88,1235.3599999999997,282.14000000000016,80.94339622641506,9.175,88.41927083333331
29,explore,499.8,1242.58,292.3,81.04481132075472,9.799999999999999,88.46614583333336
30,explore,499.86,1249.7,301.6200000000002,81.16981132075472,10.45,88.53645833333334
31,explore,499.88,1254.4399999999996,312.34,81.31367924528304,11.2,88.61718750000001
32,explore,499.8,1258.3599999999997,323.88,81.46933962264154,11.9,88.71614583333331
33,explore,499.84,1262.1999999999998,335.0400000000001,81.61084905660381,12.625,88.79687500000001
34,explore,499.8,1265.68,345.46,81.78537735849056,13.3,88.91927083333334
35,explore,499.88,1269.46,355.32,81.87735849056601,13.875,88.9609375
36,explore,499.92,1272.66,365.36,81.98820754716976,14.45,89.02343750000001
37,explore,499.84,1277.58,375.58,82.0872641509434,15.1,89.06510416666666
38,explore,499.68,1280.8199999999997,386.1,82.23113207547165,15.8,89.15104166666669
39,explore,499.78,1283.5599999999995,398.26,82.39622641509433,16.55,89.25520833333329
40,explore,499.76,1286.32,410.0,82.62264150943398,17.65,89.39062499999996
41,explore,499.78,1288.3799999999997,420.6,82.74056603773585,18.325000000000003,89.4505208333333
42,explore,499.8,1290.42,432.5,82.90330188679245,19.025,89.55729166666664
43,explore,499.8,1292.1599999999999,444.92,83.10849056603773,20.124999999999996,89.6692708333333
44,explore,499.6,1293.1999999999994,456.42,83.26886792452835,20.84999999999999,89.77083333333334
45,explore,499.76,1294.96,467.8,83.4221698113208,21.500000000000004,89.87239583333331
46,explore,499.54,1296.32,478.28,83.6438679245283,22.725,89.9895833333333
47,explore,499.58,1297.7000000000003,489.68000000000006,83.8655660377359,24.025,90.0989583333333
48,explore,499.76,1299.5999999999997,501.38,84.063679245283,25.174999999999997,90.19791666666669
49,explore,499.7,1301.5000000000002,512.3800000000003,84.2358490566038,26.0,90.3020833333333
50,explore,499.62,1302.8200000000004,524.4599999999999,84.42216981132071,27.1,90.39322916666669
51,explore,499.8,1303.7400000000002,536.66,84.63207547169812,28.125,90.51822916666669
52,explore,499.3,1304.92,549.4400000000003,84.87028301886792,29.15,90.67447916666664
53,explore,499.3,1305.6399999999999,561.6800000000002,85.08726415094341,30.2,90.80468750000004
54,explore,499.56,1306.5199999999998,572.0599999999998,85.27830188679245,31.275,90.90364583333331
55,explore,499.48,1307.04,586.1400000000002,85.55896226415096,32.99999999999999,91.03385416666664
56,explore,499.4,1307.6600000000003,598.16,85.8396226415094,34.57499999999999,91.1796875
57,explore,499.46,1307.9399999999998,610.4799999999997,86.04245283018868,35.74999999999999,91.28125000000004
58,explore,499.28,1307.94,621.9400000000002,86.31603773584904,37.475,91.40364583333334
59,explore,499.42,1308.08,634.0600000000001,86.5990566037736,39.15,91.5416666666667
60,explore,499.3,1308.5600000000002,645.6800000000001,86.85377358490567,40.800000000000004,91.65104166666664
61,explore,499.38,1308.14,658.7,87.15330188679245,42.6,91.79427083333329
62,explore,499.34,1308.6000000000004,671.4,87.43160377358488,44.5,91.90364583333334
63,explore,499.26,1308.4000000000005,684.46,87.77122641509432,46.64999999999999,92.05468749999999
64,explore,499.24,1308.0800000000004,696.8399999999997,88.03066037735847,48.224999999999994,92.17708333333337
65,explore,499.1,1307.7400000000002,709.94,88.39858490566041,50.65,92.3307291666667
66,explore,499.2,1307.3799999999997,722.7399999999999,88.73584905660378,52.85,92.47395833333334
67,explore,499.0,1306.8000000000002,736.1399999999999,89.12264150943398,55.575,92.61718750000004
68,explore,499.16,1306.4599999999998,749.32,89.44811320754714,57.675,92.75781249999996
69,explore,499.16,1306.0599999999995,763.0,89.83726415094337,60.275,92.91666666666666
70,explore,498.8,1305.34,776.92,90.25471698113208,62.975,93.09635416666664
71,explore,498.98,1305.32,790.14,90.59669811320755,65.325,93.22916666666669
72,explore,499.08,1305.0000000000002,803.2399999999999,90.96698113207545,67.95000000000002,93.36458333333336
73,explore,499.08,1304.28,815.58,91.31603773584904,70.15,93.52083333333331
74,explore,498.74,1303.7400000000002,827.74,91.62264150943395,72.375,93.62760416666669
75,explore,498.84,1302.6799999999998,840.34,91.92216981132074,74.20000000000002,93.76822916666664
76,explore,498.54,1301.8399999999995,851.96,92.22169811320757,75.825,93.92968750000001
77,explore,498.84,1300.7400000000002,864.28,92.53066037735849,78.025,94.0416666666667
78,explore,498.84,1299.6399999999996,878.08,92.92924528301884,80.49999999999999,94.22395833333331
79,explore,498.96,1298.8000000000002,890.0,93.27358490566037,82.375,94.40885416666663
80,explore,499.0,1297.88,901.56,93.56603773584908,83.95000000000002,94.56770833333331
81,explore,499.12,1296.7199999999998,913.72,93.83254716981132,85.19999999999996,94.73177083333334
82,explore,499.12,1295.5200000000004,924.7,94.10377358490567,86.525,94.89322916666669
83,explore,499.32,1294.1400000000003,935.9,94.34433962264154,87.725,95.03385416666664
84,explore,498.74,1293.3,946.52,94.63915094339623,89.225,95.20312499999996
85,explore,499.36,1291.9999999999995,957.42,94.89150943396226,90.15000000000002,95.3854166666667
86,explore,499.36,1290.8000000000006,969.16,95.10849056603769,91.12499999999999,95.52343750000001
87,explore,499.26,1289.9400000000003,980.24,95.35613207547176,92.1,95.69531250000001
88,explore,499.26,1288.7399999999998,991.7799999999999,95.60377358490567,93.15,95.85937499999996
89,explore,499.18,1287.6000000000004,1001.7399999999997,95.83254716981133,94.075,96.01562500000001
90,explore,499.38,1286.7400000000002,1010.92,96.02358490566039,94.625,96.16927083333331
91,explore,499.5,1285.8200000000002,1019.5800000000002,96.18867924528303,95.125,96.29947916666669
92,explore,499.54,1284.7200000000003,1029.1,96.35849056603774,95.7,96.42708333333336
93,explore,499.74,1283.4,1037.02,96.54245283018868,96.125,96.58593749999999
94,explore,499.44,1282.2800000000007,1045.5800000000004,96.71698113207543,96.625,96.72656249999999
95,explore,499.54,1280.9399999999996,1054.12,96.91745283018867,97.3,96.87760416666664
96,explore,499.94,1279.7599999999998,1062.1999999999998,97.05896226415094,97.625,97.00000000000001
97,explore,499.54,1279.0400000000002,1069.1400000000003,97.19103773584902,97.875,97.11979166666664
98,explore,499.68,1277.7399999999998,1076.66,97.33726415094337,98.275,97.23958333333336
99,explore,499.8,1276.7599999999998,1083.82,97.47877358490565,98.575,97.36458333333337
100,explore,499.74,1275.7600000000002,1089.86,97.57075471698114,98.75,97.44791666666669
101,explore,499.7,1274.3400000000004,1095.9000000000008,97.70047169811319,98.9,97.57552083333334
102,explore,499.74,1272.8199999999997,1101.5600000000004,97.82075471698114,98.975,97.70052083333334
103,explore,499.76,1271.7,1107.2,97.95047169811318,99.175,97.82291666666663
104,explore,499.9,1270.4799999999998,1112.86,98.04716981132079,99.325,97.91406249999996
105,explore,499.68,1269.3799999999999,1118.6199999999997,98.17688679245282,99.425,98.046875
106,explore,499.78,1268.2199999999998,1123.9799999999998,98.29009433962263,99.45,98.16927083333336
107,explore,499.88,1266.66,1128.86,98.3867924528302,99.45,98.27604166666666
108,explore,499.88,1265.3400000000004,1133.18,98.48349056603774,99.525,98.375
109,explore,499.64,1264.1400000000003,1138.4600000000003,98.58726415094337,99.55,98.48697916666666
110,explore,500.0,1263.1200000000001,1143.4800000000002,98.67452830188677,99.55,98.58333333333331
111,explore,500.06,1262.0800000000004,1147.9200000000005,98.78537735849056,99.575,98.70312499999999
112,explore,500.02,1261.12,1152.2800000000002,98.87735849056605,99.6,98.80208333333334
113,explore,499.98,1259.8,1156.48,98.94339622641513,99.7,98.86458333333336
114,explore,499.78,1258.74,1160.56,99.00707547169813,99.7,98.93489583333334
115,explore,499.86,1257.76,1164.6,99.08962264150946,99.725,99.0234375
116,explore,499.88,1256.4999999999998,1168.42,99.15801886792457,99.75,99.09635416666664
117,explore,500.1,1255.5199999999998,1173.0599999999995,99.25235849056605,99.8,99.19531249999996
118,explore,499.84,1254.4999999999995,1177.18,99.32547169811322,99.85,99.2708333333333
119,explore,499.98,1253.7,1180.5400000000002,99.38679245283018,99.85,99.33854166666666
120,explore,500.2,1253.0000000000002,1183.92,99.45047169811318,99.85,99.40885416666669
121,explore,500.0,1252.2799999999997,1187.1200000000001,99.49056603773583,99.875,99.45052083333334
122,explore,500.08,1251.3600000000004,1190.06,99.53066037735843,99.875,99.49479166666669
123,explore,500.02,1250.32,1193.1200000000003,99.5778301886792,99.9,99.54427083333331
