trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500,123,2,0.0,0.0,0.0
1,explore,500,216,20,0.14084507042253522,2.307692307692308,0.0
2,explore,500,328,28,0.14084507042253522,2.307692307692308,0.0
3,explore,500,490,34,0.14084507042253522,2.307692307692308,0.0
4,explore,500,579,50,2.3474178403755865,3.076923076923077,2.3
5,explore,500,632,57,4.507042253521127,3.076923076923077,4.6
6,explore,500,677,72,13.145539906103288,3.076923076923077,13.8
7,explore,500,729,93,26.15023474178404,3.8461538461538463,27.6
8,explore,500,794,106,33.70892018779343,3.8461538461538463,35.65
9,explore,500,901,115,41.36150234741784,4.615384615384616,43.75
10,explore,500,952,133,56.431924882629104,4.615384615384616,59.8
11,explore,500,1001,155,65.16431924882629,5.384615384615385,69.05
12,explore,500,1105,176,68.45070422535211,6.923076923076923,72.45
13,explore,500,1151,190,69.53051643192488,6.923076923076923,73.6
14,explore,500,1232,207,74.92957746478874,6.923076923076923,79.35
15,explore,500,1297,220,79.29577464788733,7.6923076923076925,83.95
16,explore,500,1401,232,82.58215962441314,8.461538461538462,87.4
17,explore,500,1429,242,83.66197183098592,8.461538461538462,88.55
18,explore,500,1500,256,85.82159624413146,8.461538461538462,90.85
19,explore,500,1572,263,86.90140845070422,8.461538461538462,92.0
20,explore,500,1654,270,84.74178403755869,8.461538461538462,89.7
21,explore,500,1673,276,84.74178403755869,8.461538461538462,89.7
22,explore,500,1720,289,84.78873239436619,9.230769230769232,89.7
23,explore,500,1797,298,86.94835680751174,9.230769230769232,92.0
24,explore,500,1833,310,86.94835680751174,9.230769230769232,92.0
25,explore,500,1879,320,86.99530516431925,10.0,92.0
26,explore,500,1910,325,87.04225352112675,10.0,92.05
27,explore,500,1955,329,87.04225352112675,10.0,92.05
28,explore,500,1981,336,87.04225352112675,10.0,92.05
29,explore,500,2009,341,87.04225352112675,10.0,92.05
30,explore,500,2070,346,87.04225352112675,10.0,92.05
31,explore,500,2097,356,87.04225352112675,10.0,92.05
32,explore,500,2105,375,87.08920187793427,10.0,92.10000000000001
33,explore,500,2116,382,87.13615023474178,10.76923076923077,92.10000000000001
34,explore,500,2134,389,87.13615023474178,10.76923076923077,92.10000000000001
35,explore,500,2149,396,87.13615023474178,10.76923076923077,92.10000000000001
36,explore,500,2164,412,87.13615023474178,10.76923076923077,92.10000000000001
37,explore,500,2183,424,87.1830985915493,11.538461538461538,92.10000000000001
38,explore,500,2185,435,87.1830985915493,11.538461538461538,92.10000000000001
39,explore,500,2223,437,87.1830985915493,11.538461538461538,92.10000000000001
40,explore,500,2238,442,87.23004694835682,11.538461538461538,92.15
41,explore,500,2238,455,87.23004694835682,11.538461538461538,92.15
42,explore,500,2256,461,87.27699530516432,11.538461538461538,92.2
43,explore,500,2265,465,87.27699530516432,11.538461538461538,92.2
44,explore,500,2284,466,87.27699530516432,11.538461538461538,92.2
45,explore,499,2300,475,87.32394366197182,11.538461538461538,92.25
46,explore,500,2320,486,87.37089201877934,12.307692307692308,92.25
47,explore,500,2330,493,87.37089201877934,12.307692307692308,92.25
48,explore,500,2335,505,87.55868544600939,13.846153846153847,92.35
49,explore,499,2354,510,87.55868544600939,13.846153846153847,92.35
50,explore,499,2355,518,87.60563380281691,13.846153846153847,92.4
51,explore,500,2375,522,87.60563380281691,13.846153846153847,92.4
52,explore,500,2385,532,87.60563380281691,13.846153846153847,92.4
53,explore,500,2406,534,87.65258215962442,13.846153846153847,92.45
54,explore,500,2429,543,87.65258215962442,13.846153846153847,92.45
55,explore,500,2442,546,87.65258215962442,13.846153846153847,92.45
56,explore,500,2460,552,87.65258215962442,13.846153846153847,92.45
57,explore,500,2472,560,87.65258215962442,13.846153846153847,92.45
58,explore,500,2474,574,87.74647887323944,14.615384615384617,92.5
59,explore,500,2480,585,87.74647887323944,14.615384615384617,92.5
60,explore,500,2501,590,87.79342723004694,15.384615384615385,92.5
61,explore,500,2508,602,87.79342723004694,15.384615384615385,92.5
62,explore,500,2511,610,87.79342723004694,15.384615384615385,92.5
63,explore,500,2534,616,87.79342723004694,15.384615384615385,92.5
64,explore,500,2539,633,87.84037558685446,15.384615384615385,92.55
65,explore,500,2554,635,87.84037558685446,15.384615384615385,92.55
66,explore,499,2560,646,87.84037558685446,15.384615384615385,92.55
67,explore,500,2568,652,87.88732394366198,16.153846153846153,92.55
68,explore,500,2570,654,87.88732394366198,16.153846153846153,92.55
69,explore,500,2580,665,87.93427230046949,16.153846153846153,92.60000000000001
70,explore,500,2580,678,87.93427230046949,16.153846153846153,92.60000000000001
71,explore,500,2582,691,87.93427230046949,16.153846153846153,92.60000000000001
72,explore,500,2592,707,87.98122065727699,16.153846153846153,92.65
73,explore,500,2593,719,88.02816901408451,16.923076923076923,92.65
74,explore,500,2596,733,88.16901408450704,18.461538461538463,92.7
75,explore,499,2599,747,88.21596244131456,18.461538461538463,92.75
76,explore,500,2604,751,88.21596244131456,18.461538461538463,92.75
77,explore,500,2605,761,88.21596244131456,18.461538461538463,92.75
78,explore,500,2606,774,88.26291079812206,19.230769230769234,92.75
79,explore,500,2611,781,88.26291079812206,19.230769230769234,92.75
80,explore,500,2617,794,88.30985915492958,19.230769230769234,92.80000000000001
81,explore,500,2622,800,88.30985915492958,19.230769230769234,92.80000000000001
82,explore,500,2624,810,88.35680751173709,20.0,92.80000000000001
83,explore,498,2628,816,88.45070422535211,20.0,92.9
84,explore,500,2627,822,88.45070422535211,20.0,92.9
85,explore,500,2629,829,88.49765258215963,20.0,92.95
86,explore,500,2647,839,88.54460093896714,20.0,93.0
87,explore,499,2651,846,88.59154929577466,20.76923076923077,93.0
88,explore,500,2657,854,88.59154929577466,20.76923076923077,93.0
89,explore,500,2663,864,88.73239436619718,21.53846153846154,93.10000000000001
90,explore,498,2669,871,88.77934272300469,21.53846153846154,93.15
91,explore,500,2675,885,88.82629107981221,21.53846153846154,93.2
92,explore,500,2675,897,88.82629107981221,21.53846153846154,93.2
93,explore,500,2676,916,88.82629107981221,21.53846153846154,93.2
94,explore,499,2676,925,88.82629107981221,21.53846153846154,93.2
95,explore,500,2676,936,88.82629107981221,21.53846153846154,93.2
96,explore,500,2676,948,88.82629107981221,21.53846153846154,93.2
97,explore,500,2680,964,88.82629107981221,21.53846153846154,93.2
98,explore,500,2680,971,88.92018779342723,22.30769230769231,93.25
99,explore,499,2680,985,88.92018779342723,22.30769230769231,93.25
100,explore,500,2680,998,88.96713615023474,22.30769230769231,93.30000000000001
101,explore,500,2684,1018,88.96713615023474,22.30769230769231,93.30000000000001
102,explore,500,2683,1026,88.96713615023474,22.30769230769231,93.30000000000001
103,explore,500,2684,1038,89.10798122065728,23.076923076923077,93.4
104,explore,500,2686,1047,89.1549295774648,23.076923076923077,93.45
105,explore,500,2686,1061,89.2018779342723,23.846153846153847,93.45
106,explore,500,2686,1069,89.24882629107981,23.846153846153847,93.5
107,explore,500,2686,1077,89.24882629107981,23.846153846153847,93.5
108,explore,500,2686,1090,89.29577464788733,23.846153846153847,93.55
109,explore,499,2689,1106,89.29577464788733,23.846153846153847,93.55
110,explore,500,2698,1116,89.29577464788733,23.846153846153847,93.55
111,explore,500,2699,1132,89.29577464788733,23.846153846153847,93.55
112,explore,499,2702,1145,89.43661971830986,23.846153846153847,93.7
113,explore,500,2703,1148,89.48356807511738,23.846153846153847,93.75
114,explore,500,2708,1155,89.53051643192488,23.846153846153847,93.8
115,explore,500,2708,1164,89.53051643192488,23.846153846153847,93.8
116,explore,500,2707,1169,89.6244131455399,25.384615384615383,93.8
117,explore,500,2707,1175,89.6244131455399,25.384615384615383,93.8
118,explore,500,2707,1182,89.71830985915493,26.923076923076923,93.8
119,explore,500,2707,1193,89.81220657276995,26.923076923076923,93.89999999999999
120,explore,500,2707,1208,89.81220657276995,26.923076923076923,93.89999999999999
121,explore,496,2710,1218,90.0,30.0,93.89999999999999
122,explore,500,2710,1232,90.0469483568075,30.76923076923077,93.89999999999999
123,explore,500,2711,1244,90.09389671361502,31.538461538461537,93.89999999999999
124,explore,500,2711,1248,90.14084507042254,31.538461538461537,93.95
125,explore,500,2711,1256,90.18779342723005,32.30769230769231,93.95
126,explore,500,2712,1273,90.32863849765258,34.61538461538461,93.95
127,explore,499,2713,1299,90.65727699530517,37.69230769230769,94.1
128,explore,500,2713,1309,90.75117370892019,38.46153846153847,94.15
129,explore,499,2716,1329,91.07981220657277,42.30769230769231,94.25
130,explore,499,2715,1345,91.31455399061032,45.38461538461539,94.3
131,explore,500,2715,1350,91.36150234741784,46.15384615384615,94.3
132,explore,497,2717,1366,91.59624413145539,47.69230769230769,94.45
133,explore,500,2717,1380,91.73708920187794,47.69230769230769,94.6
134,explore,499,2717,1386,91.73708920187794,47.69230769230769,94.6
135,explore,500,2716,1405,91.97183098591549,50.0,94.69999999999999
136,explore,498,2715,1420,92.25352112676056,53.84615384615385,94.75
137,explore,498,2714,1434,92.34741784037558,55.38461538461539,94.75
138,explore,498,2715,1442,92.48826291079813,56.92307692307692,94.8
139,explore,499,2715,1452,92.48826291079813,56.92307692307692,94.8
140,explore,497,2715,1465,92.72300469483568,60.76923076923077,94.8
141,explore,498,2714,1484,92.8169014084507,62.30769230769231,94.8
142,explore,500,2714,1492,92.86384976525821,63.07692307692307,94.8
143,explore,500,2715,1504,92.86384976525821,63.07692307692307,94.8
144,explore,499,2715,1515,93.00469483568075,65.38461538461539,94.8
145,explore,497,2715,1525,93.09859154929578,66.15384615384615,94.85
146,explore,500,2715,1540,93.09859154929578,66.15384615384615,94.85
147,explore,500,2715,1551,93.1924882629108,67.6923076923077,94.85
148,explore,499,2715,1560,93.2394366197183,67.6923076923077,94.89999999999999
149,explore,500,2715,1568,93.2394366197183,67.6923076923077,94.89999999999999
150,explore,497,2713,1575,93.28638497652582,67.6923076923077,94.95
151,explore,500,2713,1591,93.28638497652582,67.6923076923077,94.95
152,explore,500,2712,1595,93.28638497652582,67.6923076923077,94.95
153,explore,499,2712,1609,93.33333333333333,68.46153846153847,94.95
154,explore,503,2712,1616,93.42723004694837,70.0,94.95
155,explore,500,2712,1634,93.6150234741784,71.53846153846153,95.05
156,explore,500,2712,1636,93.6150234741784,71.53846153846153,95.05
157,explore,499,2713,1647,93.75586854460094,73.07692307692307,95.1
158,explore,499,2717,1658,93.89671361502347,74.61538461538461,95.15
159,explore,497,2715,1672,93.94366197183098,75.38461538461539,95.15
160,explore,498,2713,1682,94.22535211267605,79.23076923076923,95.19999999999999
161,explore,498,2713,1693,94.27230046948357,79.23076923076923,95.25
162,explore,496,2715,1699,94.31924882629107,79.23076923076923,95.3
163,explore,500,2714,1701,94.31924882629107,79.23076923076923,95.3
164,explore,498,2714,1719,94.41314553990611,80.0,95.35
165,explore,500,2714,1722,94.46009389671362,80.0,95.39999999999999
166,explore,499,2714,1732,94.46009389671362,80.0,95.39999999999999
167,explore,498,2714,1742,94.50704225352112,80.0,95.45
168,explore,496,2714,1751,94.55399061032864,80.0,95.5
169,explore,498,2715,1757,94.64788732394366,81.53846153846153,95.5
170,explore,494,2715,1772,94.88262910798122,84.61538461538461,95.55
171,explore,499,2714,1778,94.88262910798122,84.61538461538461,95.55
172,explore,499,2714,1787,95.02347417840376,85.38461538461539,95.65
173,explore,498,2714,1795,95.16431924882629,86.15384615384616,95.75
174,explore,500,2712,1807,95.2112676056338,86.92307692307692,95.75
175,explore,499,2712,1814,95.2112676056338,86.92307692307692,95.75
176,explore,500,2712,1820,95.30516431924883,87.6923076923077,95.8
177,explore,500,2710,1829,95.39906103286386,89.23076923076924,95.8
178,explore,496,2709,1837,95.44600938967136,89.23076923076924,95.85000000000001
179,explore,497,2710,1846,95.58685446009389,89.23076923076924,96.0
180,explore,499,2708,1857,95.68075117370893,89.23076923076924,96.1
181,explore,497,2708,1865,95.77464788732394,90.0,96.15
182,explore,499,2709,1876,95.91549295774648,91.53846153846153,96.2
183,explore,497,2708,1884,96.05633802816902,91.53846153846153,96.35000000000001
184,explore,500,2708,1885,96.10328638497653,92.3076923076923,96.35000000000001
185,explore,499,2705,1892,96.19718309859155,93.07692307692308,96.39999999999999
186,explore,499,2704,1909,96.4319248826291,95.38461538461539,96.5
187,explore,500,2703,1917,96.47887323943662,95.38461538461539,96.55
188,explore,500,2703,1929,96.52582159624413,95.38461538461539,96.6
189,explore,500,2701,1931,96.52582159624413,95.38461538461539,96.6
190,explore,500,2699,1939,96.71361502347418,96.15384615384616,96.75
191,explore,499,2698,1948,96.8075117370892,96.15384615384616,96.85000000000001
192,explore,500,2698,1953,96.8544600938967,96.15384615384616,96.89999999999999
193,explore,500,2699,1966,96.8544600938967,96.15384615384616,96.89999999999999
194,explore,502,2698,1973,96.8544600938967,96.15384615384616,96.89999999999999
195,explore,500,2698,1977,96.94835680751174,96.15384615384616,97.0
196,explore,499,2698,1981,96.94835680751174,96.15384615384616,97.0
197,explore,499,2698,1988,96.99530516431925,96.92307692307692,97.0
198,explore,499,2697,1991,97.04225352112677,96.92307692307692,97.05
199,explore,499,2696,1996,97.08920187793427,96.92307692307692,97.1
200,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
201,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
202,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
203,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
204,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
205,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
206,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
207,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
208,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
209,exploit,500,2696,1996,97.08920187793427,96.92307692307692,97.1
