trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,160.7,3.1,0.0,0.0,0.0
1,explore,500.0,261.6,9.6,0.02816901408450704,0.46153846153846156,0.0
2,explore,500.0,356.3,14.6,0.03755868544600939,0.6153846153846154,0.0
3,explore,500.0,453.5,19.6,0.051643192488262914,0.8461538461538464,0.0
4,explore,500.0,544.8,29.4,2.0046948356807506,1.0000000000000002,2.0699999999999994
5,explore,500.0,643.7,40.6,7.08450704225352,1.076923076923077,7.475
6,explore,500.0,749.8,52.9,13.577464788732396,1.230769230769231,14.38
7,explore,500.0,850.6,65.1,21.910798122065724,1.5384615384615385,23.235
8,explore,500.0,944.9,81.4,32.394366197183096,1.6153846153846156,34.394999999999996
9,explore,500.0,1034.4,99.6,43.10328638497652,1.7692307692307694,45.79
10,explore,500.0,1117.4,119.5,55.52112676056339,2.0,59.0
11,explore,500.0,1195.7,137.4,64.29107981220656,2.307692307692308,68.32000000000002
12,explore,500.0,1266.1,152.7,70.54460093896714,2.307692307692308,74.97999999999999
13,explore,500.0,1338.3,167.1,75.40845070422533,2.4615384615384612,80.14999999999999
14,explore,500.0,1396.3,181.2,79.22535211267605,2.6923076923076925,84.2
15,explore,500.0,1450.4,193.7,81.51173708920189,2.6923076923076925,86.63499999999999
16,explore,500.0,1502.1,204.7,81.75117370892018,2.9230769230769234,86.875
17,explore,500.0,1555.5,216.8,82.61971830985915,3.0000000000000004,87.79499999999999
18,explore,500.0,1609.2,227.0,83.81690140845072,3.2307692307692313,89.05499999999998
19,explore,500.0,1669.1,236.3,84.27230046948355,3.3846153846153855,89.53
20,explore,500.0,1713.4,245.1,85.17370892018779,3.6153846153846154,90.475
21,explore,500.0,1758.5,251.2,85.17840375586856,3.692307692307692,90.475
22,explore,500.0,1790.6,259.1,85.39436619718309,3.769230769230769,90.70000000000002
23,explore,500.0,1833.0,266.1,85.4131455399061,4.0769230769230775,90.70000000000002
24,explore,500.0,1868.0,273.1,86.07981220657277,4.230769230769232,91.40000000000002
25,explore,500.0,1894.8,281.6,86.30985915492957,4.307692307692308,91.64000000000001
26,explore,500.0,1939.8,288.2,86.4319248826291,4.461538461538462,91.75999999999999
27,explore,500.0,1966.5,296.3,86.33333333333333,4.461538461538462,91.655
28,explore,500.0,1993.0,303.2,86.55399061032864,4.53846153846154,91.885
29,explore,500.0,2011.4,311.4,86.68544600938968,4.692307692307693,92.01499999999999
30,explore,500.0,2038.0,317.8,86.69953051643192,4.769230769230771,92.025
31,explore,500.0,2068.8,323.4,86.72300469483568,4.846153846153847,92.04499999999999
32,explore,500.0,2090.6,332.0,86.72769953051643,4.923076923076924,92.04499999999999
33,explore,500.0,2110.8,341.4,86.73708920187794,5.0,92.05
34,explore,500.0,2131.2,348.7,86.75586854460093,5.076923076923078,92.06500000000001
35,explore,500.0,2156.4,353.4,86.77934272300469,5.307692307692308,92.07499999999999
36,explore,500.0,2176.0,360.3,86.89201877934272,5.307692307692308,92.19500000000002
37,explore,500.0,2190.8,367.1,86.7981220657277,5.461538461538462,92.08500000000001
38,explore,500.0,2210.7,372.8,86.8169014084507,5.615384615384616,92.095
39,explore,500.0,2223.5,381.7,86.84976525821597,5.923076923076924,92.11
40,explore,500.0,2242.5,390.6,86.87793427230046,6.230769230769232,92.12
41,explore,500.0,2264.7,397.5,86.90140845070422,6.461538461538463,92.13000000000002
42,explore,500.0,2282.8,404.2,86.94366197183098,6.9230769230769225,92.14500000000001
43,explore,500.0,2297.3,412.5,86.97183098591549,7.307692307692308,92.15
44,explore,500.0,2309.9,423.4,86.98591549295776,7.384615384615385,92.16000000000001
45,explore,500.0,2321.1,434.3,87.01877934272301,7.615384615384616,92.18
46,explore,500.0,2345.0,441.9,87.02347417840375,7.692307692307693,92.18
47,explore,500.0,2366.3,448.9,87.16901408450704,8.000000000000002,92.31500000000001
48,explore,500.0,2376.0,457.7,87.17840375586854,8.153846153846155,92.31500000000001
49,explore,500.0,2387.6,466.5,87.2112676056338,8.384615384615383,92.335
50,explore,500.0,2404.3,474.1,87.22535211267605,8.384615384615383,92.35000000000001
51,explore,500.0,2418.8,480.1,87.23004694835682,8.461538461538463,92.35000000000001
52,explore,500.0,2428.5,488.6,87.26760563380283,8.846153846153847,92.36500000000001
53,explore,500.0,2442.5,496.8,87.28638497652582,8.923076923076923,92.38000000000001
54,explore,500.0,2455.5,506.0,87.30985915492958,9.153846153846155,92.39
55,explore,500.0,2466.4,515.0,87.33333333333334,9.384615384615385,92.4
56,explore,500.0,2476.4,521.4,87.34272300469485,9.461538461538462,92.405
57,explore,500.0,2488.5,527.9,87.37089201877936,9.923076923076923,92.405
58,explore,500.0,2497.7,537.6,87.38967136150237,10.153846153846153,92.41000000000001
59,explore,500.0,2507.5,545.7,87.40375586854461,10.23076923076923,92.42
60,explore,500.0,2518.7,556.2,87.43192488262912,10.538461538461537,92.42999999999999
61,explore,500.0,2525.1,564.5,87.46948356807512,10.769230769230766,92.455
62,explore,500.0,2530.5,575.4,87.47417840375587,10.769230769230766,92.46000000000001
63,explore,500.0,2537.4,583.4,87.48356807511739,10.846153846153843,92.465
64,explore,500.0,2544.8,594.2,87.50704225352113,10.999999999999998,92.48
65,explore,500.0,2548.9,604.3,87.53521126760562,11.076923076923077,92.505
66,explore,500.0,2554.8,614.6,87.55399061032863,11.153846153846153,92.52000000000001
67,explore,500.0,2560.1,622.8,87.56338028169014,11.307692307692308,92.52000000000001
68,explore,500.0,2572.4,630.3,87.59154929577464,11.46153846153846,92.53999999999999
69,explore,500.0,2581.8,639.0,87.61032863849765,11.615384615384615,92.54999999999998
70,explore,500.0,2591.3,647.9,87.63380281690141,11.846153846153845,92.55999999999999
71,explore,500.0,2595.8,657.1,87.65258215962442,12.0,92.57
72,explore,500.0,2600.4,667.5,87.69014084507043,12.384615384615383,92.58500000000001
73,explore,500.0,2608.2,676.7,87.70422535211267,12.538461538461537,92.59
74,explore,500.0,2614.2,687.3,87.73239436619718,12.615384615384615,92.61500000000001
75,explore,500.0,2619.4,695.8,87.7793427230047,13.0,92.64000000000001
76,explore,500.0,2623.7,705.4,87.81220657276995,13.384615384615383,92.65
77,explore,500.0,2629.3,716.4,87.84037558685445,13.538461538461542,92.67
78,explore,500.0,2634.6,727.4,87.7793427230047,13.769230769230768,92.59
79,explore,500.0,2638.1,737.2,87.81690140845069,14.153846153846155,92.60500000000002
