trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,161.4,2.5,0.009389671361502348,0.15384615384615385,0.0
1,explore,500.0,283.7,7.5,0.03286384976525822,0.5384615384615385,0.0
2,explore,500.0,407.6,12.9,0.03755868544600939,0.6153846153846154,0.0
3,explore,500.0,505.9,19.1,0.5821596244131456,0.6153846153846154,0.5799999999999998
4,explore,500.0,607.0,29.7,2.967136150234742,0.7692307692307693,3.1100000000000003
5,explore,500.0,738.9,39.2,6.117370892018779,1.076923076923077,6.445
6,explore,500.0,854.5,52.0,11.948356807511738,1.076923076923077,12.655
7,explore,500.0,971.4,66.5,20.92488262910798,1.2307692307692308,22.205000000000002
8,explore,500.0,1091.2,82.5,32.28169014084507,1.3846153846153848,34.29
9,explore,500.0,1178.7,100.4,43.76525821596245,1.6923076923076927,46.499999999999986
10,explore,500.0,1263.5,115.4,52.93896713615023,1.846153846153846,56.260000000000005
11,explore,500.0,1341.5,135.7,63.40845070422536,1.846153846153846,67.41
12,explore,500.0,1428.3,152.7,69.57276995305163,2.0,73.965
13,explore,500.0,1504.4,168.3,74.2394366197183,2.230769230769231,78.91999999999999
14,explore,500.0,1565.2,181.7,76.63380281690141,2.5384615384615388,81.45000000000002
15,explore,500.0,1622.4,193.7,79.2394366197183,2.6923076923076925,84.21499999999999
16,explore,500.0,1686.5,206.0,81.84976525821597,3.0,86.975
17,explore,500.0,1731.7,218.2,83.57276995305163,3.0769230769230775,88.805
18,explore,500.0,1778.2,228.0,84.6525821596244,3.0769230769230775,89.95500000000001
19,explore,499.9,1823.0,239.3,85.31924882629109,3.307692307692309,90.64999999999999
20,explore,500.0,1862.7,250.4,85.35211267605635,3.461538461538462,90.675
21,explore,500.0,1902.4,257.5,85.58685446009389,3.692307692307692,90.91
22,explore,500.0,1935.3,266.8,86.02816901408451,3.7692307692307687,91.37499999999999
23,explore,500.0,1970.4,276.5,85.92957746478872,3.9230769230769225,91.25999999999999
24,explore,499.9,2011.4,282.6,85.94835680751173,4.0,91.275
25,explore,500.0,2044.4,290.1,85.85446009389672,4.0769230769230775,91.17
26,explore,500.0,2084.9,295.5,85.7793427230047,4.461538461538462,91.06499999999997
27,explore,500.0,2111.7,304.2,85.89671361502346,4.615384615384615,91.17999999999999
28,explore,500.0,2145.8,311.4,85.91079812206573,4.692307692307693,91.19
29,explore,500.0,2165.6,317.3,85.90610328638499,4.692307692307693,91.18499999999999
30,explore,500.0,2188.0,325.4,86.36150234741783,5.0769230769230775,91.64499999999998
31,explore,499.9,2215.9,333.5,86.37089201877934,5.153846153846153,91.64999999999999
32,explore,499.9,2245.0,341.0,86.2769953051643,5.230769230769232,91.54499999999999
33,explore,500.0,2266.9,352.0,86.29577464788733,5.384615384615385,91.55499999999998
34,explore,500.0,2294.3,357.8,86.5305164319249,5.461538461538462,91.79999999999998
35,explore,500.0,2314.8,365.1,86.53990610328638,5.461538461538462,91.80999999999999
36,explore,500.0,2342.0,372.7,86.5586854460094,5.615384615384616,91.82000000000001
37,explore,500.0,2361.7,380.9,86.58685446009392,5.846153846153848,91.835
38,explore,500.0,2380.8,388.8,86.48356807511738,5.846153846153848,91.725
39,explore,499.9,2393.5,399.8,86.72769953051643,6.076923076923078,91.97
40,explore,500.0,2411.0,405.8,86.74647887323944,6.230769230769232,91.98
41,explore,499.9,2425.6,414.8,86.87793427230046,6.384615384615385,92.11
42,explore,500.0,2437.3,425.6,86.92957746478874,7.0,92.125
43,explore,500.0,2449.2,436.0,86.93896713615025,7.076923076923076,92.13000000000001
44,explore,500.0,2461.5,446.3,86.96244131455401,7.230769230769231,92.14500000000001
45,explore,499.9,2475.7,455.9,87.10328638497654,7.538461538461538,92.275
46,explore,499.8,2487.8,466.6,87.15962441314552,8.153846153846157,92.29499999999999
47,explore,500.0,2502.0,476.3,87.16901408450704,8.30769230769231,92.29499999999999
48,explore,500.0,2515.9,482.9,87.2018779342723,8.615384615384617,92.31000000000002
49,explore,499.8,2532.0,491.3,87.23943661971832,8.923076923076923,92.33000000000001
50,explore,500.0,2542.3,502.7,87.25821596244131,9.153846153846153,92.33500000000001
51,explore,500.0,2556.3,511.2,87.28169014084509,9.23076923076923,92.35499999999999
52,explore,500.0,2566.3,518.2,87.29577464788733,9.384615384615383,92.35999999999999
53,explore,499.5,2581.6,527.8,87.20657276995306,9.615384615384617,92.25
54,explore,500.0,2588.8,537.8,87.34272300469483,9.692307692307692,92.39
55,explore,499.9,2602.8,544.3,87.36150234741783,9.923076923076923,92.395
56,explore,499.8,2609.4,556.5,87.38497652582159,10.000000000000002,92.415
57,explore,499.8,2617.1,568.2,87.42253521126761,10.307692307692308,92.435
58,explore,500.0,2626.1,578.9,87.45070422535214,10.538461538461537,92.44999999999999
59,explore,500.0,2637.4,587.6,87.48356807511738,10.923076923076923,92.46000000000001
60,explore,499.9,2651.0,595.1,87.52582159624414,11.153846153846155,92.49000000000001
61,explore,499.8,2656.3,605.0,87.54929577464789,11.384615384615387,92.50000000000003
62,explore,499.9,2663.6,614.6,87.5680751173709,11.538461538461538,92.51000000000002
63,explore,500.0,2675.2,622.1,87.58215962441315,11.76923076923077,92.51000000000002
64,explore,499.9,2690.3,630.7,87.60093896713614,12.0,92.51500000000001
65,explore,499.9,2695.6,639.2,87.61971830985915,12.153846153846155,92.525
66,explore,499.9,2704.3,646.4,87.67136150234742,12.615384615384617,92.55
67,explore,499.9,2709.4,658.7,87.68544600938966,12.615384615384617,92.565
68,explore,499.9,2716.2,667.1,87.72769953051643,13.0,92.58500000000001
69,explore,500.0,2730.9,675.0,87.75117370892019,13.153846153846155,92.60000000000001
70,explore,499.6,2736.1,686.2,87.79342723004694,13.615384615384613,92.61500000000001
71,explore,500.0,2741.5,695.5,87.81220657276995,13.769230769230768,92.625
72,explore,500.0,2751.5,703.2,87.84037558685445,14.076923076923077,92.635
73,explore,499.9,2759.3,710.9,87.85915492957744,14.230769230769232,92.64500000000001
74,explore,500.0,2764.3,720.3,87.88732394366197,14.615384615384617,92.65
75,explore,499.8,2770.3,729.2,87.91079812206573,14.76923076923077,92.665
76,explore,499.8,2774.2,740.3,87.96244131455398,15.07692307692308,92.7
77,explore,499.7,2778.7,749.6,88.0,15.07692307692308,92.74000000000001
78,explore,500.0,2781.2,762.7,88.04225352112675,15.30769230769231,92.77000000000001
79,explore,500.0,2786.9,772.1,88.075117370892,15.615384615384617,92.785
80,explore,500.0,2791.4,781.1,88.08450704225352,15.769230769230774,92.785
81,explore,499.9,2798.8,789.8,88.11267605633802,16.07692307692308,92.79499999999999
82,explore,500.0,2806.5,798.1,88.15023474178402,16.384615384615387,92.81500000000003
83,explore,499.8,2811.2,807.6,88.18309859154928,16.615384615384617,92.83500000000001
84,explore,499.4,2814.0,819.7,88.24413145539907,17.000000000000007,92.875
85,explore,499.8,2816.3,830.5,88.29107981220656,17.53846153846154,92.88999999999999
86,explore,499.9,2824.5,839.3,88.33333333333334,18.000000000000004,92.905
87,explore,499.7,2827.1,848.3,88.36150234741785,18.30769230769231,92.91500000000002
88,explore,499.8,2830.6,858.9,88.41784037558685,18.615384615384617,92.95500000000001
89,explore,500.0,2834.5,867.8,88.4507042253521,18.999999999999996,92.965
90,explore,499.8,2837.7,877.2,88.47887323943662,19.307692307692307,92.97500000000002
91,explore,499.8,2841.9,888.1,88.52112676056339,19.53846153846154,93.00500000000001
92,explore,499.9,2844.1,898.1,88.55399061032864,20.000000000000004,93.01
93,explore,499.9,2846.4,909.3,88.59624413145539,20.384615384615383,93.03
94,explore,499.8,2850.2,918.4,88.65258215962442,21.153846153846153,93.03999999999999
95,explore,499.8,2851.8,928.5,88.69483568075118,21.53846153846154,93.06
96,explore,499.9,2854.9,938.1,88.72300469483568,21.692307692307693,93.08000000000001
97,explore,499.7,2858.0,949.0,88.7699530516432,22.153846153846157,93.1
98,explore,499.8,2861.4,961.1,88.81220657276995,22.61538461538462,93.11500000000001
99,explore,499.8,2866.1,971.3,88.87793427230046,23.153846153846157,93.15
100,explore,499.8,2867.8,982.8,88.90140845070421,23.30769230769231,93.16499999999999
101,explore,499.6,2870.8,993.6,88.92488262910797,23.61538461538462,93.16999999999999
