trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,152.5,2.7,0.0,0.0,0.0
1,explore,500.0,235.5,8.6,0.04225352112676056,0.6923076923076923,0.0
2,explore,500.0,327.0,13.7,0.1596244131455399,0.8461538461538464,0.11499999999999999
3,explore,500.0,453.2,21.3,0.3849765258215963,1.0000000000000002,0.345
4,explore,500.0,568.1,31.1,1.8028169014084507,1.230769230769231,1.8399999999999999
5,explore,500.0,687.7,41.1,5.807511737089202,1.307692307692308,6.1000000000000005
6,explore,500.0,800.6,53.6,12.610328638497652,1.307692307692308,13.344999999999999
7,explore,500.0,891.2,71.0,24.07981220657277,1.5384615384615385,25.544999999999998
8,explore,500.0,995.8,85.3,31.882629107981217,2.0,33.825
9,explore,500.0,1085.5,103.9,43.44600938967136,2.0,46.14
10,explore,500.0,1172.3,121.1,52.87323943661971,2.4615384615384617,56.15
11,explore,500.0,1254.3,142.7,64.67136150234742,2.6923076923076925,68.69999999999999
12,explore,500.0,1339.1,160.2,71.16431924882627,2.769230769230769,75.60999999999999
13,explore,500.0,1424.8,173.5,74.3192488262911,3.0000000000000004,78.95500000000001
14,explore,500.0,1497.7,187.5,76.91549295774648,3.2307692307692313,81.70500000000001
15,explore,500.0,1556.0,202.8,80.35680751173709,3.307692307692308,85.36500000000001
16,explore,500.0,1635.5,217.2,81.04225352112675,3.6153846153846154,86.07499999999999
17,explore,500.0,1692.0,229.2,83.52582159624414,3.8461538461538467,88.70500000000001
18,explore,500.0,1754.6,238.1,84.17370892018779,3.9230769230769234,89.39000000000001
19,explore,500.0,1797.1,246.3,85.15962441314552,4.076923076923077,90.43
20,explore,500.0,1853.1,253.2,85.38028169014083,4.076923076923077,90.66499999999999
21,explore,500.0,1897.4,260.5,85.51643192488264,4.230769230769231,90.80000000000001
22,explore,500.0,1933.1,268.9,86.15962441314555,4.230769230769231,91.48500000000001
23,explore,500.0,1980.9,275.3,86.06572769953053,4.307692307692308,91.38
24,explore,500.0,2016.9,284.7,86.31455399061034,4.769230769230769,91.615
25,explore,500.0,2056.9,292.0,86.43192488262909,4.846153846153846,91.73499999999999
26,explore,500.0,2084.4,300.9,86.65727699530517,4.923076923076923,91.97
27,explore,500.0,2116.0,309.3,86.46478873239437,5.076923076923077,91.75500000000001
28,explore,500.0,2142.7,314.9,86.59154929577467,5.230769230769232,91.88000000000002
29,explore,500.0,2167.6,323.7,86.49295774647888,5.384615384615385,91.76500000000001
30,explore,500.0,2189.1,333.4,86.49295774647888,5.384615384615385,91.76500000000001
31,explore,500.0,2214.6,343.8,86.52112676056339,5.461538461538462,91.79
32,explore,500.0,2239.8,351.2,86.7511737089202,5.538461538461538,92.03
33,explore,500.0,2269.8,356.9,86.76525821596246,5.6923076923076925,92.03500000000001
34,explore,500.0,2295.1,365.0,86.79812206572771,6.0769230769230775,92.045
35,explore,500.0,2317.1,372.6,86.80751173708921,6.0769230769230775,92.05500000000002
36,explore,500.0,2338.7,381.2,86.83098591549296,6.384615384615385,92.06000000000002
37,explore,500.0,2352.9,390.7,86.84507042253522,6.461538461538463,92.07000000000002
38,explore,500.0,2376.2,396.8,86.86854460093898,6.769230769230771,92.07500000000002
39,explore,500.0,2400.5,405.6,86.87323943661971,6.769230769230771,92.08000000000001
40,explore,500.0,2419.0,412.9,86.79342723004694,6.846153846153847,91.98999999999998
41,explore,500.0,2440.7,422.6,86.92957746478872,7.153846153846153,92.115
42,explore,500.0,2453.8,430.7,87.08450704225352,7.384615384615385,92.265
43,explore,500.0,2472.4,439.1,87.09389671361502,7.461538461538463,92.27
44,explore,500.0,2483.1,446.8,87.11737089201878,7.769230769230769,92.27499999999999
45,explore,500.0,2498.1,454.3,87.13615023474179,7.9230769230769225,92.285
46,explore,500.0,2511.3,463.3,87.18779342723006,8.23076923076923,92.32000000000001
47,explore,500.0,2536.0,471.3,87.08920187793427,8.384615384615385,92.205
48,explore,500.0,2550.9,479.2,87.10328638497654,8.461538461538463,92.215
49,explore,500.0,2565.6,488.4,87.23004694835682,8.538461538461538,92.345
50,explore,500.0,2580.9,498.5,87.26760563380283,8.76923076923077,92.36999999999998
51,explore,500.0,2592.2,508.6,87.31455399061034,9.076923076923077,92.4
52,explore,500.0,2607.3,517.2,87.21596244131456,9.153846153846155,92.29
53,explore,500.0,2618.0,525.0,87.34741784037558,9.384615384615385,92.41499999999999
54,explore,500.0,2630.0,531.7,87.36619718309859,9.384615384615385,92.435
55,explore,500.0,2639.6,540.9,87.38028169014083,9.538461538461538,92.44000000000001
56,explore,500.0,2646.4,549.9,87.38967136150234,9.692307692307693,92.44000000000001
57,explore,500.0,2657.6,558.6,87.40845070422534,9.846153846153845,92.45000000000002
58,explore,500.0,2667.9,568.8,87.4319248826291,9.923076923076923,92.47000000000001
59,explore,500.0,2674.7,577.5,87.46009389671362,10.076923076923077,92.48999999999998
60,explore,500.0,2687.6,585.3,87.47887323943661,10.153846153846155,92.505
61,explore,500.0,2694.1,595.6,87.49765258215963,10.230769230769232,92.52
62,explore,500.0,2699.6,605.2,87.51643192488264,10.461538461538462,92.525
63,explore,500.0,2709.5,616.3,87.56338028169016,10.846153846153845,92.55000000000001
64,explore,500.0,2716.7,623.3,87.59154929577464,11.153846153846153,92.56
65,explore,500.0,2721.5,634.5,87.6150234741784,11.384615384615387,92.57000000000001
66,explore,500.0,2730.2,644.1,87.63380281690141,11.538461538461537,92.58
67,explore,500.0,2735.0,653.9,87.64319248826291,11.615384615384615,92.585
68,explore,500.0,2741.2,663.4,87.68075117370893,11.846153846153845,92.61000000000001
69,explore,500.0,2751.0,672.4,87.70892018779341,11.923076923076923,92.635
70,explore,500.0,2756.3,681.7,87.76525821596246,12.461538461538463,92.66000000000001
71,explore,500.0,2761.4,693.9,87.78403755868547,12.53846153846154,92.67500000000001
72,explore,500.0,2766.1,704.4,87.81220657276995,12.615384615384617,92.7
73,explore,500.0,2774.2,713.9,87.84037558685444,12.769230769230772,92.72
74,explore,500.0,2779.8,722.8,87.84037558685444,12.769230769230772,92.72
75,explore,500.0,2783.2,732.7,87.87793427230046,12.846153846153848,92.75500000000001
76,explore,500.0,2785.3,743.5,87.90140845070422,13.000000000000004,92.77
77,explore,500.0,2788.5,752.4,87.92018779342723,13.153846153846155,92.78
78,explore,500.0,2797.7,762.0,87.84507042253523,13.30769230769231,92.69000000000001
79,explore,500.0,2799.7,776.4,87.86854460093895,13.461538461538462,92.70500000000001
80,explore,500.0,2803.3,786.9,87.99061032863848,13.538461538461542,92.83000000000001
81,explore,500.0,2807.8,799.4,88.02816901408451,13.846153846153848,92.85
82,explore,500.0,2812.2,809.3,88.04694835680752,14.000000000000004,92.86
83,explore,500.0,2817.9,819.1,88.07511737089202,14.153846153846155,92.88000000000001
84,explore,500.0,2822.4,831.4,88.12206572769955,14.461538461538462,92.91
85,explore,500.0,2825.6,842.1,88.13615023474179,14.461538461538462,92.925
86,explore,500.0,2834.9,853.5,88.17370892018779,14.769230769230768,92.94500000000001
87,explore,500.0,2837.0,864.5,88.20657276995303,15.0,92.965
88,explore,500.0,2843.2,874.6,88.2488262910798,15.307692307692307,92.99
89,explore,500.0,2849.3,885.9,88.28638497652581,15.615384615384617,93.00999999999999
90,explore,500.0,2856.8,897.8,88.31924882629109,16.0,93.02
91,explore,500.0,2860.1,910.6,88.36150234741785,16.461538461538463,93.03500000000001
92,explore,500.0,2862.5,922.2,88.3943661971831,16.76923076923077,93.05
93,explore,500.0,2863.9,934.4,88.4131455399061,16.923076923076927,93.06
94,explore,500.0,2865.4,944.6,88.44600938967136,16.923076923076927,93.09500000000001
95,explore,500.0,2866.7,955.8,88.4694835680751,17.000000000000004,93.11500000000002
96,explore,500.0,2867.4,968.2,88.4788732394366,17.000000000000004,93.125
97,explore,500.0,2868.0,982.0,88.53051643192487,17.46153846153846,93.15
98,explore,500.0,2870.0,992.7,88.56338028169014,17.615384615384617,93.175
99,explore,500.0,2873.7,1003.7,88.5868544600939,17.76923076923077,93.18999999999998
100,explore,500.0,2879.1,1014.7,88.63849765258215,18.153846153846153,93.22
101,explore,500.0,2885.2,1026.1,88.57276995305165,18.307692307692307,93.14000000000001
102,explore,500.0,2888.0,1038.2,88.59154929577464,18.307692307692307,93.16
103,explore,500.0,2889.7,1051.2,88.64788732394365,18.461538461538463,93.21
104,explore,500.0,2892.3,1064.0,88.70892018779344,18.769230769230774,93.25500000000001
