trial,phase,steps,numerosity,reliable,knowledge,with_block,no_block
0,explore,500.0,153.9,3.22,0.004716981132075475,0.05,0.0
1,explore,500.0,266.42,7.48,0.240566037735849,0.4,0.22395833333333331
2,explore,500.0,379.8,14.54,1.5400943396226419,0.45,1.653645833333334
3,explore,500.0,498.6,24.0,5.587264150943397,0.5249999999999999,6.114583333333332
4,explore,500.0,599.36,36.38,12.620283018867925,0.7500000000000001,13.85677083333333
5,explore,500.0,685.5,51.0,25.13443396226415,0.95,27.65364583333333
6,explore,500.0,761.8799999999997,70.79999999999998,44.002358490566046,1.125,48.46875000000002
7,explore,500.0,828.98,88.4,58.02830188679244,1.4,63.92708333333332
8,explore,499.96,890.62,105.02,66.87971698113205,1.6500000000000004,73.67447916666666
9,explore,499.96,935.54,120.76,73.19575471698116,1.8000000000000005,80.63281249999996
10,explore,499.96,976.38,132.35999999999996,75.98349056603773,1.925,83.69791666666666
11,explore,499.98,1006.64,143.30000000000004,77.25707547169816,2.074999999999999,85.08854166666664
12,explore,499.98,1034.4799999999998,152.3,77.82075471698113,2.3000000000000003,85.68750000000001
13,explore,499.98,1059.5000000000007,161.42,78.79952830188682,2.625,86.73437500000004
14,explore,499.98,1077.6400000000003,168.89999999999992,79.26415094339622,2.725,87.23697916666669
15,explore,500.0,1093.0999999999997,177.64000000000007,79.33018867924528,2.9249999999999994,87.28906250000001
16,explore,499.96,1110.8400000000004,185.4,79.64150943396226,3.15,87.60937499999996
17,explore,499.98,1125.5199999999998,192.12,79.752358490566,3.6,87.68489583333334
18,explore,499.96,1138.9800000000002,200.24,79.84669811320748,4.1,87.73697916666669
19,explore,499.88,1153.2599999999993,208.26,79.93396226415092,4.475,87.79427083333336
20,explore,499.98,1165.48,216.5,80.02122641509432,4.925,87.84375000000001
21,explore,499.94,1176.4599999999991,224.68,80.12264150943392,5.55,87.89062500000004
22,explore,499.94,1187.0200000000002,233.4,80.21462264150944,6.125000000000001,87.93229166666664
23,explore,499.96,1197.98,241.08,80.3608490566038,6.55,88.04947916666664
24,explore,499.94,1205.98,249.5,80.54245283018868,7.0,88.203125
25,explore,499.8,1213.1800000000005,259.44,80.66273584905662,7.575000000000002,88.2760416666667
26,explore,499.8,1219.6000000000004,269.11999999999995,80.73349056603776,8.124999999999996,88.29687500000001
27,explore,499.94,1228.4200000000005,277.5200000000001,80.86084905660374,8.725000000000003,88.375
28,explore,499.92,1235.0600000000004,286.68000000000006,81.01650943396224,9.425000000000002,88.47395833333334
29,explore,499.82,1240.4599999999998,295.96000000000004,81.1061320754717,9.924999999999997,88.5208333333333
30,explore,499.9,1245.5399999999995,305.06000000000006,81.2429245283019,10.525,88.60937500000001
31,explore,499.78,1250.5,314.26,81.38915094339625,11.05,88.71614583333334
32,explore,499.82,1255.4400000000003,324.0399999999999,81.5070754716981,11.65,88.78385416666664
33,explore,499.82,1258.7999999999997,334.34,81.64386792452828,12.475,88.84895833333331
34,explore,499.86,1263.62,343.5,81.74292452830187,12.85,88.91927083333337
35,explore,499.9,1267.6200000000003,354.02,81.87500000000004,13.675,88.9791666666667
36,explore,499.76,1270.92,364.36,82.03301886792453,14.325,89.08593750000001
37,explore,499.86,1274.0999999999997,373.86,82.16037735849056,14.85,89.171875
38,explore,499.82,1277.12,383.94,82.28301886792457,15.400000000000002,89.24999999999999
