trial,phase,steps,numerosity,reliable,knowledge
0,explore,34.2,25.2,0.0,0.0
1,explore,33.3,52.5,0.0,0.0
2,explore,22.5,71.5,0.0,0.0
3,explore,45.8,101.7,0.0,0.0
4,explore,30.7,118.5,0.0,0.0
5,explore,34.0,139.4,0.0,0.0
6,explore,33.4,162.8,0.0,0.0
7,explore,37.4,181.6,0.1,0.0
8,explore,36.0,199.2,0.2,0.0
9,explore,32.2,213.0,0.4,0.0
10,explore,31.5,225.3,0.7,0.0
11,explore,38.0,241.0,1.0,0.0
12,explore,43.7,261.5,1.2,0.0
13,explore,42.8,275.2,1.6,0.0
14,explore,40.0,288.5,2.4,0.0
15,explore,42.8,301.6,2.8,0.1739130434782609
16,explore,42.8,311.7,3.4,0.2608695652173913
17,explore,32.8,318.2,4.1,0.5217391304347827
18,explore,36.2,324.7,4.8,0.6086956521739131
19,explore,44.1,331.6,5.9,0.6086956521739131
20,explore,45.5,338.4,7.3,1.2173913043478264
21,explore,36.7,343.3,8.1,1.3043478260869565
22,explore,41.2,349.2,9.5,1.6521739130434785
23,explore,32.0,351.6,9.6,1.6521739130434785
24,explore,42.2,356.1,10.2,1.7391304347826089
25,explore,34.1,357.8,10.8,2.0000000000000004
26,explore,32.5,358.8,11.7,2.347826086956522
27,explore,42.5,362.3,12.7,2.4347826086956523
28,explore,45.0,363.9,13.5,2.695652173913043
29,explore,44.6,367.5,14.0,2.8695652173913038
30,explore,41.9,369.6,14.7,2.9565217391304346
31,explore,40.5,369.6,15.5,3.304347826086957
32,explore,45.4,370.1,16.8,4.000000000000001
33,explore,36.2,371.0,17.6,4.521739130434784
34,explore,32.6,371.9,18.2,4.695652173913045
35,explore,44.9,371.9,19.3,5.043478260869566
36,explore,46.2,372.1,19.9,5.391304347826088
37,explore,45.0,372.4,20.9,5.739130434782609
38,explore,44.8,373.0,21.7,6.086956521739131
39,explore,43.4,373.3,23.1,7.217391304347826
40,explore,41.6,372.5,25.1,8.173913043478262
41,explore,40.5,371.6,26.3,8.782608695652174
42,explore,40.8,371.4,27.6,9.130434782608695
43,explore,48.7,370.7,28.8,9.739130434782608
44,explore,44.8,370.1,29.7,10.086956521739133
45,explore,46.5,370.2,30.9,10.695652173913043
46,explore,42.8,370.1,33.2,11.91304347826087
47,explore,37.3,370.2,34.4,12.521739130434783
48,explore,40.6,370.0,35.6,13.217391304347824
49,explore,31.6,369.6,36.9,13.91304347826087
50,explore,40.8,369.4,38.4,14.347826086956525
51,explore,38.2,369.1,40.1,15.130434782608697
52,explore,41.5,368.2,41.7,16.086956521739133
53,explore,44.4,367.5,42.7,16.782608695652176
54,explore,39.4,367.1,43.4,17.1304347826087
55,explore,41.9,366.4,45.6,18.34782608695652
56,explore,29.7,366.3,46.5,18.782608695652172
57,explore,29.1,366.3,47.2,19.217391304347824
58,explore,36.9,365.7,48.8,19.826086956521742
59,explore,42.0,364.2,50.5,20.869565217391305
60,explore,38.4,363.6,52.5,21.73913043478261
61,explore,41.7,363.1,54.5,22.52173913043478
62,explore,39.1,362.3,56.4,23.73913043478261
63,explore,44.2,362.3,58.1,24.695652173913043
64,explore,42.4,361.2,60.7,26.43478260869565
65,explore,41.3,360.8,61.9,27.043478260869563
66,explore,36.2,360.1,63.9,27.82608695652174
67,explore,43.2,359.3,65.9,28.695652173913043
68,explore,40.5,359.5,68.7,30.0
69,explore,39.3,360.3,70.3,31.217391304347824
70,explore,45.4,360.0,72.6,32.347826086956516
71,explore,37.0,359.2,74.1,33.04347826086956
72,explore,40.1,359.2,76.7,34.347826086956516
73,explore,35.7,358.4,78.9,35.82608695652174
74,explore,41.3,357.2,81.1,37.04347826086956
75,explore,40.0,356.2,82.7,38.0
76,explore,37.5,355.7,85.1,39.1304347826087
77,explore,35.7,355.5,86.6,40.17391304347826
78,explore,34.2,355.0,88.1,41.04347826086957
79,explore,38.5,354.3,90.0,42.2608695652174
80,explore,42.4,353.6,92.4,43.39130434782608
81,explore,33.9,354.0,94.1,44.08695652173913
82,explore,38.1,353.5,95.9,44.95652173913044
83,explore,36.8,353.5,98.0,46.08695652173913
84,explore,41.7,352.8,100.4,47.30434782608695
