trial,phase,steps,numerosity,reliable,knowledge
0,explore,20.6,17.8,0.0,0.0
1,explore,36.8,46.8,0.0,0.0
2,explore,30.1,69.2,0.0,0.0
3,explore,35.1,93.8,0.0,0.0
4,explore,33.8,115.4,0.0,0.0
5,explore,34.5,134.3,0.1,0.0
6,explore,34.7,157.0,0.1,0.0
7,explore,18.6,167.0,0.1,0.0
8,explore,40.9,187.4,0.1,0.0
9,explore,43.3,207.5,0.3,0.0
10,explore,38.7,227.5,0.6,0.0
11,explore,38.6,246.4,1.0,0.08695652173913045
12,explore,35.8,260.3,1.2,0.08695652173913045
13,explore,39.2,274.5,1.6,0.08695652173913045
14,explore,38.8,286.8,1.7,0.08695652173913045
15,explore,26.8,294.6,2.3,0.08695652173913045
16,explore,37.7,303.8,3.5,0.1739130434782609
17,explore,44.7,316.4,4.5,0.2608695652173913
18,explore,43.4,324.1,5.5,0.34782608695652173
19,explore,44.8,327.9,6.2,0.6086956521739131
20,explore,47.5,334.3,7.1,0.6086956521739131
21,explore,33.5,338.6,7.9,0.7826086956521741
22,explore,43.3,341.7,8.5,0.7826086956521741
23,explore,31.4,343.8,9.1,0.8695652173913043
24,explore,48.7,348.8,10.1,0.9565217391304348
25,explore,41.9,352.0,10.8,1.1304347826086958
26,explore,44.1,355.6,11.3,1.5652173913043481
27,explore,36.7,359.5,12.1,1.6521739130434785
28,explore,39.4,359.9,12.9,1.8260869565217395
29,explore,39.8,362.9,13.9,2.086956521739131
30,explore,43.3,364.8,14.1,2.2608695652173916
31,explore,44.0,366.4,14.5,2.3478260869565224
32,explore,41.8,367.7,15.4,2.8695652173913047
33,explore,42.7,369.1,16.1,3.2173913043478266
34,explore,34.2,369.7,17.0,3.7391304347826093
35,explore,31.4,369.2,17.9,4.086956521739132
36,explore,44.9,369.7,19.3,4.9565217391304355
37,explore,47.8,370.3,20.6,5.478260869565218
38,explore,47.0,370.8,22.1,6.086956521739132
39,explore,34.5,370.6,24.0,6.695652173913045
40,explore,47.1,371.1,25.8,7.91304347826087
41,explore,42.3,371.2,26.5,8.434782608695654
42,explore,44.4,370.8,27.4,9.130434782608695
43,explore,44.5,370.7,28.5,9.565217391304348
44,explore,37.9,369.8,29.5,10.260869565217394
45,explore,38.3,369.3,30.6,10.956521739130435
46,explore,43.5,368.3,31.5,11.565217391304348
47,explore,39.3,367.6,33.2,12.434782608695652
48,explore,38.4,367.0,34.0,12.869565217391306
49,explore,36.2,365.9,35.7,13.913043478260871
50,explore,41.0,365.8,37.0,14.521739130434785
51,explore,38.7,365.2,38.4,15.478260869565215
52,explore,40.8,365.1,39.6,16.17391304347826
53,explore,43.8,363.9,40.8,16.869565217391305
54,explore,40.7,363.2,41.7,17.391304347826086
55,explore,40.7,362.6,43.2,18.608695652173918
56,explore,33.1,361.8,43.9,19.04347826086957
57,explore,40.2,361.0,45.5,20.086956521739133
58,explore,40.3,360.1,47.5,21.130434782608695
59,explore,49.1,359.1,49.8,22.43478260869565
60,explore,36.1,359.1,51.2,23.217391304347828
61,explore,35.2,358.9,52.3,23.652173913043477
62,explore,45.6,358.8,55.2,25.04347826086957
63,explore,31.1,358.5,56.8,26.086956521739133
64,explore,33.5,358.4,58.1,27.043478260869563
65,explore,46.0,358.5,61.3,28.695652173913043
