trial,phase,steps,numerosity,reliable,knowledge
0,explore,35.9,28.0,0.0,0.0
1,explore,48.4,63.5,0.0,0.0
2,explore,45.2,95.1,0.0,0.0
3,explore,49.7,128.5,0.0,0.0
4,explore,47.9,158.2,0.0,0.0
5,explore,47.5,185.7,0.1,0.0
6,explore,41.9,205.7,0.5,0.0
7,explore,46.5,225.9,1.0,0.0
8,explore,47.9,249.7,2.3,0.06711409395973154
9,explore,50.0,269.9,3.5,0.06711409395973154
10,explore,50.0,288.6,4.1,0.06711409395973154
11,explore,42.6,301.0,5.1,0.1342281879194631
12,explore,46.1,316.4,6.1,0.3355704697986577
13,explore,45.1,327.7,6.9,0.3355704697986577
14,explore,50.0,340.4,7.7,0.4697986577181208
15,explore,47.1,348.5,8.7,0.6040268456375839
16,explore,42.1,353.6,8.8,0.6040268456375839
17,explore,46.7,364.5,9.1,0.738255033557047
18,explore,49.7,373.5,10.1,0.9395973154362418
19,explore,41.4,382.1,10.7,1.0067114093959728
20,explore,50.0,389.4,12.8,1.7449664429530198
21,explore,50.0,397.6,13.6,1.8791946308724827
22,explore,50.0,402.0,14.6,2.2147651006711406
23,explore,50.0,406.9,15.1,2.348993288590604
24,explore,48.7,410.4,16.4,2.6174496644295306
25,explore,47.8,413.1,17.0,2.8187919463087256
26,explore,50.0,417.5,17.8,3.087248322147652
27,explore,49.5,423.3,18.4,3.3557046979865772
28,explore,50.0,426.7,19.4,3.6241610738255035
29,explore,50.0,429.2,20.3,3.825503355704698
30,explore,48.1,432.0,21.2,4.29530201342282
31,explore,42.2,434.2,22.1,4.697986577181207
32,explore,50.0,435.0,22.4,4.899328859060402
33,explore,44.9,436.4,23.2,5.302013422818792
34,explore,47.9,437.1,24.0,5.63758389261745
35,explore,50.0,437.9,26.0,6.375838926174497
36,explore,50.0,437.5,27.0,6.845637583892616
37,explore,50.0,438.6,27.8,7.046979865771813
38,explore,50.0,438.8,28.8,7.382550335570469
39,explore,50.0,439.5,30.4,7.9865771812080535
40,explore,48.2,439.4,31.1,8.25503355704698
41,explore,41.1,438.2,31.7,8.590604026845636
42,explore,48.2,436.9,32.9,8.85906040268456
43,explore,46.3,436.7,34.2,9.395973154362418
44,explore,42.3,435.4,35.0,9.798657718120804
45,explore,49.3,435.0,35.8,9.999999999999998
46,explore,50.0,434.3,37.4,10.671140939597317
47,explore,43.6,433.0,38.6,11.409395973154362
48,explore,45.9,433.3,39.9,12.14765100671141
49,explore,50.0,433.8,41.6,12.818791946308727
50,explore,49.1,432.9,42.8,13.48993288590604
51,explore,47.4,431.5,43.8,14.026845637583893
52,explore,48.4,430.2,45.1,14.765100671140942
53,explore,50.0,428.9,46.7,15.436241610738255
54,explore,45.8,427.7,48.5,16.174496644295303
55,explore,47.0,426.3,49.5,16.778523489932887
56,explore,50.0,424.7,50.9,17.248322147651006
57,explore,36.6,423.9,52.6,18.25503355704698
58,explore,43.6,423.3,53.9,18.859060402684566
59,explore,50.0,421.9,55.9,19.865771812080535
60,explore,39.4,421.2,56.5,20.201342281879196
61,explore,45.3,420.8,58.3,21.0738255033557
62,explore,49.3,419.5,59.8,21.812080536912752
63,explore,47.4,417.9,61.0,22.281879194630882
64,explore,50.0,418.0,62.9,23.02013422818792
65,explore,46.2,417.4,64.5,23.75838926174497
66,explore,50.0,416.2,66.2,24.496644295302016
67,explore,37.8,415.4,68.4,25.57046979865772
68,explore,47.0,414.9,70.2,26.24161073825503
69,explore,47.9,414.3,72.0,27.114093959731548
70,explore,40.2,414.2,73.2,27.58389261744967
71,explore,49.0,414.0,75.1,28.389261744966444
72,explore,49.5,413.4,76.6,28.99328859060403
73,explore,50.0,413.1,79.0,30.06711409395973
74,explore,50.0,412.4,80.8,30.67114093959732
75,explore,49.6,411.7,83.6,31.67785234899329
76,explore,42.8,410.4,85.0,32.08053691275168
77,explore,44.6,409.1,86.2,32.751677852349
78,explore,48.8,408.1,88.6,33.624161073825505
79,explore,50.0,406.9,90.2,34.36241610738255
80,explore,46.9,406.4,91.8,35.10067114093961
