trial,phase,steps,numerosity,reliable,knowledge
0,explore,50.0,38.5,0.0,0.0
1,explore,44.9,73.3,0.0,0.0
2,explore,47.0,110.6,0.0,0.0
3,explore,46.9,144.7,0.0,0.0
4,explore,49.4,183.9,0.0,0.0
5,explore,43.7,211.3,0.3,0.0
6,explore,42.8,234.1,0.5,0.0
7,explore,47.8,259.5,0.7,0.0
8,explore,50.0,285.4,2.0,0.0
9,explore,50.0,307.5,3.1,0.06711409395973154
10,explore,50.0,325.7,4.0,0.1342281879194631
11,explore,49.0,344.2,5.2,0.4026845637583893
12,explore,45.3,359.8,6.5,0.4026845637583893
13,explore,47.9,372.7,7.7,0.5369127516778525
14,explore,43.4,384.5,8.4,0.7382550335570471
15,explore,50.0,394.8,10.0,1.2751677852348995
16,explore,49.2,404.9,11.6,1.4093959731543624
17,explore,45.1,414.0,12.3,1.5436241610738255
18,explore,39.3,420.6,13.5,1.8120805369127513
19,explore,50.0,427.0,14.3,1.8791946308724827
20,explore,47.9,433.3,15.4,2.21476510067114
21,explore,50.0,438.0,16.1,2.483221476510067
22,explore,50.0,442.5,17.6,2.953020134228188
23,explore,46.3,447.6,18.4,3.1543624161073827
24,explore,50.0,453.2,19.6,3.6912751677852342
25,explore,47.4,454.0,20.5,3.892617449664429
26,explore,46.3,458.3,21.7,4.228187919463087
27,explore,41.4,462.3,22.7,4.5637583892617455
28,explore,43.1,464.1,23.1,4.697986577181208
29,explore,44.1,465.2,24.1,5.100671140939597
30,explore,50.0,465.9,25.2,5.4362416107382545
31,explore,46.4,469.5,26.2,5.771812080536913
32,explore,50.0,469.9,27.0,6.174496644295303
33,explore,50.0,472.9,28.3,6.7114093959731544
34,explore,41.6,473.5,29.3,6.979865771812081
35,explore,50.0,473.8,31.0,7.315436241610739
36,explore,50.0,473.3,32.6,8.053691275167784
37,explore,46.8,474.2,34.3,8.523489932885905
38,explore,46.2,474.3,35.3,8.993288590604026
39,explore,50.0,472.7,37.0,9.395973154362418
40,explore,50.0,472.8,38.1,9.664429530201343
41,explore,40.7,471.7,39.2,10.134228187919463
42,explore,42.6,472.0,40.3,10.671140939597315
43,explore,45.6,470.8,41.0,10.872483221476509
44,explore,50.0,470.8,41.9,11.208053691275166
45,explore,50.0,470.0,43.8,11.946308724832214
46,explore,47.9,469.9,44.8,12.21476510067114
47,explore,50.0,469.3,46.0,12.483221476510067
48,explore,49.5,469.2,47.5,12.953020134228188
49,explore,49.7,468.8,48.6,13.355704697986578
50,explore,49.4,469.3,49.6,13.758389261744966
51,explore,50.0,468.6,52.2,14.429530201342283
52,explore,45.4,468.2,53.8,15.369127516778523
53,explore,50.0,467.3,55.7,16.241610738255034
54,explore,49.0,466.8,57.1,16.644295302013422
55,explore,47.7,466.5,58.5,17.315436241610737
56,explore,44.7,466.8,60.2,18.053691275167786
57,explore,50.0,466.0,61.3,18.45637583892617
58,explore,43.5,465.1,62.3,18.926174496644293
59,explore,40.0,464.1,63.7,19.530201342281877
60,explore,41.7,462.9,65.6,20.335570469798657
61,explore,50.0,462.4,67.0,21.140939597315437
62,explore,46.4,461.2,68.2,21.543624161073826
63,explore,47.7,460.4,69.4,21.946308724832218
64,explore,48.4,459.7,71.2,22.684563758389263
65,explore,49.4,458.8,73.6,23.6241610738255
66,explore,42.2,457.4,75.0,24.228187919463085
67,explore,40.4,457.0,76.7,24.83221476510067
68,explore,43.2,456.2,78.7,25.838926174496642
69,explore,50.0,455.2,80.3,26.577181208053695
70,explore,48.1,453.1,83.3,27.58389261744967
71,explore,45.9,452.2,84.7,28.12080536912752
72,explore,48.2,452.0,86.5,28.859060402684566
73,explore,47.6,450.5,87.5,29.395973154362416
74,explore,45.8,449.5,88.7,29.798657718120808
75,explore,49.7,448.4,90.5,30.469798657718123
76,explore,44.4,447.5,92.5,31.342281879194626
