trial,phase,steps,numerosity,reliable,knowledge
0,explore,31.8,19.5,0.0,0.0
1,explore,43.9,42.8,0.0,0.0
2,explore,40.0,57.2,0.0,0.0
3,explore,23.2,64.9,0.1,0.0
4,explore,40.8,74.9,0.3,0.0
5,explore,37.8,81.5,0.6,0.0
6,explore,35.2,86.6,1.4,1.4285714285714286
7,explore,42.3,93.8,1.6,1.4285714285714286
8,explore,32.1,96.0,2.3,1.9047619047619047
9,explore,40.8,99.0,4.0,3.3333333333333335
10,explore,40.2,102.6,5.4,3.8095238095238093
11,explore,41.0,103.8,7.6,4.285714285714286
12,explore,35.7,105.0,10.5,7.142857142857143
13,explore,42.9,105.6,14.0,11.904761904761902
14,explore,42.1,106.4,17.2,14.285714285714283
15,explore,33.9,107.1,20.4,18.57142857142857
16,explore,38.4,106.8,23.6,23.809523809523803
17,explore,38.5,106.8,27.1,28.571428571428566
18,explore,38.0,107.1,29.8,32.38095238095237
19,explore,35.9,107.4,33.1,38.57142857142856
20,explore,36.7,107.1,36.0,42.857142857142854
21,explore,36.2,106.9,39.1,47.61904761904761
22,explore,40.0,106.6,42.3,53.33333333333333
23,explore,32.6,106.2,44.7,56.66666666666667
24,explore,46.7,106.3,48.0,61.904761904761905
25,explore,36.2,106.2,51.0,67.6190476190476
26,explore,28.2,106.2,52.0,68.09523809523809
27,explore,39.9,106.3,55.1,72.38095238095238
28,explore,36.4,106.1,56.3,74.28571428571428
29,explore,44.5,105.6,59.2,76.66666666666666
30,explore,44.3,105.6,61.4,78.57142857142856
31,explore,31.0,105.6,62.3,79.5238095238095
32,explore,42.7,105.2,64.3,82.85714285714285
33,explore,41.7,104.9,65.7,83.8095238095238
34,explore,31.1,104.5,66.2,83.8095238095238
35,explore,32.1,103.8,67.7,84.76190476190476
36,explore,34.8,103.5,68.7,85.71428571428571
37,explore,40.5,103.4,70.2,87.6190476190476
38,explore,35.0,103.0,70.6,87.6190476190476
39,explore,44.6,102.2,72.1,88.57142857142856
40,explore,39.4,101.2,72.6,88.57142857142856
41,explore,34.9,100.7,73.4,88.57142857142856
42,explore,35.1,100.7,74.3,89.52380952380952
43,explore,43.6,100.1,74.9,90.0
44,explore,43.4,99.7,75.8,90.0
45,explore,42.2,99.3,77.1,90.47619047619047
46,explore,24.0,99.2,77.3,90.47619047619047
47,explore,40.2,98.9,77.9,90.95238095238095
48,explore,34.7,98.6,78.6,90.95238095238095
49,explore,30.9,98.3,79.5,90.95238095238095
50,explore,43.8,98.0,80.2,90.95238095238095
51,explore,30.9,97.7,80.7,91.42857142857143
52,explore,47.0,97.2,81.1,91.42857142857143
53,explore,32.2,96.8,81.5,91.9047619047619
54,explore,37.3,96.7,81.7,91.9047619047619
55,explore,35.2,96.5,82.2,92.38095238095238
