trial,phase,steps,numerosity,reliable,knowledge
0,explore,24.4,16.5,0.0,0.0
1,explore,40.8,35.2,0.0,0.0
2,explore,26.6,45.3,0.0,0.0
3,explore,38.3,57.9,0.1,0.0
4,explore,35.8,66.9,0.3,0.0
5,explore,35.0,75.4,0.5,0.8
6,explore,38.8,85.2,0.8,0.8
7,explore,33.7,90.8,0.9,0.4
8,explore,47.0,95.2,1.6,0.4
9,explore,46.1,100.0,3.2,1.6
10,explore,37.2,102.5,5.0,2.0
11,explore,41.6,105.1,8.2,4.0
12,explore,40.6,106.7,10.9,5.2
13,explore,42.9,108.1,13.9,6.8
14,explore,42.0,109.1,16.5,8.4
15,explore,40.2,109.2,19.4,11.2
16,explore,37.8,109.4,21.3,13.2
17,explore,43.4,109.5,24.8,17.2
18,explore,43.4,110.2,27.5,20.8
19,explore,41.6,110.0,30.3,26.8
20,explore,38.9,110.0,31.7,30.0
21,explore,45.1,110.2,34.3,33.2
22,explore,28.9,110.2,35.2,35.6
23,explore,45.5,110.1,37.7,37.2
24,explore,45.5,110.0,41.0,41.6
25,explore,38.6,109.9,43.5,44.4
26,explore,44.0,109.5,45.5,47.2
27,explore,32.9,109.3,47.2,48.4
28,explore,29.5,109.5,48.8,51.2
29,explore,41.1,109.3,50.3,54.8
30,explore,41.0,108.3,52.3,57.2
31,explore,43.0,107.9,54.0,60.4
32,explore,37.2,107.6,55.3,61.6
33,explore,39.6,107.1,56.5,62.0
34,explore,45.8,106.5,58.0,64.4
35,explore,34.9,106.1,59.1,65.2
36,explore,36.8,105.5,60.3,67.2
37,explore,33.8,105.2,60.7,67.2
38,explore,47.0,105.0,62.1,67.6
39,explore,27.6,104.7,62.4,68.0
40,explore,37.4,104.6,62.9,68.8
41,explore,35.5,104.4,63.5,69.6
42,explore,39.4,104.0,64.0,71.2
43,explore,34.1,103.9,64.7,71.6
44,explore,40.2,103.8,65.2,72.0
45,explore,45.8,103.5,65.8,72.0
46,explore,36.7,103.3,67.1,72.8
