trial,phase,steps,numerosity,reliable,knowledge
0,explore,12.2,10.4,0.0,0.0
1,explore,14.7,21.4,0.0,0.0
2,explore,20.7,34.3,0.0,0.0
3,explore,21.6,47.6,0.0,0.0
4,explore,18.1,58.8,0.0,0.0
5,explore,13.5,65.6,0.0,0.0
6,explore,10.2,71.3,0.0,0.0
7,explore,16.9,78.7,0.0,0.0
8,explore,10.4,83.6,0.0,0.0
9,explore,14.1,89.4,0.0,0.0
10,explore,18.1,96.3,0.0,0.0
11,explore,11.5,99.8,0.0,0.0
12,explore,11.3,104.4,0.0,0.0
13,explore,16.6,108.6,0.0,0.0
14,explore,13.4,112.9,0.0,0.0
15,explore,20.4,119.0,0.1,0.2702702702702703
16,explore,9.6,120.4,0.1,0.2702702702702703
17,explore,12.0,121.6,0.1,0.2702702702702703
18,explore,20.2,125.2,0.2,0.2702702702702703
19,explore,22.3,128.4,0.2,0.2702702702702703
20,explore,23.0,131.3,0.2,0.2702702702702703
21,explore,19.3,132.7,0.2,0.2702702702702703
22,explore,13.7,133.9,0.3,0.2702702702702703
23,explore,18.9,135.5,0.3,0.2702702702702703
24,explore,26.1,138.8,0.4,0.2702702702702703
25,explore,14.4,139.9,0.5,0.5405405405405406
26,explore,15.1,140.6,0.6,0.8108108108108109
27,explore,17.1,140.5,0.7,0.8108108108108109
28,explore,18.2,140.9,0.8,1.0810810810810811
29,explore,23.1,142.6,1.0,1.3513513513513513
30,explore,28.2,143.7,1.5,1.6216216216216217
31,explore,24.6,144.3,2.5,2.4324324324324325
32,explore,20.1,144.0,2.9,2.972972972972973
33,explore,20.9,144.2,3.4,3.513513513513513
34,explore,21.2,144.3,4.2,4.324324324324324
35,explore,18.8,144.3,5.0,5.135135135135134
36,explore,25.2,144.4,6.3,6.756756756756756
37,explore,22.7,143.9,7.4,8.108108108108109
38,explore,21.4,143.2,8.7,9.72972972972973
39,explore,28.4,142.2,10.9,12.162162162162163
40,explore,16.1,142.0,11.8,12.972972972972974
41,explore,28.3,141.1,13.6,15.405405405405407
42,explore,18.7,140.6,14.9,17.027027027027028
43,explore,22.1,139.7,17.2,19.189189189189186
44,explore,27.2,139.2,19.1,21.351351351351347
45,explore,20.0,138.6,19.8,22.972972972972972
46,explore,20.3,138.6,20.8,23.783783783783782
47,explore,19.9,138.5,22.0,24.864864864864863
48,explore,25.6,138.2,23.7,27.027027027027025
49,explore,14.3,137.9,24.6,27.56756756756757
50,explore,16.5,137.7,25.6,28.37837837837838
51,explore,19.2,137.4,26.8,30.000000000000007
52,explore,30.6,137.2,30.2,32.972972972972975
53,explore,18.9,136.9,32.0,34.32432432432434
54,explore,21.7,136.7,32.9,35.135135135135144
55,explore,28.8,136.4,35.1,37.83783783783785
56,explore,23.1,136.8,36.8,40.270270270270274
57,explore,20.4,136.5,38.4,42.43243243243243
58,explore,23.7,136.5,39.5,43.24324324324324
59,explore,14.8,136.5,41.3,44.5945945945946
60,explore,30.7,136.3,43.5,47.29729729729729
61,explore,20.2,136.0,44.9,48.648648648648646
62,explore,19.7,135.9,46.4,50.270270270270274
63,explore,28.3,135.8,48.7,52.70270270270271
64,explore,20.1,135.5,50.1,52.97297297297298
65,explore,21.7,135.3,51.7,54.86486486486486
66,explore,21.3,135.5,53.3,55.13513513513514
67,explore,24.3,135.3,55.0,57.56756756756757
68,explore,21.6,134.7,56.4,58.91891891891892
69,explore,25.8,134.4,58.9,61.891891891891895
70,explore,20.1,134.1,59.7,62.16216216216217
71,explore,25.899999999999995,134.0,61.6,64.05405405405408
72,explore,21.3,133.8,63.3,66.21621621621622
73,explore,17.6,133.9,64.6,67.56756756756758
74,explore,20.6,134.0,66.5,70.00000000000003
75,explore,22.4,133.7,68.4,72.16216216216216
