trial,phase,steps,numerosity,reliable,knowledge
0,explore,14.9,11.7,0.0,0.0
1,explore,15.7,23.5,0.0,0.0
2,explore,20.4,38.5,0.0,0.0
3,explore,13.1,45.3,0.0,0.0
4,explore,12.8,53.2,0.0,0.0
5,explore,26.5,71.5,0.0,0.0
6,explore,9.1,76.4,0.0,0.0
7,explore,16.9,88.0,0.0,0.0
8,explore,24.9,98.3,0.0,0.0
9,explore,12.6,103.7,0.0,0.0
10,explore,14.6,109.6,0.0,0.0
11,explore,15.0,115.1,0.0,0.0
12,explore,21.8,122.8,0.0,0.0
13,explore,16.7,129.3,0.0,0.0
14,explore,9.2,130.6,0.0,0.0
15,explore,13.4,133.0,0.0,0.0
16,explore,18.0,137.8,0.0,0.0
17,explore,23.2,141.1,0.0,0.0
18,explore,10.0,141.6,0.1,0.0
19,explore,10.9,144.3,0.1,0.0
20,explore,15.0,146.0,0.2,0.0
21,explore,15.4,147.0,0.3,0.2702702702702703
22,explore,16.8,150.0,0.3,0.2702702702702703
23,explore,23.2,152.4,0.8,0.8108108108108109
24,explore,14.3,154.4,1.0,0.8108108108108109
25,explore,17.0,155.4,1.1,0.8108108108108109
26,explore,21.7,156.0,1.2,0.8108108108108109
27,explore,14.1,156.2,1.5,1.3513513513513513
28,explore,26.8,157.1,1.8,1.6216216216216217
29,explore,29.9,158.4,2.3,2.1621621621621623
30,explore,18.6,158.7,2.5,2.4324324324324325
31,explore,24.7,159.2,2.9,3.2432432432432434
32,explore,16.5,159.1,3.5,4.0540540540540535
33,explore,15.1,159.1,3.9,4.594594594594595
34,explore,25.1,158.6,5.1,5.675675675675677
35,explore,27.6,159.0,6.0,5.945945945945946
36,explore,29.1,158.9,8.0,9.18918918918919
37,explore,23.0,158.7,9.1,10.540540540540542
38,explore,13.3,158.8,9.6,11.35135135135135
39,explore,10.6,158.5,10.5,11.891891891891893
40,explore,17.1,158.2,11.6,12.162162162162163
41,explore,21.7,158.0,12.8,13.513513513513516
42,explore,23.7,156.9,14.9,15.945945945945946
43,explore,14.3,156.3,16.3,17.83783783783784
44,explore,17.9,155.6,17.4,19.729729729729726
45,explore,17.8,155.1,18.8,19.999999999999996
46,explore,23.5,154.1,20.8,21.89189189189189
47,explore,18.4,153.5,21.8,22.972972972972972
48,explore,16.3,153.0,23.0,25.13513513513514
49,explore,19.9,152.6,25.0,26.75675675675676
50,explore,28.6,152.2,26.9,27.83783783783784
51,explore,19.3,151.0,28.2,28.918918918918916
52,explore,14.4,150.6,29.4,30.27027027027027
53,explore,17.1,150.0,30.5,31.891891891891895
54,explore,14.3,149.9,31.7,32.97297297297298
55,explore,25.3,149.9,34.2,35.4054054054054
56,explore,8.7,150.0,34.9,35.67567567567568
57,explore,17.5,149.9,36.8,37.567567567567565
58,explore,14.4,149.7,38.0,38.648648648648646
59,explore,16.1,149.5,40.0,40.54054054054053
60,explore,14.8,149.2,41.2,41.621621621621614
61,explore,17.5,149.0,42.7,42.97297297297297
62,explore,14.2,148.8,44.2,44.05405405405405
63,explore,19.1,148.6,46.1,46.75675675675676
64,explore,14.1,148.7,47.1,48.64864864864865
65,explore,17.5,148.7,48.3,49.729729729729726
66,explore,24.7,148.6,50.7,52.70270270270271
67,explore,12.6,148.6,52.4,54.05405405405405
68,explore,19.8,147.8,54.3,54.86486486486486
69,explore,18.5,147.6,55.7,55.94594594594595
70,explore,15.5,147.5,57.2,58.378378378378386
71,explore,20.6,147.3,59.0,60.0
72,explore,24.8,147.0,61.6,62.16216216216217
73,explore,11.0,146.9,63.1,63.24324324324324
74,explore,21.6,146.3,64.8,64.05405405405405
75,explore,19.1,146.0,66.5,65.13513513513514
76,explore,24.2,145.8,68.4,67.56756756756756
77,explore,18.5,145.7,70.6,68.64864864864865
78,explore,18.1,145.4,72.6,70.81081081081082
79,explore,15.1,145.1,74.8,72.16216216216216
80,explore,15.7,144.9,75.8,73.51351351351352
81,explore,36.4,144.1,78.4,74.86486486486487
82,explore,20.9,143.9,79.8,75.67567567567566
83,explore,25.5,143.3,81.5,76.75675675675674
84,explore,24.3,142.5,83.5,77.56756756756756
85,explore,23.7,141.9,85.9,79.45945945945945
86,explore,17.8,141.4,87.1,80.27027027027027
87,explore,21.7,141.1,88.9,81.08108108108107
88,explore,15.4,140.9,89.7,81.35135135135133
89,explore,11.6,140.7,90.4,81.89189189189187
90,explore,29.5,140.2,92.7,82.97297297297295
91,explore,22.2,139.5,94.2,84.32432432432431
92,explore,21.8,139.5,95.4,85.94594594594594
93,explore,19.7,139.4,96.6,87.29729729729729
94,explore,16.1,139.0,97.4,87.83783783783784
95,explore,23.8,138.7,98.7,88.37837837837837
96,explore,13.9,138.5,99.3,88.91891891891892
97,explore,15.0,138.3,100.1,89.45945945945945
98,explore,14.3,138.2,100.6,89.45945945945945
99,explore,25.5,137.9,101.5,90.27027027027027
100,explore,16.0,137.8,101.8,90.27027027027027
101,explore,28.8,137.6,103.6,91.89189189189189
102,explore,12.0,137.6,104.2,92.16216216216216
103,explore,15.3,137.6,104.9,92.97297297297297
104,explore,19.4,137.4,105.5,92.97297297297297
105,explore,16.0,137.2,106.2,93.51351351351352
106,explore,25.1,137.1,107.0,94.05405405405405
107,explore,17.4,137.0,107.5,94.5945945945946
108,explore,12.6,136.8,108.2,94.86486486486486
109,explore,14.5,136.6,108.7,95.13513513513513
110,explore,20.1,136.6,109.4,96.21621621621622
111,explore,19.2,136.5,110.2,96.48648648648648
112,explore,16.6,136.2,110.8,96.75675675675676
113,explore,19.9,136.2,111.8,97.83783783783784
114,explore,21.3,135.9,112.7,98.37837837837837
115,explore,24.9,135.9,113.9,98.64864864864865
116,explore,12.5,135.8,114.2,98.64864864864865
117,explore,18.7,135.7,115.1,99.45945945945945
118,explore,10.2,135.7,115.2,99.45945945945945
119,explore,23.0,135.5,115.9,99.72972972972973
120,explore,18.3,135.5,116.1,99.72972972972973
121,explore,26.2,135.4,117.2,99.72972972972973
122,explore,16.2,135.3,117.8,99.72972972972973
123,explore,12.4,135.3,118.2,99.72972972972973
124,explore,16.2,135.3,118.8,99.72972972972973
125,explore,18.2,135.3,119.2,99.72972972972973
126,explore,22.7,135.3,120.1,99.72972972972973
127,explore,12.2,135.3,120.1,99.72972972972973
128,explore,19.3,135.3,120.2,99.72972972972973
129,explore,18.9,135.2,120.5,99.72972972972973
130,explore,21.5,135.2,120.9,99.72972972972973
131,explore,17.8,134.9,121.3,99.72972972972973
132,explore,19.0,134.8,121.8,99.72972972972973
133,explore,11.5,134.8,122.0,99.72972972972973
134,explore,19.4,134.8,122.5,99.72972972972973
135,explore,23.2,134.8,123.2,100.0
136,explore,16.1,134.8,123.4,100.0
137,explore,15.5,134.8,123.5,100.0
138,explore,29.0,134.8,124.1,100.0
139,explore,20.3,134.8,124.3,100.0
140,explore,12.2,134.8,124.5,100.0
141,explore,28.4,134.5,125.1,100.0
142,explore,21.6,134.5,125.9,100.0
143,explore,13.7,134.4,125.9,100.0
144,explore,21.5,134.4,126.3,100.0
145,explore,15.7,134.4,126.5,100.0
146,explore,15.3,134.4,126.7,100.0
147,explore,23.2,134.2,127.5,100.0
148,explore,11.4,134.2,127.8,100.0
149,explore,17.0,134.2,128.2,100.0
150,explore,21.4,134.0,128.9,100.0
151,explore,24.0,133.9,129.5,100.0
152,explore,19.8,133.9,129.6,100.0
153,explore,21.9,133.8,130.2,100.0
154,explore,17.1,133.8,130.3,100.0
155,explore,10.9,133.8,130.6,100.0
156,explore,15.2,133.7,130.6,100.0
157,explore,18.5,133.7,131.0,100.0
158,explore,20.3,133.6,131.1,100.0
159,explore,15.6,133.6,131.2,100.0
160,explore,11.7,133.6,131.3,100.0
161,explore,20.0,133.6,131.4,100.0
162,explore,18.4,133.5,131.4,100.0
163,explore,16.1,133.5,131.4,100.0
164,explore,29.9,133.4,131.6,100.0
165,explore,11.0,133.4,131.7,100.0
166,explore,17.0,133.3,131.9,100.0
167,explore,13.8,133.3,132.0,100.0
168,explore,11.4,133.3,132.2,100.0
169,explore,14.2,133.3,132.4,100.0
170,explore,24.0,133.3,132.5,100.0
171,explore,28.4,133.3,132.7,100.0
172,explore,20.4,133.3,132.8,100.0
173,explore,19.5,133.3,132.8,100.0
174,explore,16.4,133.3,132.9,100.0
175,explore,27.6,133.3,133.1,100.0
176,explore,15.7,133.3,133.1,100.0
177,explore,10.5,133.3,133.1,100.0
178,explore,25.6,133.3,133.2,100.0
179,explore,24.1,133.2,133.2,100.0
180,explore,20.2,133.2,133.2,100.0
181,explore,21.4,133.2,133.2,100.0
182,explore,14.3,133.2,133.2,100.0
183,explore,21.9,133.2,133.2,100.0
184,explore,17.2,133.2,133.2,100.0
185,explore,18.9,133.2,133.2,100.0
186,explore,20.7,133.2,133.2,100.0
187,explore,13.4,133.2,133.2,100.0
188,explore,14.5,133.2,133.2,100.0
189,explore,19.0,133.2,133.2,100.0
190,explore,19.7,133.2,133.2,100.0
191,explore,8.3,133.2,133.2,100.0
192,explore,22.4,133.2,133.2,100.0
193,explore,16.1,133.2,133.2,100.0
194,explore,12.3,133.2,133.2,100.0
195,explore,24.7,133.2,133.2,100.0
196,explore,20.6,133.2,133.2,100.0
197,explore,20.3,133.2,133.2,100.0
198,explore,14.6,133.2,133.2,100.0
199,explore,15.1,133.2,133.2,100.0
200,explore,22.7,133.2,133.2,100.0
201,explore,19.9,133.2,133.2,100.0
202,explore,17.8,133.2,133.2,100.0
203,explore,18.0,133.2,133.2,100.0
