trial,phase,steps,numerosity,reliable,knowledge
0,explore,30.3,25.2,0.0,0.0
1,explore,41.2,57.2,0.0,0.0
2,explore,39.5,87.7,0.0,0.0
3,explore,39.0,113.2,0.0,0.0
4,explore,28.9,129.8,0.0,0.0
5,explore,27.2,147.6,0.0,0.0
6,explore,39.4,172.7,0.1,0.0
7,explore,34.5,193.3,0.2,0.0
8,explore,41.6,210.4,0.5,0.0
9,explore,37.9,230.3,0.8,0.0
10,explore,39.0,247.1,1.1,0.1739130434782609
11,explore,44.1,263.9,1.4,0.1739130434782609
12,explore,40.3,276.6,1.7,0.1739130434782609
13,explore,44.8,291.7,2.4,0.2608695652173913
14,explore,35.3,302.9,2.9,0.34782608695652173
15,explore,38.8,313.3,3.5,0.4347826086956522
16,explore,36.6,321.4,4.1,0.4347826086956522
17,explore,43.7,329.4,5.2,0.6086956521739129
18,explore,43.3,335.8,6.5,0.782608695652174
19,explore,44.3,341.2,8.1,0.9565217391304348
20,explore,42.2,345.8,9.1,1.3043478260869565
21,explore,44.5,348.1,10.4,1.5652173913043481
22,explore,39.4,351.3,11.4,1.7391304347826089
23,explore,46.7,355.8,12.1,2.1739130434782608
24,explore,44.5,359.8,12.9,2.4347826086956523
25,explore,31.2,361.1,13.3,2.347826086956522
26,explore,33.0,362.5,13.9,2.5217391304347827
27,explore,45.3,365.6,14.5,2.7826086956521743
28,explore,37.0,367.7,15.4,3.1304347826086962
29,explore,34.7,369.2,15.7,3.1304347826086962
30,explore,45.7,370.9,16.7,3.4782608695652173
31,explore,36.0,371.5,17.5,3.8260869565217397
32,explore,42.3,371.9,18.2,4.2608695652173925
33,explore,48.5,372.9,19.0,4.434782608695652
34,explore,43.2,373.9,19.4,4.521739130434783
35,explore,46.9,374.6,20.7,5.043478260869566
36,explore,50.0,374.6,22.3,5.913043478260871
37,explore,46.8,374.7,23.8,6.521739130434784
38,explore,38.6,375.2,25.2,7.043478260869565
39,explore,44.3,375.2,26.3,7.478260869565219
40,explore,48.5,375.2,27.8,8.608695652173912
41,explore,33.1,375.4,28.5,9.043478260869566
42,explore,40.0,375.2,29.7,9.739130434782608
43,explore,32.3,376.1,30.7,10.347826086956522
44,explore,38.8,376.4,32.0,10.956521739130435
45,explore,42.9,375.4,33.7,11.739130434782606
46,explore,31.3,375.0,34.6,12.08695652173913
47,explore,39.1,374.4,35.7,12.782608695652172
48,explore,41.4,374.0,37.2,13.739130434782613
49,explore,33.1,373.6,38.1,14.434782608695652
50,explore,30.8,373.5,39.4,15.217391304347824
51,explore,36.7,372.9,40.4,15.826086956521744
52,explore,43.3,372.2,42.4,16.695652173913043
53,explore,43.0,372.1,43.4,17.391304347826086
54,explore,40.5,372.8,45.3,18.347826086956523
55,explore,38.5,372.5,47.0,19.391304347826086
56,explore,35.0,372.4,48.5,20.52173913043478
57,explore,41.3,372.1,50.3,21.739130434782602
58,explore,38.2,371.2,51.7,22.52173913043478
59,explore,25.2,370.8,52.6,23.304347826086957
60,explore,45.8,370.5,54.3,24.26086956521739
61,explore,38.8,369.7,56.0,25.304347826086953
62,explore,42.9,369.9,57.3,25.739130434782606
63,explore,40.9,368.9,59.3,27.130434782608695
64,explore,46.3,368.9,61.3,28.52173913043478
65,explore,43.6,369.3,64.2,30.52173913043479
66,explore,43.4,369.3,66.1,31.65217391304348
67,explore,43.2,368.7,68.1,32.608695652173914
68,explore,38.4,368.1,69.5,33.39130434782608
69,explore,40.2,367.8,70.9,34.34782608695653
70,explore,37.3,367.6,72.2,35.1304347826087
71,explore,34.4,367.2,74.3,36.2608695652174
72,explore,31.2,367.0,75.9,37.30434782608696
73,explore,37.7,366.4,77.8,38.347826086956516
74,explore,43.6,365.9,80.0,39.565217391304344
75,explore,44.8,365.6,83.0,41.1304347826087
76,explore,44.9,364.1,85.7,42.434782608695656
77,explore,27.5,363.8,87.4,43.391304347826086
78,explore,39.7,363.7,88.9,44.0
79,explore,42.6,363.9,91.3,44.95652173913043
80,explore,38.9,363.6,92.9,45.47826086956521
81,explore,39.5,363.1,95.2,46.608695652173914
82,explore,40.7,363.1,97.0,47.47826086956521
83,explore,38.3,362.4,99.0,48.26086956521739
84,explore,35.2,361.3,101.9,49.826086956521735
85,explore,40.6,360.9,104.3,51.04347826086957
86,explore,43.8,360.2,106.5,52.086956521739125
87,explore,41.8,359.9,109.9,53.391304347826086
88,explore,38.1,358.8,112.2,54.608695652173914
89,explore,43.8,358.0,115.0,56.000000000000014
90,explore,43.1,357.3,117.0,56.60869565217392
91,explore,43.6,357.2,119.4,57.56521739130435
92,explore,29.9,356.5,120.5,57.82608695652175
93,explore,37.1,356.6,122.3,58.521739130434796
94,explore,43.3,356.3,124.6,59.04347826086956
