trial,phase,steps,numerosity,reliable,knowledge
0,explore,19.5,17.0,0.0,0.0
1,explore,39.8,46.7,0.0,0.0
2,explore,31.6,69.5,0.0,0.0
3,explore,32.4,91.1,0.0,0.0
4,explore,39.1,113.4,0.0,0.0
5,explore,39.2,136.2,0.0,0.0
6,explore,36.0,156.4,0.0,0.0
7,explore,32.6,172.7,0.0,0.0
8,explore,37.5,188.4,0.2,0.0
9,explore,26.7,201.9,0.5,0.0
10,explore,39.6,219.0,0.8,0.0
11,explore,35.9,233.7,1.1,0.0
12,explore,42.2,247.4,1.9,0.0
13,explore,45.2,259.2,2.1,0.0
14,explore,29.2,268.4,2.4,0.0
15,explore,33.4,278.4,2.6,0.0
16,explore,40.1,288.7,3.0,0.08695652173913043
17,explore,32.3,293.3,3.5,0.1739130434782609
18,explore,42.2,298.4,4.0,0.1739130434782609
19,explore,37.4,304.1,4.6,0.1739130434782609
20,explore,38.7,312.4,5.1,0.1739130434782609
21,explore,45.5,317.4,6.0,0.43478260869565216
22,explore,46.2,324.1,6.9,0.5217391304347826
23,explore,43.3,326.9,8.0,0.782608695652174
24,explore,36.8,331.3,8.5,0.8695652173913044
25,explore,41.7,334.8,9.7,1.217391304347826
26,explore,40.9,336.9,10.2,1.5652173913043481
27,explore,34.9,339.4,10.8,1.9130434782608696
28,explore,32.1,342.0,11.6,2.2608695652173916
29,explore,43.8,344.4,13.1,2.695652173913044
30,explore,40.4,345.3,14.1,3.3913043478260874
31,explore,32.1,346.5,14.5,3.4782608695652177
32,explore,35.6,347.9,14.9,3.652173913043478
33,explore,50.0,347.9,16.3,4.260869565217392
34,explore,28.7,348.6,17.2,4.8695652173913055
35,explore,45.2,350.0,17.8,5.043478260869565
36,explore,27.9,348.9,18.0,5.217391304347827
37,explore,40.1,349.0,18.5,5.565217391304349
38,explore,44.7,349.5,19.5,6.000000000000002
39,explore,35.8,350.1,20.3,6.521739130434783
40,explore,42.5,351.8,21.4,7.217391304347828
41,explore,37.8,351.7,22.3,7.7391304347826075
42,explore,41.1,351.6,23.2,8.34782608695652
43,explore,40.3,352.1,23.6,8.34782608695652
44,explore,47.5,351.7,25.2,8.869565217391303
45,explore,34.1,352.0,26.4,9.565217391304346
46,explore,39.4,352.4,27.8,10.173913043478262
47,explore,47.1,352.5,28.8,10.956521739130434
48,explore,41.5,352.6,30.2,11.826086956521738
49,explore,43.2,353.1,31.0,12.434782608695652
50,explore,43.6,352.4,32.0,13.043478260869566
51,explore,40.3,352.9,33.0,13.391304347826088
52,explore,39.7,352.1,33.8,14.0
53,explore,43.3,351.6,35.1,14.869565217391301
54,explore,37.0,351.3,36.3,15.739130434782613
55,explore,40.5,350.6,38.3,17.217391304347824
56,explore,39.7,350.0,39.5,17.826086956521742
57,explore,45.1,348.9,41.0,18.956521739130434
58,explore,42.2,348.8,42.8,19.913043478260867
59,explore,30.9,348.4,43.9,20.608695652173914
60,explore,50.0,348.0,45.9,21.652173913043477
61,explore,44.3,347.8,47.9,23.130434782608695
62,explore,40.5,346.8,49.3,23.999999999999996
63,explore,44.1,346.4,51.7,25.56521739130435
64,explore,46.1,345.7,53.1,26.608695652173914
65,explore,39.0,344.6,55.8,28.17391304347826
66,explore,39.4,343.8,57.8,29.391304347826082
67,explore,35.4,343.0,59.2,30.43478260869565
68,explore,47.8,342.3,61.7,31.652173913043463
69,explore,43.1,342.2,63.4,32.8695652173913
70,explore,39.3,341.5,66.2,34.347826086956516
71,explore,35.3,341.1,67.7,34.8695652173913
72,explore,41.8,340.5,69.2,35.565217391304344
73,explore,45.2,340.2,71.9,37.13043478260869
74,explore,38.1,339.7,73.4,37.826086956521735
75,explore,46.2,339.6,75.6,38.60869565217391
76,explore,40.8,339.2,77.3,39.652173913043484
77,explore,43.7,339.0,79.4,40.608695652173914
78,explore,45.5,338.8,81.4,41.65217391304348
79,explore,38.7,338.4,83.3,42.52173913043478
80,explore,42.8,337.3,85.6,43.82608695652174
81,explore,38.1,336.9,87.3,44.521739130434796
82,explore,32.0,336.4,88.9,45.39130434782608
83,explore,43.0,336.5,91.3,46.869565217391305
84,explore,37.3,336.1,93.8,48.173913043478265
85,explore,40.5,335.4,95.8,48.869565217391305
86,explore,40.2,335.1,98.0,49.913043478260875
87,explore,45.3,334.5,101.3,51.73913043478261
88,explore,36.8,334.2,103.0,52.26086956521739
89,explore,42.5,333.5,105.2,53.04347826086958
90,explore,41.4,332.7,107.9,54.0
91,explore,33.2,332.3,110.1,55.21739130434783
92,explore,41.1,331.5,113.0,56.26086956521739
93,explore,37.8,331.0,115.6,57.3913043478261
94,explore,36.5,330.5,117.8,58.26086956521739
95,explore,47.5,330.2,120.9,59.478260869565226
96,explore,48.8,330.1,123.4,60.173913043478265
97,explore,46.1,328.7,126.2,61.1304347826087
98,explore,30.4,328.0,128.1,62.08695652173914
99,explore,46.4,327.5,130.8,62.69565217391305
100,explore,45.0,327.3,133.2,63.913043478260875
101,explore,35.9,327.6,135.4,64.6086956521739
102,explore,43.8,327.3,137.4,65.39130434782608
103,explore,41.3,327.3,139.1,65.82608695652173
104,explore,43.2,326.8,142.1,66.6086956521739
105,explore,45.1,326.6,144.7,67.04347826086955
106,explore,39.2,326.1,147.4,67.56521739130434
107,explore,36.4,326.0,148.7,68.43478260869566
108,explore,46.7,325.2,151.0,69.1304347826087
109,explore,37.2,324.8,152.4,69.56521739130434
