trial,phase,steps,numerosity,reliable,knowledge
0,explore,26.7,21.9,0.0,0.0
1,explore,38.0,50.7,0.0,0.0
2,explore,42.8,78.8,0.0,0.0
3,explore,34.8,99.6,0.0,0.0
4,explore,24.5,115.5,0.0,0.0
5,explore,34.4,138.3,0.0,0.0
6,explore,33.6,158.4,0.0,0.0
7,explore,41.6,182.6,0.1,0.0
8,explore,35.9,201.5,0.2,0.0
9,explore,42.0,220.2,0.5,0.0
10,explore,36.3,233.4,0.8,0.0
11,explore,24.1,242.2,0.8,0.0
12,explore,38.3,255.3,1.0,0.0
13,explore,43.4,267.9,1.9,0.08695652173913045
14,explore,43.2,282.1,2.9,0.1739130434782609
15,explore,42.2,291.9,3.7,0.1739130434782609
16,explore,44.0,301.4,4.7,0.2608695652173913
17,explore,40.9,308.9,5.7,0.5217391304347826
18,explore,34.9,313.9,6.5,0.6956521739130436
19,explore,35.3,320.1,6.8,0.6956521739130436
20,explore,45.2,327.8,7.7,0.8695652173913044
21,explore,38.8,331.7,8.1,0.8695652173913044
22,explore,34.0,333.4,9.2,1.2173913043478262
23,explore,37.6,337.3,9.7,1.3913043478260871
24,explore,47.5,342.0,10.2,1.3913043478260871
25,explore,45.5,343.6,10.8,1.6521739130434785
26,explore,38.0,344.8,11.7,1.9130434782608692
27,explore,41.2,348.4,11.9,1.9130434782608692
28,explore,32.2,350.0,12.3,2.08695652173913
29,explore,48.4,352.1,13.3,2.5217391304347827
30,explore,43.4,353.8,14.7,2.956521739130435
31,explore,43.4,356.0,16.3,3.652173913043479
32,explore,44.7,356.1,16.9,3.8260869565217397
33,explore,32.5,357.5,17.4,4.000000000000001
34,explore,39.4,358.5,18.2,4.347826086956522
35,explore,41.1,359.1,19.3,4.8695652173913055
36,explore,38.0,360.1,20.2,5.304347826086957
37,explore,45.4,359.9,21.7,5.739130434782609
38,explore,46.8,359.4,22.4,6.086956521739131
39,explore,46.7,359.3,23.8,6.9565217391304355
40,explore,45.4,359.8,24.8,7.565217391304349
41,explore,37.7,360.0,25.7,8.086956521739133
42,explore,40.2,360.2,26.8,8.782608695652174
43,explore,46.2,360.4,27.6,9.217391304347826
44,explore,40.3,360.6,28.6,9.739130434782608
