trial,phase,steps,numerosity,reliable,knowledge
0,explore,34.6,27.7,0.0,0.0
1,explore,33.5,50.9,0.0,0.0
2,explore,33.4,74.7,0.0,0.0
3,explore,40.4,100.9,0.0,0.0
4,explore,27.9,123.0,0.0,0.0
5,explore,32.5,144.8,0.0,0.0
6,explore,37.2,167.8,0.0,0.0
7,explore,34.0,182.2,0.0,0.0
8,explore,31.7,197.3,0.0,0.0
9,explore,46.2,218.7,0.2,0.0
10,explore,32.4,232.9,0.5,0.0
11,explore,32.1,244.9,1.0,0.0
12,explore,41.4,264.1,1.7,0.08695652173913045
13,explore,43.1,276.5,2.6,0.2608695652173913
14,explore,27.0,280.7,2.8,0.2608695652173913
15,explore,43.2,292.1,3.3,0.4347826086956522
16,explore,39.2,300.8,4.2,0.6086956521739131
17,explore,44.7,308.0,4.8,0.6956521739130436
18,explore,46.5,316.1,6.1,1.1304347826086958
19,explore,34.2,320.4,6.7,1.1304347826086958
20,explore,41.3,323.7,7.8,1.3913043478260871
21,explore,44.2,327.5,8.2,1.3913043478260871
22,explore,43.6,335.3,8.8,1.4782608695652173
23,explore,38.0,337.9,9.2,1.4782608695652173
24,explore,39.8,339.2,10.3,2.0
25,explore,45.1,344.0,11.5,2.08695652173913
26,explore,49.2,346.4,12.7,2.4347826086956523
27,explore,35.7,346.9,13.4,2.8695652173913047
28,explore,36.9,349.5,13.7,2.956521739130435
29,explore,33.2,351.5,13.9,3.0434782608695654
30,explore,38.1,354.0,14.2,3.1304347826086962
31,explore,46.6,355.2,15.1,3.3913043478260874
32,explore,38.0,356.6,15.8,3.8260869565217397
33,explore,32.3,358.3,16.4,4.000000000000001
34,explore,44.5,358.0,17.7,4.521739130434783
35,explore,33.0,358.3,18.9,5.130434782608697
36,explore,48.5,359.9,19.6,5.565217391304349
37,explore,47.2,360.1,20.9,6.2608695652173925
38,explore,33.7,359.8,21.8,6.695652173913045
39,explore,29.3,359.3,22.2,6.9565217391304355
40,explore,33.2,358.4,23.0,7.304347826086958
41,explore,41.5,358.1,24.7,8.260869565217394
42,explore,44.4,358.1,25.9,8.956521739130434
43,explore,49.6,358.5,27.3,9.73913043478261
44,explore,42.5,358.8,28.7,10.08695652173913
45,explore,34.1,359.4,30.0,11.043478260869563
46,explore,47.1,359.5,30.7,11.130434782608695
47,explore,41.8,359.4,31.3,11.391304347826088
48,explore,36.8,359.3,32.6,11.73913043478261
49,explore,46.3,359.1,33.4,12.0
50,explore,43.7,359.1,34.8,12.869565217391306
51,explore,40.3,358.6,36.2,13.82608695652174
52,explore,35.5,358.9,36.9,14.434782608695652
53,explore,37.8,358.0,37.8,15.043478260869566
54,explore,34.8,357.6,38.9,15.739130434782613
55,explore,32.1,357.7,40.5,16.608695652173914
56,explore,41.9,358.0,42.1,17.565217391304348
57,explore,38.3,357.8,42.9,18.26086956521739
58,explore,44.2,357.3,44.4,19.043478260869563
59,explore,44.9,357.1,45.9,19.652173913043477
60,explore,48.2,356.1,48.3,21.043478260869566
61,explore,33.2,355.5,49.7,22.08695652173913
62,explore,41.2,355.0,51.3,22.956521739130437
63,explore,39.6,354.3,53.1,23.999999999999996
64,explore,32.2,354.3,54.6,24.956521739130434
65,explore,43.2,353.8,56.6,26.43478260869565
66,explore,39.2,353.4,58.3,27.304347826086957
67,explore,45.5,352.3,59.9,28.43478260869565
68,explore,41.2,352.7,61.3,29.217391304347824
69,explore,46.3,352.0,63.3,30.43478260869565
70,explore,38.1,351.4,64.7,31.391304347826086
71,explore,33.1,351.1,67.1,33.04347826086956
72,explore,41.3,350.2,68.7,33.826086956521735
73,explore,40.6,349.2,70.8,34.869565217391305
74,explore,41.4,348.1,72.3,35.91304347826087
75,explore,36.4,347.9,73.8,36.60869565217392
76,explore,49.1,347.7,76.1,38.17391304347826
77,explore,35.2,347.9,78.4,39.21739130434783
78,explore,36.7,347.9,80.5,40.34782608695652
79,explore,32.7,347.5,81.9,40.95652173913044
80,explore,46.8,347.0,83.8,42.2608695652174
81,explore,39.7,347.1,86.8,43.65217391304348
82,explore,46.0,346.6,88.8,44.69565217391305
83,explore,34.4,346.6,90.5,45.56521739130435
84,explore,40.9,345.8,91.4,45.91304347826087
85,explore,33.3,345.4,92.8,46.78260869565217
86,explore,42.8,344.1,94.8,47.478260869565226
87,explore,36.1,343.6,96.9,48.34782608695652
88,explore,25.1,343.0,98.1,49.1304347826087
89,explore,38.5,341.8,99.7,49.91304347826087
90,explore,41.9,340.5,102.3,51.21739130434783
91,explore,42.7,339.1,104.1,52.0
92,explore,46.7,338.3,106.2,53.04347826086956
93,explore,44.2,337.6,107.3,53.478260869565226
94,explore,39.7,337.5,108.8,54.521739130434774
95,explore,47.0,336.1,111.0,55.652173913043484
96,explore,34.5,335.7,112.5,56.43478260869565
97,explore,37.5,334.6,114.4,56.95652173913042
98,explore,42.8,333.3,116.1,57.30434782608695
99,explore,44.3,332.4,118.7,58.347826086956516
100,explore,41.8,332.3,121.4,59.47826086956521
101,explore,37.1,331.6,122.5,60.0
102,explore,42.2,331.2,124.1,60.52173913043479
