trial,phase,steps,numerosity,reliable,knowledge
0,explore,32.7,26.3,0.0,0.0
1,explore,32.4,48.0,0.0,0.0
2,explore,28.2,69.1,0.0,0.0
3,explore,25.1,86.5,0.0,0.0
4,explore,40.8,113.1,0.0,0.0
5,explore,37.5,137.4,0.0,0.0
6,explore,28.4,152.1,0.0,0.0
7,explore,25.9,168.2,0.4,0.0
8,explore,26.6,182.8,0.4,0.0
9,explore,36.2,199.0,0.6,0.0
10,explore,35.0,213.8,0.6,0.0
11,explore,29.5,223.5,0.8,0.0
12,explore,39.8,240.7,1.3,0.08695652173913045
13,explore,38.9,254.0,2.1,0.1739130434782609
14,explore,38.0,267.0,2.5,0.3478260869565218
15,explore,36.0,279.7,2.8,0.3478260869565218
16,explore,35.2,291.1,3.1,0.3478260869565218
17,explore,27.0,294.9,3.2,0.34782608695652173
18,explore,38.6,303.8,4.1,0.34782608695652173
19,explore,40.0,309.7,5.0,0.43478260869565216
20,explore,29.4,315.1,5.5,0.5217391304347826
21,explore,38.6,321.9,5.9,0.5217391304347826
22,explore,36.2,327.0,6.7,0.6086956521739131
23,explore,42.9,331.6,7.2,0.5217391304347826
24,explore,29.4,336.3,7.7,0.5217391304347826
25,explore,42.4,339.5,8.1,0.5217391304347826
26,explore,44.9,342.2,8.9,0.8695652173913043
27,explore,43.6,346.4,9.4,1.1304347826086958
28,explore,44.0,348.7,10.5,1.4782608695652173
29,explore,34.3,350.1,10.8,1.565217391304348
30,explore,41.0,351.6,11.4,1.7391304347826086
31,explore,44.2,352.9,12.3,1.9130434782608696
32,explore,41.5,355.6,12.8,1.9130434782608696
33,explore,34.6,355.9,14.1,2.347826086956522
34,explore,42.1,356.7,14.8,2.695652173913044
35,explore,34.6,356.7,15.5,2.8695652173913047
36,explore,33.9,357.8,16.1,2.956521739130435
37,explore,36.6,358.3,16.8,3.3913043478260874
38,explore,38.3,358.0,17.6,3.91304347826087
39,explore,37.2,358.1,19.0,4.695652173913045
40,explore,47.9,357.7,20.4,5.391304347826088
41,explore,40.5,358.7,21.0,5.82608695652174
42,explore,36.0,358.5,21.7,6.086956521739131
43,explore,39.3,358.4,22.8,6.9565217391304355
44,explore,37.9,358.1,23.6,7.565217391304349
45,explore,34.4,357.9,24.5,8.08695652173913
46,explore,47.9,358.5,25.5,8.608695652173912
47,explore,43.3,358.1,26.5,9.217391304347828
48,explore,32.9,358.5,27.4,9.82608695652174
49,explore,50.0,358.0,27.7,9.913043478260871
50,explore,41.5,357.6,28.8,10.608695652173914
51,explore,36.3,357.2,30.2,11.65217391304348
52,explore,44.2,356.5,31.7,12.608695652173912
53,explore,42.7,355.6,32.9,13.478260869565215
54,explore,49.2,354.1,35.2,14.608695652173912
55,explore,40.4,354.0,36.4,15.478260869565219
56,explore,45.2,353.0,38.0,16.43478260869565
57,explore,25.5,352.9,38.4,16.695652173913043
58,explore,49.8,352.5,40.2,17.913043478260867
59,explore,46.1,352.2,41.8,18.956521739130437
60,explore,31.0,352.0,43.1,19.826086956521742
61,explore,43.0,351.6,45.1,21.043478260869563
62,explore,42.5,350.8,46.8,22.08695652173913
63,explore,37.0,350.4,49.2,23.21739130434782
64,explore,33.3,348.5,50.7,24.086956521739133
65,explore,39.8,347.8,52.4,25.130434782608695
66,explore,38.5,347.2,53.5,26.0
67,explore,46.3,347.1,55.8,27.565217391304344
68,explore,40.7,346.8,57.8,28.78260869565217
69,explore,42.2,346.2,60.4,30.0
70,explore,36.9,345.9,62.0,30.8695652173913
71,explore,38.9,344.9,64.0,32.08695652173913
72,explore,42.7,344.3,66.0,33.47826086956522
73,explore,32.1,343.7,67.3,34.17391304347826
74,explore,40.8,342.5,69.0,35.30434782608695
75,explore,46.4,342.1,71.3,36.608695652173914
76,explore,34.9,341.5,72.7,37.39130434782609
77,explore,27.1,341.3,74.0,38.17391304347826
78,explore,44.1,341.1,76.8,39.65217391304348
79,explore,35.1,340.4,79.3,41.21739130434783
80,explore,36.4,339.2,80.6,41.913043478260875
81,explore,42.8,338.1,82.3,42.52173913043479
82,explore,42.9,337.6,83.9,43.391304347826086
83,explore,37.6,336.8,85.2,43.82608695652174
84,explore,33.5,336.5,86.5,44.434782608695656
85,explore,37.5,336.7,88.3,45.65217391304347
86,explore,38.6,336.8,90.4,47.04347826086957
87,explore,34.6,336.4,92.2,47.82608695652174
88,explore,41.0,336.0,94.9,49.130434782608695
89,explore,35.9,335.2,96.2,49.56521739130435
90,explore,38.4,334.4,98.0,50.173913043478265
91,explore,27.2,334.0,98.8,50.608695652173914
92,explore,43.5,333.7,101.0,51.913043478260875
93,explore,35.1,333.6,102.4,52.43478260869565
94,explore,30.1,333.5,104.6,53.30434782608696
95,explore,38.9,333.4,106.1,54.0
96,explore,37.8,332.7,107.7,54.608695652173914
97,explore,34.1,332.4,109.9,55.56521739130435
98,explore,37.6,332.1,111.9,56.69565217391305
99,explore,33.1,331.9,112.8,57.04347826086956
100,explore,30.9,331.5,115.0,58.0
101,explore,40.0,331.6,117.4,59.04347826086956
102,explore,28.1,331.4,118.9,59.56521739130434
103,explore,28.5,331.4,120.6,60.34782608695652
104,explore,38.2,331.0,123.2,61.04347826086956
105,explore,28.0,331.0,124.2,61.30434782608695
106,explore,36.2,330.4,126.4,62.173913043478265
107,explore,33.9,330.2,127.9,62.69565217391305
108,explore,35.4,330.0,130.3,63.652173913043484
109,explore,34.2,329.7,131.7,64.17391304347825
110,explore,23.4,329.6,132.4,64.52173913043478
111,explore,22.7,329.7,133.7,65.1304347826087
112,explore,30.8,329.2,135.4,65.91304347826087
113,explore,30.4,328.3,137.0,66.52173913043478
114,explore,26.5,327.8,138.1,66.95652173913045
115,explore,32.2,327.4,139.9,68.0
116,explore,24.0,327.4,141.0,68.17391304347828
117,explore,32.2,327.3,143.3,69.30434782608695
118,explore,32.7,326.6,144.9,69.91304347826085
119,explore,29.6,327.4,146.0,70.17391304347825
120,explore,25.0,327.0,146.9,70.34782608695653
121,explore,35.9,326.8,148.7,71.30434782608695
122,explore,28.5,326.3,150.1,71.91304347826089
123,explore,31.9,326.4,151.5,72.26086956521739
124,explore,37.3,326.3,153.3,72.8695652173913
125,explore,35.1,326.5,155.4,73.56521739130434
126,explore,36.3,326.9,157.9,74.26086956521739
127,explore,32.0,325.9,159.6,75.04347826086956
128,explore,31.0,325.2,161.4,75.73913043478261
129,explore,29.9,326.0,162.3,75.73913043478261
130,explore,26.9,326.6,163.3,75.91304347826086
131,explore,33.1,326.9,165.1,76.2608695652174
132,explore,26.5,327.4,166.4,76.43478260869564
133,explore,29.4,327.5,167.5,76.95652173913042
134,explore,34.2,328.3,169.6,77.56521739130434
135,explore,32.4,328.8,170.9,78.0
136,explore,31.4,328.3,171.8,78.34782608695653
137,explore,28.8,328.5,172.6,78.78260869565217
138,explore,27.3,328.7,173.2,78.95652173913042
139,explore,26.4,328.7,173.8,79.13043478260867
140,explore,30.6,329.5,174.4,79.4782608695652
141,explore,30.1,329.3,175.2,79.82608695652173
142,explore,34.4,330.1,176.8,80.43478260869566
143,explore,29.4,330.1,177.8,80.60869565217394
144,explore,28.8,329.8,179.0,81.13043478260869
145,explore,34.2,329.6,180.1,81.47826086956522
146,explore,30.7,329.4,180.8,81.56521739130434
147,explore,32.1,329.2,182.7,82.17391304347825
148,explore,29.7,329.4,183.7,82.78260869565217
149,explore,27.5,329.0,184.6,83.13043478260872
150,explore,30.4,328.4,185.0,83.21739130434784
151,explore,25.2,328.1,185.8,83.3913043478261
152,explore,25.6,328.0,186.5,83.56521739130434
153,explore,24.8,327.4,187.6,83.82608695652175
154,explore,28.0,327.1,188.6,84.08695652173915
155,explore,35.7,326.7,189.1,84.2608695652174
156,explore,35.5,326.8,190.7,84.78260869565216
157,explore,26.0,327.0,191.7,84.8695652173913
158,explore,24.0,326.9,192.6,85.04347826086955
159,explore,34.1,326.8,193.6,85.39130434782608
160,explore,31.6,326.3,194.4,85.65217391304348
161,explore,32.6,325.6,195.7,85.91304347826087
162,explore,29.3,325.5,196.7,86.0
163,explore,26.6,325.3,197.7,86.43478260869566
164,explore,32.3,325.6,198.7,86.86956521739131
165,explore,30.0,325.0,199.4,87.04347826086956
166,explore,25.8,324.6,199.9,87.30434782608697
167,explore,26.3,324.1,201.0,87.73913043478264
168,explore,31.4,324.3,202.1,87.91304347826087
169,explore,24.8,324.2,203.2,88.17391304347827
170,explore,25.9,323.4,203.7,88.34782608695653
171,explore,28.2,323.2,205.2,88.78260869565219
172,explore,25.4,323.2,205.5,88.86956521739131
173,explore,25.2,322.8,205.8,88.95652173913044
174,explore,23.6,322.8,206.7,89.13043478260869
175,explore,28.2,322.8,207.7,89.21739130434784
176,explore,30.0,322.2,209.6,89.82608695652175
177,explore,27.0,322.1,210.5,90.17391304347828
178,explore,22.0,322.0,211.4,90.2608695652174
179,explore,24.4,321.9,211.8,90.34782608695654
180,explore,32.5,321.9,212.9,90.60869565217392
181,explore,28.8,321.4,213.8,90.86956521739131
182,explore,29.7,321.3,214.3,91.1304347826087
183,explore,25.1,321.0,215.3,91.39130434782608
184,explore,22.4,321.1,216.2,91.65217391304347
185,explore,30.8,320.6,216.9,91.7391304347826
186,explore,27.0,320.7,218.5,92.0
187,explore,35.5,321.4,219.9,92.17391304347827
188,explore,25.5,321.2,220.5,92.34782608695653
189,explore,23.7,320.8,221.2,92.6086956521739
190,explore,30.8,320.6,222.1,92.78260869565217
191,explore,33.3,320.5,223.8,93.13043478260869
