trial,phase,steps,numerosity,reliable,knowledge
0,explore,17.8,15.1,0.0,0.0
1,explore,24.8,34.5,0.0,0.0
2,explore,34.4,61.4,0.0,0.0
3,explore,36.3,87.1,0.0,0.0
4,explore,29.6,103.9,0.0,0.0
5,explore,28.2,122.2,0.0,0.0
6,explore,41.3,147.8,0.0,0.0
7,explore,24.3,163.1,0.0,0.0
8,explore,32.0,178.8,0.0,0.0
9,explore,32.6,194.3,0.0,0.0
10,explore,28.3,204.4,0.1,0.0
11,explore,40.9,224.1,0.3,0.0
12,explore,38.2,237.8,1.0,0.0
13,explore,44.8,256.1,1.5,0.08695652173913045
14,explore,39.4,268.5,2.1,0.1739130434782609
15,explore,43.0,284.3,2.4,0.1739130434782609
16,explore,37.0,294.1,2.6,0.1739130434782609
17,explore,35.9,300.8,3.2,0.1739130434782609
18,explore,22.2,306.4,3.9,0.1739130434782609
19,explore,39.9,314.4,4.6,0.2608695652173913
20,explore,37.8,322.7,5.7,0.5217391304347827
21,explore,36.2,329.4,6.5,0.5217391304347827
22,explore,33.9,332.3,7.6,0.8695652173913044
23,explore,43.5,338.2,8.0,0.8695652173913044
24,explore,44.6,341.4,8.4,0.9565217391304348
25,explore,42.6,343.6,9.3,1.130434782608696
26,explore,44.5,347.3,9.7,1.130434782608696
27,explore,41.4,349.4,10.6,1.7391304347826089
28,explore,42.5,351.2,12.6,2.347826086956522
29,explore,34.7,352.7,13.0,2.5217391304347827
30,explore,38.9,354.2,13.9,2.956521739130435
31,explore,27.8,355.6,14.6,3.2173913043478266
32,explore,45.8,357.6,15.2,3.5652173913043486
33,explore,37.1,358.7,16.0,3.7391304347826093
34,explore,41.5,360.3,17.0,4.173913043478262
35,explore,46.1,362.7,17.7,4.347826086956522
36,explore,48.8,362.4,19.0,5.217391304347826
37,explore,47.7,362.6,20.7,6.2608695652173925
38,explore,41.6,362.6,21.7,6.434782608695653
39,explore,37.9,363.4,22.1,6.521739130434783
40,explore,40.4,363.0,23.1,7.0434782608695645
41,explore,34.7,363.1,23.8,7.478260869565217
42,explore,49.6,363.4,25.0,8.0
43,explore,42.5,362.8,26.3,8.608695652173912
44,explore,34.9,362.7,26.7,8.956521739130434
45,explore,45.6,362.3,27.5,9.391304347826086
46,explore,29.8,362.5,28.3,9.913043478260871
47,explore,44.4,363.0,29.4,10.521739130434783
48,explore,43.8,362.5,30.7,11.304347826086957
49,explore,45.0,362.7,32.4,12.347826086956522
50,explore,42.2,362.2,33.8,13.304347826086957
51,explore,41.0,362.4,34.8,13.91304347826087
52,explore,46.0,361.3,36.1,14.956521739130437
53,explore,39.1,360.7,37.8,15.73913043478261
54,explore,35.3,360.3,38.7,16.347826086956523
55,explore,40.7,359.8,40.4,17.130434782608695
56,explore,44.5,359.5,42.6,18.95652173913043
57,explore,39.7,359.7,44.2,19.82608695652174
58,explore,38.8,359.1,45.0,20.17391304347826
59,explore,42.8,358.1,47.6,21.47826086956522
60,explore,36.9,358.2,49.8,22.782608695652176
61,explore,37.9,358.6,51.5,23.913043478260875
62,explore,37.8,358.6,53.0,24.52173913043478
63,explore,47.1,358.5,55.2,26.0
64,explore,30.4,359.1,56.5,26.695652173913043
65,explore,45.4,359.8,58.5,27.82608695652174
66,explore,41.9,359.4,60.9,28.956521739130437
67,explore,43.1,359.1,63.4,30.782608695652176
68,explore,35.9,359.0,65.4,31.739130434782606
69,explore,48.6,358.5,67.6,32.608695652173914
70,explore,35.5,358.4,69.2,33.47826086956522
71,explore,35.3,357.9,71.8,34.8695652173913
72,explore,40.0,357.7,72.7,35.391304347826086
73,explore,41.5,356.7,75.6,36.69565217391305
74,explore,35.1,356.8,77.0,37.30434782608695
75,explore,34.2,355.9,78.7,38.43478260869565
76,explore,32.0,355.5,81.0,39.73913043478261
77,explore,45.4,353.9,83.1,40.8695652173913
78,explore,42.3,354.0,84.9,41.826086956521735
79,explore,43.3,353.6,86.7,42.782608695652165
80,explore,39.2,352.5,88.2,43.65217391304348
81,explore,35.9,352.0,90.0,44.26086956521739
82,explore,32.4,351.6,91.1,44.8695652173913
83,explore,34.5,351.0,93.3,45.652173913043484
84,explore,40.1,350.3,95.3,46.78260869565218
85,explore,41.1,349.9,97.7,48.00000000000001
86,explore,44.2,348.6,100.1,49.56521739130435
87,explore,41.8,347.4,102.7,50.43478260869565
88,explore,40.1,346.6,105.1,51.826086956521735
89,explore,41.2,346.3,107.2,52.95652173913044
90,explore,47.7,345.0,109.5,53.826086956521735
91,explore,45.0,344.6,111.6,54.43478260869566
92,explore,39.3,343.4,114.2,55.652173913043484
93,explore,43.2,342.5,115.4,56.173913043478265
94,explore,44.3,340.6,117.5,56.78260869565217
