trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,38.5,explore,38.5,31.1,0.0
1,0.0,0,37.6,explore,37.6,57.9,0.0
2,0.0,0,30.5,explore,30.5,79.6,0.1
3,0.08695652173913043,0,42.0,explore,42.0,105.7,0.9
4,0.1739130434782609,0,31.9,explore,31.9,125.0,1.9
5,0.2608695652173913,0,36.6,explore,36.6,147.6,3.2
6,0.2608695652173913,1000,26.1,explore,26.1,162.2,3.8
7,0.2608695652173913,1000,33.0,explore,33.0,179.8,5.6
8,0.5217391304347826,1000,36.7,explore,36.7,200.1,7.1
9,0.43478260869565216,1000,26.9,explore,26.9,211.5,7.9
10,1.3043478260869565,0,40.7,explore,40.7,231.0,9.9
11,2.0869565217391304,1000,34.7,explore,34.7,243.8,11.9
12,2.608695652173913,1000,37.2,explore,37.2,257.3,13.1
13,2.956521739130435,0,42.9,explore,42.9,272.4,14.7
14,3.7391304347826093,0,42.6,explore,42.6,289.9,17.0
15,4.695652173913045,0,43.4,explore,43.4,304.8,19.4
16,5.565217391304349,0,36.5,explore,36.5,315.9,21.2
17,6.521739130434783,1000,32.1,explore,32.1,322.7,23.2
18,7.478260869565217,0,45.2,explore,45.2,330.0,25.3
19,9.043478260869566,0,45.1,explore,45.1,336.9,28.3
20,10.695652173913043,0,42.6,explore,42.6,343.1,31.4
21,12.347826086956522,0,33.0,explore,33.0,347.2,33.7
22,14.17391304347826,0,41.2,explore,41.2,350.8,36.9
23,16.17391304347826,0,45.0,explore,45.0,354.4,40.2
24,17.913043478260875,1000,36.5,explore,36.5,357.7,42.7
25,19.652173913043477,0,41.9,explore,41.9,359.9,46.4
26,21.739130434782606,0,47.4,explore,47.4,364.7,49.5
27,23.391304347826086,1000,26.3,explore,26.3,365.6,52.7
28,25.217391304347824,1000,39.4,explore,39.4,367.6,56.3
29,27.913043478260867,1000,42.8,explore,42.8,370.6,60.4
30,30.52173913043478,0,44.4,explore,44.4,371.9,65.2
31,34.34782608695652,1000,42.8,explore,42.8,373.0,70.8
32,35.99999999999999,0,38.6,explore,38.6,373.0,74.0
33,39.7391304347826,0,48.7,explore,48.7,375.1,81.4
34,42.52173913043479,0,42.2,explore,42.2,375.4,87.5
35,45.130434782608695,0,39.5,explore,39.5,376.1,92.8
36,47.21739130434783,1000,42.0,explore,42.0,376.2,97.6
37,49.47826086956521,0,38.6,explore,38.6,376.0,102.0
38,51.21739130434783,0,29.9,explore,29.9,376.5,104.9
39,53.7391304347826,0,41.0,explore,41.0,377.4,110.2
40,55.73913043478262,0,41.1,explore,41.1,378.7,114.3
41,57.217391304347835,1000,29.4,explore,29.4,377.9,118.5
42,59.826086956521735,0,43.8,explore,43.8,378.1,123.5
43,61.913043478260875,0,36.5,explore,36.5,377.7,127.9
44,63.04347826086956,0,29.5,explore,29.5,376.9,130.8
