trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-587,-587,200,explore,200,117,0
1,0.0,-785,-1327,200,explore,200,117,0
2,0.0,-569,-1905,200,explore,200,204,0
3,0.0,-731,-2636,200,explore,200,204,0
4,0.0,-623,-2818,200,explore,200,284,0
5,0.0,-731,-4098,200,explore,200,284,0
6,0.0,-614,-3749,200,explore,200,378,0
7,0.0,-884,-4345,200,explore,200,378,0
8,0.0,-668,-5904,200,explore,200,409,1
9,0.0,-758,-5514,200,explore,200,409,1
10,0.0,-587,-5562,200,explore,200,507,1
11,0.0,-713,-6110,200,explore,200,507,1
12,0.0,-623,-6022,200,explore,200,598,1
13,0.0,-812,-5538,200,explore,200,598,1
14,0.0,-686,-6266,200,explore,200,640,4
15,0.0,-290,-5573,200,explore,200,640,4
16,0.0,-596,-5600,200,explore,200,713,4
17,0.0,-767,-5978,200,explore,200,713,4
18,0.0,-749,-5942,200,explore,200,741,4
19,0.0,-200,-4189,200,explore,200,741,4
20,0.0,-659,-5175,200,explore,200,780,4
21,0.0,-794,-6428,200,explore,200,780,4
22,0.0,-623,-4223,200,explore,200,869,4
23,0.0,-731,-5402,200,explore,200,869,4
24,0.0,-659,-6005,200,explore,200,891,4
25,0.0,-200,-4019,200,explore,200,891,4
26,0.2801120448179272,-659,-4511,200,explore,200,901,9
27,0.2801120448179272,-200,-4205,200,explore,200,901,9
28,0.5602240896358543,-551,-3953,200,explore,200,934,16
29,0.5602240896358543,-200,-4151,200,explore,200,934,16
30,0.9803921568627451,-668,-4052,200,explore,200,942,30
31,0.9803921568627451,-200,-5912,200,explore,200,942,30
32,0.9803921568627451,-659,-5609,200,explore,200,1033,30
33,0.9803921568627451,-758,-3878,200,explore,200,1033,30
34,0.9803921568627451,-740,-4916,200,explore,200,1117,33
35,0.9803921568627451,-803,-4808,200,explore,200,1117,33
36,1.1204481792717087,-803,-4115,200,explore,200,1148,36
37,1.1204481792717087,-200,-4799,200,explore,200,1148,36
38,1.1904761904761905,-348,-4490,90,explore,90,1164,39
39,1.1904761904761905,-200,-4214,200,explore,200,1164,39
40,1.1904761904761905,-704,-4151,200,explore,200,1250,41
41,1.1904761904761905,-200,-5105,200,explore,200,1250,41
42,1.330532212885154,-668,-4916,200,explore,200,1283,45
43,1.330532212885154,-209,-4520,200,explore,200,1283,45
44,1.9607843137254901,-704,-3758,200,explore,200,1291,61
45,1.9607843137254901,-524,-4910,200,explore,200,1291,61
46,1.9607843137254901,-623,-4970,200,explore,200,1377,61
47,1.9607843137254901,-200,-4619,200,explore,200,1377,61
48,2.030812324929972,-668,-4324,200,explore,200,1431,63
49,2.030812324929972,-200,-5033,200,explore,200,1431,63
50,2.100840336134454,-821,-6320,200,explore,200,1506,65
51,2.100840336134454,-200,-4610,200,explore,200,1506,65
52,2.5210084033613445,-405,-4752,102,explore,102,1515,75
53,2.5210084033613445,-200,-5195,200,explore,200,1515,75
54,2.73109243697479,-776,-5474,200,explore,200,1525,82
55,2.73109243697479,-200,-4835,200,explore,200,1525,82
56,2.8711484593837535,-812,-5393,200,explore,200,1581,84
57,2.8711484593837535,-200,-4511,200,explore,200,1581,84
58,3.7815126050420167,-821,-4556,200,explore,200,1579,113
59,3.7815126050420167,-200,-4659,200,explore,200,1579,113
60,4.061624649859944,-857,-4465,200,explore,200,1606,123
61,4.061624649859944,-200,-4511,200,explore,200,1606,123
62,4.061624649859944,-785,-4898,200,explore,200,1659,123
63,4.061624649859944,-200,-5051,200,explore,200,1659,123
64,4.131652661064425,-857,-5402,200,explore,200,1674,129
65,4.131652661064425,-200,-5251,200,explore,200,1674,129
66,4.341736694677871,-785,-5024,200,explore,200,1674,137
67,4.341736694677871,-200,-4729,200,explore,200,1674,137
68,4.481792717086835,-866,-4346,200,explore,200,1687,140
69,4.481792717086835,-200,-5033,200,explore,200,1687,140
70,4.831932773109244,-830,-5006,200,explore,200,1699,147
71,4.831932773109244,-200,-5042,200,explore,200,1699,147
72,4.831932773109244,-749,-5222,200,explore,200,1768,147
73,4.831932773109244,-803,-5003,200,explore,200,1768,147
74,5.2521008403361344,-947,-4871,200,explore,200,1789,162
75,5.2521008403361344,-227,-4709,200,explore,200,1789,162
76,5.952380952380952,-776,-4916,200,explore,200,1786,178
77,5.952380952380952,-200,-5573,200,explore,200,1786,178
78,6.162464985994398,-803,-6410,200,explore,200,1817,185
79,6.162464985994398,-200,-5375,200,explore,200,1817,185
80,6.302521008403361,-884,-5888,200,explore,200,1828,188
81,6.302521008403361,-200,-5348,200,explore,200,1828,188
82,6.512605042016808,-848,-5087,200,explore,200,1861,200
83,6.512605042016808,-200,-4997,200,explore,200,1861,200
84,6.652661064425771,-482,-4667,134,explore,134,1914,210
85,6.652661064425771,-200,-5276,200,explore,200,1914,210
86,6.652661064425771,-875,-5312,200,explore,200,1976,218
87,6.652661064425771,-200,-5924,200,explore,200,1976,218
88,6.932773109243698,-803,-4969,200,explore,200,2003,229
89,6.932773109243698,-200,-5276,200,explore,200,2003,229
90,7.002801120448179,-848,-4934,200,explore,200,2014,236
91,7.002801120448179,-200,-5735,200,explore,200,2014,236
92,7.773109243697479,-785,-4705,200,explore,200,2013,261
93,7.773109243697479,-200,-5371,200,explore,200,2013,261
94,8.333333333333332,-1028,-5294,200,explore,200,2010,289
95,8.333333333333332,-200,-5573,200,explore,200,2010,289
96,8.683473389355742,-1154,-5327,200,explore,200,2010,307
97,8.683473389355742,-200,-5403,200,explore,200,2010,307
98,8.753501400560223,-884,-5879,200,explore,200,2028,310
99,8.753501400560223,-200,-5789,200,explore,200,2028,310
100,8.753501400560223,-749,-5744,200,explore,200,2054,314
101,8.753501400560223,-200,-5321,200,explore,200,2054,314
102,8.753501400560223,-866,-5124,200,explore,200,2079,319
103,8.753501400560223,-200,-5258,200,explore,200,2079,319
104,9.173669467787114,-902,-5285,200,explore,200,2079,338
105,9.173669467787114,-200,-5015,200,explore,200,2079,338
106,10.15406162464986,-920,-5843,200,explore,200,2078,367
107,10.15406162464986,-200,-5293,200,explore,200,2078,367
108,10.644257703081232,-1091,-5293,200,explore,200,2078,383
109,10.644257703081232,-200,-4988,200,explore,200,2078,383
110,11.27450980392157,-974,-4615,200,explore,200,2101,406
111,11.27450980392157,-200,-4844,200,explore,200,2101,406
112,11.414565826330533,-686,-5555,200,explore,200,2109,410
113,11.414565826330533,-200,-4970,200,explore,200,2109,410
114,11.484593837535014,-569,-4448,200,explore,200,2143,413
115,11.484593837535014,-200,-5411,200,explore,200,2143,413
116,12.46498599439776,-614,-4664,200,explore,200,2160,432
117,12.46498599439776,-200,-5078,200,explore,200,2160,432
118,13.375350140056023,-731,-4720,200,explore,200,2163,462
119,13.375350140056023,-200,-4997,200,explore,200,2163,462
120,13.515406162464986,-785,-4988,200,explore,200,2164,472
121,13.515406162464986,-200,-5411,200,explore,200,2164,472
122,13.515406162464986,-938,-5042,200,explore,200,2178,478
123,13.515406162464986,-200,-5006,200,explore,200,2178,478
124,14.145658263305322,-614,-4817,200,explore,200,2190,497
125,14.145658263305322,-200,-4369,200,explore,200,2190,497
126,14.215686274509803,-659,-4799,200,explore,200,2219,500
127,14.215686274509803,-200,-4745,200,explore,200,2219,500
128,14.215686274509803,-533,-5375,200,explore,200,2216,505
129,14.215686274509803,-200,-5222,200,explore,200,2216,505
130,14.425770308123248,-893,-5202,200,explore,200,2238,515
131,14.425770308123248,-200,-5465,200,explore,200,2238,515
132,14.915966386554622,-677,-4853,200,explore,200,2243,531
133,14.915966386554622,-200,-5672,200,explore,200,2243,531
134,15.196078431372548,-668,-4745,200,explore,200,2241,547
135,15.196078431372548,-200,-4700,200,explore,200,2241,547
136,15.546218487394958,-1037,-5690,200,explore,200,2241,559
137,15.546218487394958,-200,-5384,200,explore,200,2241,559
