trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,1000,27.6,explore,27.6,24.0,0.0
1,0.0,0,37.3,explore,37.3,49.6,0.2
2,0.0,1000,28.7,explore,28.7,71.2,0.6
3,0.17391304347826086,1000,35.1,explore,35.1,98.7,1.3
4,0.5217391304347826,0,39.5,explore,39.5,122.7,3.4
5,0.8695652173913043,1000,40.0,explore,40.0,147.9,5.2
6,1.1304347826086958,1000,32.6,explore,32.6,164.3,7.2
7,1.9130434782608703,0,32.2,explore,32.2,181.1,8.6
8,2.7826086956521743,1000,35.6,explore,35.6,202.9,11.5
9,4.434782608695653,0,41.4,explore,41.4,220.1,14.2
10,5.565217391304348,1000,36.2,explore,36.2,232.7,17.6
11,7.391304347826088,1000,38.9,explore,38.9,247.2,21.2
12,9.043478260869565,0,43.1,explore,43.1,262.5,24.7
13,10.17391304347826,1000,34.9,explore,34.9,274.9,26.8
14,11.913043478260871,1000,39.7,explore,39.7,283.6,29.5
15,15.478260869565215,0,43.3,explore,43.3,294.1,35.5
16,18.956521739130437,0,50.0,explore,50.0,307.7,42.4
17,21.65217391304348,0,37.9,explore,37.9,316.2,46.5
18,24.173913043478265,0,40.8,explore,40.8,318.7,51.7
19,26.260869565217387,1000,33.8,explore,33.8,323.4,55.5
20,28.086956521739133,0,42.7,explore,42.7,328.5,58.8
21,30.173913043478258,0,44.9,explore,44.9,331.7,62.2
22,34.173913043478265,0,42.8,explore,42.8,337.5,68.3
23,36.8695652173913,0,41.7,explore,41.7,340.6,72.5
24,38.8695652173913,1000,39.3,explore,39.3,344.8,76.9
25,41.47826086956521,1000,43.0,explore,43.0,346.6,81.6
26,45.30434782608696,0,42.5,explore,42.5,348.6,88.1
27,48.347826086956516,0,35.5,explore,35.5,350.6,94.1
28,50.69565217391305,0,43.4,explore,43.4,350.3,98.8
29,54.17391304347827,0,45.2,explore,45.2,351.9,105.6
30,57.21739130434783,1000,41.9,explore,41.9,353.6,111.4
31,59.73913043478261,1000,44.8,explore,44.8,354.7,116.5
32,61.652173913043484,0,42.4,explore,42.4,356.3,122.0
33,63.478260869565226,0,40.7,explore,40.7,358.5,126.5
