trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.1400560224089636,-584,-584,200,explore,200,92,12
1,0.1400560224089636,-893,-1459,200,explore,200,92,12
2,0.21008403361344538,-647,-1923,200,explore,200,179,37
3,0.21008403361344538,-776,-2461,200,explore,200,179,37
4,0.21008403361344538,-657,-3305,200,explore,200,271,61
5,0.21008403361344538,-713,-3928,200,explore,200,271,61
6,0.21008403361344538,-674,-5034,200,explore,200,370,86
7,0.21008403361344538,-740,-3933,200,explore,200,370,86
8,0.21008403361344538,-396,-6081,125,explore,125,453,98
9,0.21008403361344538,-848,-6014,200,explore,200,453,98
10,0.350140056022409,-665,-6091,200,explore,200,558,108
11,0.350140056022409,-200,-5374,200,explore,200,558,108
12,0.49019607843137253,-235,-6686,65,explore,65,573,114
13,0.49019607843137253,-731,-5677,200,explore,200,573,114
14,0.8403361344537815,-611,-5937,200,explore,200,611,124
15,0.8403361344537815,-200,-5452,200,explore,200,611,124
16,1.1904761904761905,-585,-6074,200,explore,200,646,137
17,1.1904761904761905,-695,-5190,200,explore,200,646,137
18,1.1904761904761905,-566,-5414,200,explore,200,727,145
19,1.1904761904761905,-200,-4893,200,explore,200,727,145
20,2.380952380952381,-710,-5469,200,explore,200,749,176
21,2.380952380952381,-812,-5992,200,explore,200,749,176
22,2.661064425770308,-630,-5679,200,explore,200,768,193
23,2.661064425770308,-632,-5937,200,explore,200,768,193
24,2.661064425770308,-566,-5398,200,explore,200,874,198
25,2.661064425770308,-902,-5578,200,explore,200,874,198
26,2.941176470588235,-261,-4138,99,explore,99,901,204
27,2.941176470588235,-200,-4823,200,explore,200,901,204
28,3.221288515406162,-491,-4163,165,explore,165,922,213
29,3.221288515406162,-758,-5604,200,explore,200,922,213
30,3.5014005602240896,-567,-4625,200,explore,200,953,226
31,3.5014005602240896,-200,-3978,200,explore,200,953,226
32,4.271708683473389,-648,-5011,200,explore,200,992,244
33,4.271708683473389,-200,-5692,200,explore,200,992,244
34,4.271708683473389,-683,-4899,200,explore,200,1087,246
35,4.271708683473389,-200,-5390,200,explore,200,1087,246
36,5.1120448179271705,-774,-5714,200,explore,200,1089,272
37,5.1120448179271705,-884,-6028,200,explore,200,1089,272
38,5.182072829131653,-702,-5632,200,explore,200,1169,278
39,5.182072829131653,-200,-5030,200,explore,200,1169,278
40,5.322128851540616,-737,-4552,200,explore,200,1249,283
41,5.322128851540616,-200,-4353,200,explore,200,1249,283
42,5.392156862745098,-584,-4488,200,explore,200,1310,290
43,5.392156862745098,-200,-4508,200,explore,200,1310,290
44,5.88235294117647,-702,-5030,200,explore,200,1326,303
45,5.88235294117647,-200,-4228,200,explore,200,1326,303
46,5.952380952380952,-746,-4694,200,explore,200,1374,308
47,5.952380952380952,-200,-5282,200,explore,200,1374,308
48,6.442577030812324,-684,-4813,200,explore,200,1389,327
49,6.442577030812324,-200,-4520,200,explore,200,1389,327
50,6.512605042016808,-693,-5030,200,explore,200,1434,332
51,6.512605042016808,-830,-6227,200,explore,200,1434,332
52,6.512605042016808,-593,-4396,200,explore,200,1528,333
53,6.512605042016808,-200,-4713,200,explore,200,1528,333
54,6.512605042016808,-693,-5159,200,explore,200,1635,333
55,6.512605042016808,-200,-4985,200,explore,200,1635,333
56,6.512605042016808,-720,-4712,200,explore,200,1703,334
57,6.512605042016808,-200,-4874,200,explore,200,1703,334
58,6.792717086834734,-782,-4895,200,explore,200,1727,341
59,6.792717086834734,-200,-4937,200,explore,200,1727,341
60,6.932773109243698,-801,-5811,200,explore,200,1763,352
61,6.932773109243698,-200,-4692,200,explore,200,1763,352
62,8.403361344537815,-792,-5694,200,explore,200,1770,380
63,8.403361344537815,-200,-4682,200,explore,200,1770,380
64,9.033613445378151,-868,-5125,200,explore,200,1792,395
65,9.033613445378151,-200,-5014,200,explore,200,1792,395
66,9.73389355742297,-804,-4741,191,explore,191,1797,422
67,9.73389355742297,-848,-5227,200,explore,200,1797,422
68,11.064425770308123,-769,-4562,196,explore,196,1798,451
69,11.064425770308123,-200,-4352,200,explore,200,1798,451
70,11.134453781512606,-954,-5716,200,explore,200,1830,457
71,11.134453781512606,-200,-4203,200,explore,200,1830,457
72,11.27450980392157,-710,-5059,200,explore,200,1907,462
73,11.27450980392157,-200,-4687,200,explore,200,1907,462
74,11.834733893557422,-810,-4707,200,explore,200,1933,480
75,11.834733893557422,-200,-4325,200,explore,200,1933,480
76,12.955182072829134,-756,-5044,200,explore,200,1934,514
