trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,20,183.6,explore,183.6,69.0,0.0
1,0.0,-1,200.0,explore,200.0,148.9,0.9
2,0.028011204481792718,-1,200.0,explore,200.0,228.0,2.2
3,0.0350140056022409,-1,184.2,explore,184.2,305.5,4.9
4,0.056022408963585436,-1,181.8,explore,181.8,372.4,7.8
5,0.07703081232492998,-1,200.0,explore,200.0,445.5,11.7
6,0.07703081232492998,-1,195.0,explore,195.0,504.2,16.4
7,0.08403361344537816,-1,178.9,explore,178.9,568.6,18.6
8,0.08403361344537816,-1,200.0,explore,200.0,653.9,21.6
9,0.09103641456582633,-1,187.3,explore,187.3,726.1,23.9
10,0.09103641456582633,-1,200.0,explore,200.0,802.6,26.2
11,0.09103641456582633,-1,194.3,explore,194.3,866.1,27.9
12,0.09103641456582633,-1,200.0,explore,200.0,904.6,29.1
13,0.09803921568627451,-1,200.0,explore,200.0,961.3,30.0
14,0.09803921568627451,-1,200.0,explore,200.0,1011.4,31.7
15,0.11204481792717087,-1,200.0,explore,200.0,1054.6,34.4
16,0.11204481792717087,-10,190.2,explore,190.2,1102.2,36.1
17,0.11204481792717087,-10,200.0,explore,200.0,1146.4,36.9
18,0.11204481792717087,-1,200.0,explore,200.0,1194.5,38.7
19,0.11904761904761904,-1,192.1,explore,192.1,1251.2,40.4
20,0.12605042016806722,-1,186.1,explore,186.1,1275.6,42.3
21,0.13305322128851543,20,190.8,explore,190.8,1318.3,43.1
22,0.13305322128851543,-10,194.0,explore,194.0,1349.2,43.6
23,0.13305322128851543,-10,182.2,explore,182.2,1391.9,44.2
24,0.13305322128851543,-10,200.0,explore,200.0,1429.2,45.0
25,0.13305322128851543,-1,197.4,explore,197.4,1473.9,45.4
26,0.13305322128851543,-1,200.0,explore,200.0,1517.3,45.7
27,0.1400560224089636,-1,200.0,explore,200.0,1544.0,47.0
28,0.1400560224089636,-1,200.0,explore,200.0,1571.2,47.9
29,0.1400560224089636,-10,196.0,explore,196.0,1616.8,48.3
30,0.1400560224089636,-1,185.3,explore,185.3,1640.8,48.3
31,0.1400560224089636,-1,200.0,explore,200.0,1658.6,49.2
32,0.1400560224089636,-10,200.0,explore,200.0,1680.5,50.4
33,0.1400560224089636,-1,200.0,explore,200.0,1697.2,51.0
34,0.1400560224089636,-1,200.0,explore,200.0,1736.7,51.4
35,0.1400560224089636,-10,169.8,explore,169.8,1751.3,51.9
36,0.1400560224089636,-10,200.0,explore,200.0,1762.8,53.1
37,0.1400560224089636,-10,200.0,explore,200.0,1788.7,53.7
38,0.14705882352941177,-1,200.0,explore,200.0,1804.1,54.9
39,0.14705882352941177,-10,200.0,explore,200.0,1826.1,56.8
40,0.14705882352941177,-1,200.0,explore,200.0,1837.6,57.6
