trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-1,194.9,explore,194.9,73.4,0.0
1,0.0,-10,200.0,explore,200.0,152.6,0.8
2,0.028011204481792718,-1,200.0,explore,200.0,241.3,3.5
3,0.028011204481792718,-10,200.0,explore,200.0,321.9,6.6
4,0.04201680672268908,-1,200.0,explore,200.0,396.6,8.5
5,0.056022408963585436,-1,200.0,explore,200.0,482.9,11.8
6,0.06302521008403361,-1,200.0,explore,200.0,557.4,13.5
7,0.06302521008403361,-10,200.0,explore,200.0,635.5,14.0
8,0.0700280112044818,-1,200.0,explore,200.0,683.5,15.4
9,0.0700280112044818,-1,200.0,explore,200.0,758.3,15.9
10,0.0700280112044818,-1,200.0,explore,200.0,815.8,16.6
11,0.0700280112044818,-1,192.2,explore,192.2,889.1,16.6
12,0.07703081232492998,-1,193.5,explore,193.5,939.7,17.4
13,0.07703081232492998,-1,186.5,explore,186.5,983.9,18.1
14,0.07703081232492998,-1,177.4,explore,177.4,1035.9,18.6
15,0.08403361344537816,-1,200.0,explore,200.0,1089.7,18.8
16,0.08403361344537816,-1,200.0,explore,200.0,1154.6,19.8
17,0.08403361344537816,-10,200.0,explore,200.0,1199.6,21.0
18,0.08403361344537816,20,197.4,explore,197.4,1235.3,22.5
19,0.08403361344537816,-10,200.0,explore,200.0,1279.9,23.5
20,0.08403361344537816,-1,186.3,explore,186.3,1322.3,24.3
21,0.08403361344537816,-1,200.0,explore,200.0,1361.1,24.5
22,0.08403361344537816,-1,185.7,explore,185.7,1411.8,24.6
23,0.08403361344537816,-1,200.0,explore,200.0,1435.2,25.3
24,0.09103641456582633,-1,176.7,explore,176.7,1473.9,25.5
25,0.09103641456582633,-10,194.0,explore,194.0,1497.6,26.0
26,0.09103641456582633,-1,200.0,explore,200.0,1533.7,26.9
27,0.09803921568627451,-1,200.0,explore,200.0,1563.9,27.6
28,0.10504201680672269,-10,194.7,explore,194.7,1613.6,28.1
29,0.10504201680672269,-10,183.6,explore,183.6,1642.7,28.7
30,0.10504201680672269,-1,198.7,explore,198.7,1682.8,28.8
31,0.10504201680672269,-10,191.9,explore,191.9,1701.4,28.9
32,0.10504201680672269,-1,200.0,explore,200.0,1735.1,29.5
33,0.10504201680672269,-10,196.3,explore,196.3,1750.4,30.4
34,0.10504201680672269,-10,200.0,explore,200.0,1771.0,32.0
35,0.10504201680672269,-1,200.0,explore,200.0,1798.2,32.3
36,0.10504201680672269,-1,200.0,explore,200.0,1819.9,33.6
37,0.11204481792717084,-1,200.0,explore,200.0,1834.5,34.6
38,0.12605042016806722,-1,200.0,explore,200.0,1852.1,35.5
39,0.13305322128851538,-1,196.5,explore,196.5,1877.5,35.9
40,0.13305322128851538,-1,199.5,explore,199.5,1889.4,36.2
41,0.13305322128851538,-1,188.4,explore,188.4,1899.5,38.8
42,0.13305322128851538,-1,183.6,explore,183.6,1911.8,40.8
43,0.13305322128851538,-1,200.0,explore,200.0,1940.9,42.1
44,0.13305322128851538,-1,169.2,explore,169.2,1960.1,42.3
45,0.13305322128851538,-1,200.0,explore,200.0,1973.0,43.3
46,0.13305322128851538,-1,200.0,explore,200.0,1984.0,44.7
47,0.13305322128851538,-1,177.6,explore,177.6,1997.0,45.6
48,0.13305322128851538,-10,182.4,explore,182.4,2003.1,46.8
49,0.1400560224089636,-1,200.0,explore,200.0,2015.7,47.6
50,0.1400560224089636,-1,194.3,explore,194.3,2023.1,50.2
51,0.1400560224089636,-1,176.5,explore,176.5,2035.0,51.3
52,0.1400560224089636,-1,200.0,explore,200.0,2045.4,52.7
53,0.14705882352941174,-1,200.0,explore,200.0,2050.7,54.5
54,0.16806722689075632,-1,189.6,explore,189.6,2051.7,57.0
55,0.17507002801120447,-10,200.0,explore,200.0,2061.0,58.2
56,0.17507002801120447,-1,196.0,explore,196.0,2075.3,59.2
57,0.17507002801120447,-1,200.0,explore,200.0,2080.8,60.6
58,0.18207282913165265,-10,193.3,explore,193.3,2086.9,62.4
59,0.18207282913165265,-10,200.0,explore,200.0,2091.0,65.1
60,0.18207282913165265,-1,200.0,explore,200.0,2099.1,67.8
61,0.18907563025210083,-1,200.0,explore,200.0,2103.9,69.6
62,0.2030812324929972,-1,196.8,explore,196.8,2105.0,72.5
63,0.2030812324929972,-1,200.0,explore,200.0,2115.0,75.2
64,0.2030812324929972,-10,200.0,explore,200.0,2126.6,78.5
65,0.2521008403361344,-10,200.0,explore,200.0,2129.1,81.9
66,0.3011204481792717,-10,190.9,explore,190.9,2131.5,86.7
67,0.3221288515406163,-10,196.5,explore,196.5,2138.2,88.8
68,0.3221288515406163,-10,200.0,explore,200.0,2143.2,90.2
69,0.3291316526610645,-1,200.0,explore,200.0,2153.1,92.8
70,0.33613445378151263,-10,200.0,explore,200.0,2160.2,95.5
71,0.34313725490196084,20,188.4,explore,188.4,2169.2,97.8
72,0.39215686274509814,-10,200.0,explore,200.0,2175.6,101.1
73,0.4131652661064426,20,199.9,explore,199.9,2180.6,105.5
74,0.4341736694677872,-1,200.0,explore,200.0,2185.1,107.6
75,0.44117647058823534,-1,187.5,explore,187.5,2193.9,109.8
76,0.4761904761904761,-10,194.5,explore,194.5,2197.7,113.7
77,0.5672268907563025,-1,199.4,explore,199.4,2201.9,118.2
78,0.5812324929971989,-10,200.0,explore,200.0,2203.8,120.9
79,0.5882352941176471,-10,188.7,explore,188.7,2210.0,124.1
80,0.6022408963585434,-1,200.0,explore,200.0,2213.6,127.4
81,0.6092436974789917,-10,197.0,explore,197.0,2217.9,129.9
82,0.6162464985994398,-1,200.0,explore,200.0,2221.2,132.5
83,0.6512605042016806,-10,200.0,explore,200.0,2225.3,135.9
84,0.6932773109243697,-1,200.0,explore,200.0,2227.2,138.8
85,0.707282913165266,-10,200.0,explore,200.0,2231.4,141.8
86,0.707282913165266,-10,177.2,explore,177.2,2236.5,143.9
87,0.7563025210084033,-10,192.3,explore,192.3,2240.0,149.1
88,0.7913165266106443,-10,200.0,explore,200.0,2243.8,152.4
89,0.8123249299719888,-10,198.7,explore,198.7,2252.8,155.0
90,0.8263305322128851,-10,200.0,explore,200.0,2254.3,157.1
91,0.8473389355742297,-1,198.2,explore,198.2,2258.3,160.1
92,0.896358543417367,-10,200.0,explore,200.0,2260.0,164.6
93,0.9033613445378151,-10,200.0,explore,200.0,2261.3,167.2
94,0.9243697478991596,-1,200.0,explore,200.0,2261.3,171.6
95,0.9243697478991596,-1,200.0,explore,200.0,2267.9,174.6
96,1.0014005602240894,20,176.2,explore,176.2,2272.3,178.2
97,1.022408963585434,-10,200.0,explore,200.0,2273.6,181.8
98,1.0644257703081232,-10,200.0,explore,200.0,2275.5,186.7
99,1.1204481792717087,-1,200.0,explore,200.0,2275.7,192.0
100,1.1694677871148458,-10,200.0,explore,200.0,2279.1,195.4
101,1.2044817927170866,-10,200.0,explore,200.0,2287.9,199.3
102,1.2324929971988794,-1,200.0,explore,200.0,2289.8,202.1
103,1.2815126050420165,-10,200.0,explore,200.0,2289.7,206.9
104,1.3095238095238093,-10,192.3,explore,192.3,2292.5,210.3
105,1.3235294117647056,-10,200.0,explore,200.0,2293.7,214.0
106,1.3795518207282915,-10,200.0,explore,200.0,2294.8,219.7
107,1.4145658263305323,-10,200.0,explore,200.0,2299.0,223.6
108,1.4425770308123251,20,187.0,explore,187.0,2300.6,229.0
109,1.484593837535014,-1,200.0,explore,200.0,2302.0,233.6
110,1.5406162464985997,-1,200.0,explore,200.0,2301.9,240.1
111,1.5896358543417366,-10,200.0,explore,200.0,2301.6,247.0
112,1.645658263305322,-10,200.0,explore,200.0,2302.3,253.7
113,1.6666666666666665,-1,195.2,explore,195.2,2307.4,258.2
114,1.7086834733893557,-10,200.0,explore,200.0,2308.0,263.9
115,1.7296918767507006,-10,190.5,explore,190.5,2309.9,268.6
116,1.7857142857142858,-1,191.8,explore,191.8,2310.4,272.7
117,1.8557422969187676,-1,200.0,explore,200.0,2310.9,278.4
118,1.8627450980392157,20,190.6,explore,190.6,2315.1,282.7
119,1.9117647058823528,-1,200.0,explore,200.0,2316.1,288.3
120,1.9327731092436977,-10,200.0,explore,200.0,2319.1,293.3
121,2.0098039215686274,-10,185.0,explore,185.0,2320.2,299.2
122,2.0168067226890756,-10,193.2,explore,193.2,2320.7,303.2
123,2.1218487394957988,-10,200.0,explore,200.0,2321.1,310.5
124,2.1918767507002803,20,192.8,explore,192.8,2322.7,315.1
125,2.219887955182073,-1,184.6,explore,184.6,2323.6,318.7
126,2.2549019607843137,-10,184.6,explore,184.6,2323.7,321.7
127,2.275910364145658,-10,200.0,explore,200.0,2324.4,325.6
128,2.3319327731092434,-1,200.0,explore,200.0,2324.2,331.4
129,2.3879551820728295,20,190.4,explore,190.4,2325.4,335.2
130,2.3949579831932777,-10,188.3,explore,188.3,2329.6,338.6
