trial,knowledge,reward,reward_cumulative,steps_in_trial,phase,steps,numerosity,reliable
0,0.0,-596,-596,200,explore,200,74,1
1,0.0,-578,-1183,200,explore,200,142,2
2,0.1400560224089636,-497,-1653,200,explore,200,211,8
3,0.1400560224089636,-641,-2366,200,explore,200,327,24
4,0.1400560224089636,-515,-2872,200,explore,200,411,25
5,0.1400560224089636,-623,-3486,200,explore,200,464,30
6,0.1400560224089636,-236,-3938,77,explore,77,480,33
7,0.1400560224089636,-569,-4849,200,explore,200,556,34
8,0.21008403361344538,-596,-5571,200,explore,200,606,38
9,0.21008403361344538,-587,-6338,200,explore,200,698,38
10,0.21008403361344538,-677,-6482,200,explore,200,768,40
11,0.21008403361344538,-650,-6185,200,explore,200,851,40
12,0.21008403361344538,-731,-5814,200,explore,200,930,41
13,0.21008403361344538,-578,-5242,200,explore,200,970,41
14,0.21008403361344538,-596,-6167,200,explore,200,1012,41
15,0.21008403361344538,-650,-5894,200,explore,200,1047,41
16,0.21008403361344538,-596,-5258,200,explore,200,1114,41
17,0.21008403361344538,-605,-6338,200,explore,200,1138,41
18,0.21008403361344538,-542,-5893,200,explore,200,1227,41
19,0.21008403361344538,-569,-6150,200,explore,200,1296,41
20,0.21008403361344538,-614,-5962,200,explore,200,1372,41
21,0.21008403361344538,-614,-6616,200,explore,200,1469,41
22,0.21008403361344538,-596,-6617,200,explore,200,1530,41
23,0.21008403361344538,-632,-6986,200,explore,200,1555,41
24,0.21008403361344538,-695,-6721,200,explore,200,1602,41
25,0.21008403361344538,-686,-7130,200,explore,200,1644,41
26,0.21008403361344538,-830,-7220,200,explore,200,1651,42
27,0.21008403361344538,-803,-7625,200,explore,200,1652,44
28,0.21008403361344538,-875,-7553,200,explore,200,1686,44
29,0.21008403361344538,-722,-7517,200,explore,200,1720,45
30,0.21008403361344538,-776,-7096,200,explore,200,1735,45
31,0.21008403361344538,-668,-7131,200,explore,200,1792,45
32,0.21008403361344538,-695,-7364,200,explore,200,1845,45
