trial,phase,steps,numerosity,reliable,knowledge
0,explore,27.6,22.7,0.0,0.0
1,explore,47.3,57.5,0.0,0.0
2,explore,21.0,73.6,0.0,0.0
3,explore,42.4,104.0,0.0,0.0
4,explore,38.5,131.9,0.0,0.0
5,explore,43.1,158.6,0.0,0.0
6,explore,36.0,177.4,0.0,0.0
7,explore,32.5,195.9,0.0,0.0
8,explore,30.2,213.0,0.0,0.0
9,explore,39.5,229.3,0.0,0.0
10,explore,40.2,247.0,0.0,0.0
11,explore,24.5,257.3,0.0,0.0
12,explore,35.3,268.4,0.0,0.0
13,explore,39.1,283.4,0.0,0.0
14,explore,33.0,294.5,0.0,0.0
15,explore,34.0,305.2,0.0,0.0
16,explore,42.3,317.1,0.0,0.0
17,explore,34.8,326.1,0.0,0.0
18,explore,38.4,335.4,0.0,0.0
19,explore,47.5,347.0,0.0,0.0
20,explore,39.7,355.8,0.0,0.0
21,explore,50.0,365.3,0.0,0.0
22,explore,29.6,368.6,0.0,0.0
23,explore,41.3,374.7,0.0,0.0
24,explore,40.7,378.1,0.0,0.0
25,explore,43.9,382.1,0.0,0.0
26,explore,30.9,385.4,0.0,0.0
27,explore,43.4,388.7,0.0,0.0
28,explore,47.6,392.8,0.0,0.0
29,explore,45.3,397.9,0.0,0.0
30,explore,41.1,399.8,0.0,0.0
31,explore,38.2,401.3,0.0,0.0
32,explore,38.4,402.8,0.0,0.0
33,explore,37.2,404.1,0.0,0.0
34,explore,46.4,407.0,0.0,0.0
35,explore,48.0,408.5,0.0,0.0
36,explore,41.8,408.3,0.0,0.0
37,explore,49.2,409.7,0.0,0.0
38,explore,39.3,410.7,0.0,0.0
39,explore,40.1,411.1,0.0,0.0
40,explore,26.6,410.7,0.0,0.0
41,explore,46.3,411.6,0.0,0.0
42,explore,41.2,410.9,0.0,0.0
43,explore,46.0,411.6,0.0,0.0
44,explore,36.4,412.0,0.0,0.0
45,explore,34.4,412.6,0.0,0.0
46,explore,35.1,412.0,0.0,0.0
47,explore,42.0,411.3,0.0,0.0
48,explore,38.2,410.8,0.0,0.0
49,explore,41.3,410.6,0.0,0.0
50,explore,39.2,410.7,0.0,0.0
51,explore,33.3,409.9,0.0,0.0
52,explore,39.4,410.1,0.0,0.0
53,explore,41.0,410.2,0.0,0.0
54,explore,34.5,410.4,0.0,0.0
55,explore,44.3,409.6,0.0,0.0
56,explore,41.2,409.1,0.0,0.0
57,explore,33.2,409.2,0.0,0.0
58,explore,41.6,409.2,0.0,0.0
59,explore,49.2,408.8,0.0,0.0
60,explore,45.7,408.8,0.0,0.0
61,explore,44.7,408.7,0.0,0.0
62,explore,47.3,408.6,0.0,0.0
63,explore,34.5,408.4,0.0,0.0
64,explore,30.3,408.1,0.0,0.0
65,explore,37.9,407.5,0.0,0.0
66,explore,42.2,406.9,0.0,0.0
67,explore,38.1,405.6,0.0,0.0
68,explore,45.4,405.5,0.0,0.0
69,explore,36.3,405.2,0.0,0.0
70,explore,38.7,404.8,0.0,0.0
71,explore,43.2,404.3,0.0,0.0
72,explore,41.2,403.7,0.0,0.0
73,explore,35.4,403.8,0.0,0.0
74,explore,45.1,404.1,0.0,0.0
75,explore,42.8,403.8,0.0,0.0
76,explore,41.5,403.5,0.0,0.0
77,explore,46.3,402.7,0.0,0.0
78,explore,48.8,402.3,0.0,0.0
79,explore,33.7,402.1,0.0,0.0
80,explore,28.0,401.7,0.0,0.0
81,explore,28.9,400.9,0.0,0.0
82,explore,46.0,400.6,0.0,0.0
83,explore,37.4,400.7,0.0,0.0
84,explore,38.7,400.6,0.0,0.0
85,explore,30.5,400.0,0.0,0.0
86,explore,39.1,400.2,0.0,0.0
87,explore,43.4,400.5,0.0,0.0
88,explore,46.8,399.3,0.0,0.0
89,explore,41.1,398.9,0.0,0.0
90,explore,32.4,399.1,0.0,0.0
91,explore,43.7,399.9,0.0,0.0
92,explore,41.4,399.9,0.0,0.0
93,explore,43.6,399.0,0.0,0.0
94,explore,42.9,399.1,0.0,0.0
95,explore,39.7,398.0,0.0,0.0
96,explore,39.3,397.9,0.0,0.0
97,explore,41.6,397.8,0.0,0.0
98,explore,42.1,397.5,0.0,0.0
99,explore,42.3,397.0,0.0,0.0
100,explore,35.0,396.4,0.0,0.0
101,explore,41.4,395.5,0.0,0.0
102,explore,27.7,395.3,0.0,0.0
103,explore,35.1,395.5,0.0,0.0
104,explore,39.5,395.7,0.0,0.0
105,explore,42.3,395.3,0.0,0.0
106,explore,45.2,394.5,0.0,0.0
107,explore,41.6,394.4,0.0,0.0
108,explore,41.8,393.9,0.0,0.0
109,explore,44.0,393.4,0.0,0.0
110,explore,39.1,393.1,0.0,0.0
111,explore,44.8,392.4,0.0,0.0
112,explore,31.5,391.8,0.0,0.0
113,explore,39.5,391.4,0.0,0.0
114,explore,46.7,390.5,0.0,0.0
115,explore,37.3,389.9,0.0,0.0
116,explore,42.4,389.5,0.0,0.0
117,explore,30.0,389.9,0.0,0.0
118,explore,36.6,389.6,0.0,0.0
119,explore,39.7,389.7,0.0,0.0
120,explore,40.1,389.5,0.0,0.0
121,explore,47.5,390.3,0.0,0.0
122,explore,44.2,390.1,0.0,0.0
123,explore,44.6,391.0,0.0,0.0
124,explore,37.8,392.3,0.0,0.0
125,explore,44.8,393.5,0.0,0.0
126,explore,42.9,393.0,0.0,0.0
127,explore,25.3,392.5,0.0,0.0
128,explore,40.9,392.1,0.0,0.0
129,explore,33.0,392.2,0.0,0.0
130,explore,41.4,392.4,0.0,0.0
131,explore,39.6,391.6,0.0,0.0
132,explore,41.7,391.2,0.0,0.0
133,explore,42.5,390.8,0.0,0.0
134,explore,45.3,390.7,0.0,0.0
135,explore,32.4,390.4,0.0,0.0
136,explore,39.4,389.8,0.0,0.0
137,explore,46.5,389.7,0.0,0.0
138,explore,42.6,388.8,0.0,0.0
139,explore,42.1,388.2,0.0,0.0
140,explore,39.1,387.6,0.0,0.0
141,explore,40.0,387.5,0.0,0.0
142,explore,42.1,386.5,0.0,0.0
143,explore,43.5,385.7,0.0,0.0
144,explore,43.8,385.3,0.0,0.0
145,explore,49.0,385.1,0.0,0.0
146,explore,33.7,385.3,0.0,0.0
147,explore,38.6,385.1,0.0,0.0
148,explore,39.8,384.7,0.0,0.0
149,explore,41.4,384.5,0.0,0.0
150,explore,24.3,384.1,0.0,0.0
151,explore,43.2,383.4,0.0,0.0
152,explore,36.2,382.7,0.0,0.0
153,explore,40.4,382.1,0.0,0.0
154,explore,45.1,382.4,0.0,0.0
155,explore,46.2,381.6,0.0,0.0
156,explore,50.0,381.4,0.0,0.0
157,explore,40.2,381.2,0.0,0.0
158,explore,35.8,381.1,0.0,0.0
159,explore,46.0,380.9,0.0,0.0
160,explore,43.0,380.6,0.0,0.0
161,explore,47.0,380.7,0.0,0.0
162,explore,49.0,380.2,0.0,0.0
163,explore,39.7,379.8,0.0,0.0
164,explore,41.1,379.3,0.0,0.0
165,explore,47.1,378.9,0.0,0.0
166,explore,44.8,378.5,0.0,0.0
167,explore,43.3,377.5,0.0,0.0
168,explore,46.6,377.3,0.0,0.0
169,explore,44.4,376.7,0.0,0.0
170,explore,41.3,376.5,0.0,0.0
171,explore,48.2,376.2,0.0,0.0
172,explore,47.4,375.9,0.0,0.0
173,explore,34.1,378.1,0.0,0.0
174,explore,41.6,378.3,0.0,0.0
175,explore,41.5,377.8,0.0,0.0
176,explore,44.5,378.0,0.0,0.0
177,explore,40.4,378.4,0.0,0.0
178,explore,42.3,380.1,0.0,0.0
179,explore,32.1,380.5,0.0,0.0
180,explore,45.6,380.8,0.0,0.0
181,explore,39.7,382.7,0.0,0.0
182,explore,40.9,383.1,0.0,0.0
183,explore,29.5,383.1,0.0,0.0
184,explore,46.2,384.2,0.0,0.0
185,explore,40.5,384.2,0.0,0.0
186,explore,41.5,383.4,0.0,0.0
187,explore,44.9,383.1,0.0,0.0
188,explore,41.6,382.8,0.0,0.0
189,explore,40.3,382.5,0.0,0.0
190,explore,45.2,382.1,0.0,0.0
191,explore,44.5,381.5,0.0,0.0
192,explore,34.8,381.4,0.0,0.0
193,explore,29.4,381.3,0.0,0.0
194,explore,40.5,380.9,0.0,0.0
195,explore,40.9,380.7,0.0,0.0
196,explore,40.0,380.4,0.0,0.0
197,explore,44.7,382.0,0.0,0.0
198,explore,43.6,382.6,0.0,0.0
199,explore,39.9,382.4,0.0,0.0
200,explore,49.3,382.3,0.0,0.0
201,explore,41.5,383.8,0.0,0.0
202,explore,40.4,383.8,0.0,0.0
203,explore,42.4,383.7,0.0,0.0
204,explore,39.8,383.4,0.0,0.0
205,explore,38.1,383.2,0.0,0.0
206,explore,50.0,382.8,0.0,0.0
207,explore,43.0,382.6,0.0,0.0
208,explore,48.4,382.0,0.0,0.0
209,explore,40.4,381.8,0.0,0.0
210,explore,31.8,381.4,0.0,0.0
211,explore,45.1,380.9,0.0,0.0
212,explore,50.0,380.1,0.0,0.0
213,explore,42.2,379.7,0.0,0.0
214,explore,47.5,379.3,0.0,0.0
215,explore,40.0,379.0,0.0,0.0
216,explore,49.4,378.7,0.0,0.0
217,explore,37.0,378.2,0.0,0.0
218,explore,39.2,378.1,0.0,0.0
219,explore,44.4,378.1,0.0,0.0
220,explore,38.0,377.7,0.0,0.0
221,explore,42.1,377.3,0.0,0.0
222,explore,44.2,377.7,0.0,0.0
223,explore,49.6,378.1,0.0,0.0
224,explore,41.0,377.9,0.0,0.0
225,explore,40.2,377.8,0.0,0.0
226,explore,39.2,377.8,0.0,0.0
227,explore,41.8,377.5,0.0,0.0
228,explore,36.6,377.6,0.0,0.0
229,explore,39.3,377.5,0.0,0.0
230,explore,45.2,376.8,0.0,0.0
231,explore,41.0,376.7,0.0,0.0
232,explore,39.8,376.4,0.0,0.0
233,explore,38.7,376.1,0.0,0.0
234,explore,37.4,376.1,0.0,0.0
235,explore,45.9,375.7,0.0,0.0
236,explore,37.0,375.5,0.0,0.0
237,explore,38.3,375.4,0.0,0.0
238,explore,44.9,375.3,0.0,0.0
239,explore,35.0,375.1,0.0,0.0
240,explore,30.8,374.7,0.0,0.0
241,explore,36.4,374.8,0.0,0.0
242,explore,44.8,374.5,0.0,0.0
243,explore,48.8,374.5,0.0,0.0
244,explore,48.9,374.5,0.0,0.0
245,explore,37.0,374.4,0.0,0.0
246,explore,44.5,374.4,0.0,0.0
247,explore,37.2,374.4,0.0,0.0
248,explore,34.1,374.4,0.0,0.0
249,explore,36.0,374.3,0.0,0.0
250,explore,39.4,374.1,0.0,0.0
251,explore,45.5,373.7,0.0,0.0
252,explore,43.9,373.7,0.0,0.0
253,explore,45.0,373.7,0.0,0.0
254,explore,41.3,373.6,0.0,0.0
255,explore,36.2,373.3,0.0,0.0
256,explore,44.5,373.1,0.0,0.0
257,explore,44.5,372.9,0.0,0.0
258,explore,39.1,372.8,0.0,0.0
259,explore,41.6,372.6,0.0,0.0
260,explore,37.0,372.4,0.0,0.0
261,explore,35.3,372.0,0.0,0.0
262,explore,41.0,371.7,0.0,0.0
263,explore,47.5,371.4,0.0,0.0
264,explore,43.3,371.1,0.0,0.0
265,explore,37.5,371.1,0.0,0.0
266,explore,33.6,370.9,0.0,0.0
267,explore,44.7,370.9,0.0,0.0
268,explore,38.2,370.5,0.0,0.0
269,explore,42.8,370.3,0.0,0.0
270,explore,38.0,370.2,0.0,0.0
271,explore,36.5,370.0,0.0,0.0
272,explore,40.8,369.8,0.0,0.0
273,explore,46.5,369.7,0.0,0.0
274,explore,37.8,369.7,0.0,0.0
275,explore,42.5,369.7,0.0,0.0
276,explore,49.3,369.5,0.0,0.0
277,explore,39.3,369.5,0.0,0.0
278,explore,47.1,369.5,0.0,0.0
279,explore,41.0,369.3,0.0,0.0
280,explore,35.6,369.2,0.0,0.0
281,explore,45.8,369.1,0.0,0.0
282,explore,48.2,369.1,0.0,0.0
283,explore,39.5,368.8,0.0,0.0
284,explore,37.7,368.5,0.0,0.0
285,explore,37.9,368.4,0.0,0.0
286,explore,40.4,368.2,0.0,0.0
287,explore,38.2,368.0,0.0,0.0
288,explore,41.2,368.0,0.0,0.0
289,explore,47.4,367.9,0.0,0.0
290,explore,37.5,367.9,0.0,0.0
291,explore,42.7,367.7,0.0,0.0
292,explore,46.0,367.7,0.0,0.0
293,explore,49.3,367.7,0.0,0.0
294,explore,37.1,367.5,0.0,0.0
295,explore,34.4,367.5,0.0,0.0
296,explore,43.3,367.2,0.0,0.0
297,explore,35.2,367.1,0.0,0.0
298,explore,31.1,367.0,0.0,0.0
299,explore,33.9,367.0,0.0,0.0
300,explore,33.8,366.9,0.0,0.0
