trial,phase,steps,numerosity,reliable,knowledge
0,explore,24.7,18.9,0.0,0.0
1,explore,41.6,51.5,0.0,0.0
2,explore,37.6,78.9,0.0,0.0
3,explore,31.6,99.9,0.0,0.0
4,explore,40.3,125.1,0.0,0.0
5,explore,43.7,152.4,0.0,0.0
6,explore,34.2,166.6,0.0,0.0
7,explore,32.1,179.0,0.0,0.0
8,explore,32.7,194.9,0.0,0.0
9,explore,39.7,208.3,0.0,0.0
10,explore,34.5,219.8,0.0,0.0
11,explore,39.4,232.0,0.0,0.0
12,explore,37.3,243.8,0.0,0.0
13,explore,42.9,257.8,0.0,0.0
14,explore,44.5,271.4,0.0,0.0
15,explore,44.0,284.2,0.0,0.0
16,explore,39.3,290.7,0.0,0.0
17,explore,33.9,298.2,0.0,0.0
18,explore,42.9,304.7,0.0,0.0
19,explore,40.2,311.2,0.0,0.0
20,explore,35.5,317.0,0.0,0.0
21,explore,49.9,323.2,0.0,0.0
22,explore,40.0,326.6,0.0,0.0
23,explore,45.2,331.4,0.0,0.0
24,explore,44.8,334.9,0.0,0.0
25,explore,37.0,339.7,0.0,0.0
26,explore,28.3,341.9,0.0,0.0
27,explore,32.6,343.9,0.0,0.0
28,explore,28.3,345.2,0.0,0.0
29,explore,35.9,347.1,0.0,0.0
30,explore,41.4,350.4,0.0,0.0
31,explore,37.8,351.8,0.0,0.0
32,explore,35.9,353.3,0.0,0.0
33,explore,39.4,355.8,0.0,0.0
34,explore,40.7,356.8,0.0,0.0
35,explore,38.1,357.8,0.0,0.0
36,explore,34.0,358.8,0.0,0.0
37,explore,38.7,360.2,0.0,0.0
38,explore,27.2,360.4,0.0,0.0
39,explore,37.8,359.8,0.0,0.0
40,explore,43.0,360.8,0.0,0.0
41,explore,34.8,360.8,0.0,0.0
42,explore,32.5,361.3,0.0,0.0
43,explore,43.1,362.3,0.0,0.0
44,explore,44.6,362.5,0.0,0.0
45,explore,39.2,363.4,0.0,0.0
46,explore,35.9,364.4,0.0,0.0
47,explore,41.5,364.8,0.0,0.0
48,explore,43.0,364.3,0.0,0.0
49,explore,41.3,364.6,0.0,0.0
50,explore,46.5,365.0,0.0,0.0
51,explore,39.8,366.1,0.0,0.0
52,explore,34.6,366.1,0.0,0.0
53,explore,41.6,366.2,0.0,0.0
54,explore,48.6,366.3,0.0,0.0
55,explore,40.3,366.3,0.0,0.0
56,explore,43.3,365.9,0.0,0.0
